local_time, rssi, channel, remote_mac, rpi
1590165123.23, -78, 38, CE:EE:EC:4E:C5:30, 00000040B118C00180C10001C00180C1000119C0FEEDBEEF
1590165123.38, -78, 39, CE:EE:EC:4E:C5:30, 00000040B218000200C20001000200C2000119C0FEEDBEEF
1590165123.51, -76, 38, CE:EE:EC:4E:C5:30, 00000040B318C001C0C18001C001C0C1800119C0FEEDBEEF
1590165123.65, -76, 39, CE:EE:EC:4E:C5:30, 00000040B318C001C0C18001C001C0C1800119C0FEEDBEEF
1590165123.79, -78, 37, CE:EE:EC:4E:C5:30, 00000040B4180002C0C180010002C0C1800119C0FEEDBEEF
1590165123.93, -80, 39, CE:EE:EC:4E:C5:30, 00000040B5184001C0C140014001C0C1400119C0FEEDBEEF
1590165124.06, -77, 37, CE:EE:EC:4E:C5:30, 00000040B5184001C0C140014001C0C1400119C0FEEDBEEF
1590165124.19, -79, 39, CE:EE:EC:4E:C5:30, 00000040B618C00180C10001C00180C1000119C0FEEDBEEF
1590165124.39, -77, 38, CE:EE:EC:4E:C5:30, 00000040B718400200C24001400200C2400119C0FEEDBEEF
1590165124.59, -79, 39, CE:EE:EC:4E:C5:30, 00000040B818C001C0C18001C001C0C1800119C0FEEDBEEF
1590165124.67, -78, 38, CE:EE:EC:4E:C5:30, 00000040B918400100C20001400100C2000119C0FEEDBEEF
1590165124.92, -79, 39, CE:EE:EC:4E:C5:30, 00000040B918400100C20001400100C2000119C0FEEDBEEF
1590165124.99, -78, 37, CE:EE:EC:4E:C5:30, 00000040BB188001C0C180018001C0C1800119C0FEEDBEEF
1590165125.34, -79, 37, CE:EE:EC:4E:C5:30, 00000040BB188001C0C180018001C0C1800119C0FEEDBEEF
1590165125.41, -77, 37, CE:EE:EC:4E:C5:30, 00000040BD180002C0C140010002C0C1400119C0FEEDBEEF
1590165125.68, -74, 38, CE:EE:EC:4E:C5:30, 00000040BD180002C0C140010002C0C1400119C0FEEDBEEF
1590165125.75, -74, 38, CE:EE:EC:4E:C5:30, 00000040BD180002C0C140010002C0C1400119C0FEEDBEEF
1590165125.82, -76, 37, CE:EE:EC:4E:C5:30, 00000040BE18000200C20001000200C2000119C0FEEDBEEF
1590165125.96, -76, 37, CE:EE:EC:4E:C5:30, 00000040BE18000200C20001000200C2000119C0FEEDBEEF
1590165126.03, -75, 38, CE:EE:EC:4E:C5:30, 00000040BF18C00140C1C000C00140C1C00019C0FEEDBEEF
