local_time, rssi, channel, remote_mac, rpi
1590164284.09, -75, 39, CE:EE:EC:4E:C5:30, 0000004091088001C0C140018001C0C1400119C0FEEDBEEF
1590164284.12, -74, 39, CE:EE:EC:4E:C5:30, 000000409208C00180C10001C00180C1000119C0FEEDBEEF
1590164284.39, -73, 39, CE:EE:EC:4E:C5:30, 0000004093080001C0C1C0000001C0C1C00019C0FEEDBEEF
1590164284.46, -79, 38, CE:EE:EC:4E:C5:30, 0000004093080001C0C1C0000001C0C1C00019C0FEEDBEEF
1590164284.60, -76, 39, CE:EE:EC:4E:C5:30, 000000409408000200C24001000200C2400119C0FEEDBEEF
1590164284.67, -75, 39, CE:EE:EC:4E:C5:30, 000000409408000200C24001000200C2400119C0FEEDBEEF
1590164284.74, -77, 38, CE:EE:EC:4E:C5:30, 000000409508C001C0C10001C001C0C1000119C0FEEDBEEF
1590164284.88, -73, 39, CE:EE:EC:4E:C5:30, 000000409508C001C0C10001C001C0C1000119C0FEEDBEEF
1590164285.03, -73, 39, CE:EE:EC:4E:C5:30, 000000409708800180C10001800180C1000119C0FEEDBEEF
1590164285.29, -74, 39, CE:EE:EC:4E:C5:30, 000000409708800180C10001800180C1000119C0FEEDBEEF
1590164285.36, -75, 39, CE:EE:EC:4E:C5:30, 000000409808C001C0C18001C001C0C1800119C0FEEDBEEF
1590164285.62, -76, 38, CE:EE:EC:4E:C5:30, 000000409908000200C28001000200C2800119C0FEEDBEEF
1590164285.83, -75, 39, CE:EE:EC:4E:C5:30, 000000409A084002C0C180014002C0C1800119C0FEEDBEEF
1590164285.90, -75, 38, CE:EE:EC:4E:C5:30, 000000409B08800180C10001800180C1000119C0FEEDBEEF
1590164286.10, -76, 39, CE:EE:EC:4E:C5:30, 000000409B08800180C10001800180C1000119C0FEEDBEEF
1590164286.17, -75, 39, CE:EE:EC:4E:C5:30, 000000409D08C00180C14001C00180C1400119C0FEEDBEEF
1590164286.51, -77, 38, CE:EE:EC:4E:C5:30, 000000409E088001C0C180018001C0C1800119C0FEEDBEEF
1590164286.71, -74, 39, CE:EE:EC:4E:C5:30, 000000409E088001C0C180018001C0C1800119C0FEEDBEEF
1590164286.78, -74, 39, CE:EE:EC:4E:C5:30, 000000409E088001C0C180018001C0C1800119C0FEEDBEEF
1590164286.85, -77, 38, CE:EE:EC:4E:C5:30, 000000409F080002C0C1C0000002C0C1C00019C0FEEDBEEF
1590164287.07, -73, 39, CE:EE:EC:4E:C5:30, 00000040A008C001C0C10001C001C0C1000119C0FEEDBEEF
1590164287.14, -78, 38, CE:EE:EC:4E:C5:30, 00000040A008C001C0C10001C001C0C1000119C0FEEDBEEF
1590164287.27, -78, 38, CE:EE:EC:4E:C5:30, 00000040A1088001C0C140018001C0C1400119C0FEEDBEEF
1590164287.33, -73, 39, CE:EE:EC:4E:C5:30, 00000040A1088001C0C140018001C0C1400119C0FEEDBEEF
1590164287.40, -73, 39, CE:EE:EC:4E:C5:30, 00000040A2080002C0C100010002C0C1000119C0FEEDBEEF
1590164287.68, -73, 39, CE:EE:EC:4E:C5:30, 00000040A308C00100C24001C00100C2400119C0FEEDBEEF
1590164287.75, -78, 38, CE:EE:EC:4E:C5:30, 00000040A408C001C0C14001C001C0C1400119C0FEEDBEEF
1590164287.95, -74, 39, CE:EE:EC:4E:C5:30, 00000040A408C001C0C14001C001C0C1400119C0FEEDBEEF
1590164288.02, -74, 39, CE:EE:EC:4E:C5:30, 00000040A508C00100C20001C00100C2000119C0FEEDBEEF
1590164288.29, -74, 39, CE:EE:EC:4E:C5:30, 00000040A608400200C28001400200C2800119C0FEEDBEEF
1590164288.36, -77, 38, CE:EE:EC:4E:C5:30, 00000040A608400200C28001400200C2800119C0FEEDBEEF
