Time since first transmission (s),RSSI (dB)
0.10679507255554199,-26.0
0.21280646324157715,-26.0
0.3138103485107422,-25.5
0.4225180149078369,-26.0
0.5273556709289551,-24.5
0.6291351318359375,-26.0
0.7327942848205566,-25.0
0.8343915939331055,-26.0
0.9396932125091553,-25.5
1.0426042079925537,-25.5
1.1482913494110107,-25.0
1.2527978420257568,-25.0
1.3553216457366943,-25.0
1.4573533535003662,-25.5
1.5599274635314941,-25.5
1.6612684726715088,-25.5
1.7671496868133545,-25.0
1.871819019317627,-25.5
1.9753801822662354,-26.5
2.0764453411102295,-25.5
2.180600643157959,-26.0
2.284287214279175,-25.0
2.3876750469207764,-26.0
2.4941678047180176,-25.0
2.5969226360321045,-25.5
2.7020106315612793,-26.0
2.8072495460510254,-26.0
2.9106504917144775,-25.5
3.0138208866119385,-26.0
3.117140293121338,-25.5
3.221935749053955,-25.5
3.327700614929199,-25.5
3.4316604137420654,-25.5
3.540398359298706,-25.0
3.6448142528533936,-26.0
3.749987840652466,-25.5
3.851510524749756,-25.5
3.9571847915649414,-25.5
4.059481382369995,-26.0
4.161245584487915,-25.0
4.263880729675293,-25.5
4.3735291957855225,-26.0
4.478085041046143,-25.5
4.580875396728516,-25.5
4.685805797576904,-26.0
4.790297269821167,-25.5
4.896522521972656,-24.5
5.002274751663208,-25.5
5.1061577796936035,-25.0
5.209512710571289,-25.5
5.313399791717529,-25.5
5.41912579536438,-25.5
5.522168397903442,-26.0
5.62234902381897,-26.0
5.7244486808776855,-25.5
5.826717138290405,-25.5
5.934276580810547,-26.0
6.039395093917847,-25.5
6.145049095153809,-25.5
6.248739242553711,-26.0
6.355360984802246,-26.0
6.458765029907227,-26.0
6.561586618423462,-26.0
6.666511535644531,-25.5
6.767746686935425,-26.0
6.875613451004028,-25.0
6.9768126010894775,-26.0
7.08137583732605,-25.5
7.183609247207642,-26.0
7.2897608280181885,-25.0
7.394684076309204,-26.0
7.497847080230713,-25.5
7.601299285888672,-26.0
7.7052321434021,-25.5
7.805485963821411,-26.0
