Time since first transmission (s),RSSI (dB)
0.10276556015014648,-26.0
0.2081894874572754,-25.5
0.31321072578430176,-25.0
0.41910696029663086,-25.0
0.5252048969268799,-26.0
0.6293330192565918,-25.5
0.7328972816467285,-25.5
0.8388514518737793,-25.5
0.9463479518890381,-25.5
1.0513064861297607,-25.5
1.1553592681884766,-24.5
1.259148120880127,-25.5
1.3643310070037842,-25.5
1.4679417610168457,-26.0
1.5711753368377686,-25.5
1.6762573719024658,-26.0
1.780745506286621,-25.0
1.8832957744598389,-26.0
1.9873614311218262,-26.0
2.093050718307495,-25.5
2.1962809562683105,-25.0
2.29925537109375,-25.5
2.5018742084503174,-25.5
2.60862135887146,-26.0
2.713848829269409,-25.5
2.817807674407959,-25.5
2.9216878414154053,-26.0
3.0246689319610596,-26.0
3.128990411758423,-25.5
3.2361040115356445,-25.5
3.3386690616607666,-26.0
3.4428300857543945,-25.5
3.5460011959075928,-26.0
3.6502902507781982,-25.0
3.7556004524230957,-25.5
3.96323299407959,-25.5
4.065941095352173,-25.0
4.169673919677734,-25.5
4.2746992111206055,-25.5
4.378200054168701,-25.5
4.58082127571106,-25.5
4.684978008270264,-25.0
4.7857818603515625,-25.0
4.887154579162598,-25.0
4.9902448654174805,-25.0
5.09584379196167,-25.0
5.198471546173096,-25.5
5.3046910762786865,-25.0
5.409927845001221,-25.0
5.514080286026001,-25.5
5.616546392440796,-25.5
5.716777086257935,-26.0
5.822163820266724,-25.0
5.925473690032959,-26.0
6.028694152832031,-25.5
6.131178140640259,-25.5
6.234713315963745,-25.0
6.337813138961792,-25.5
6.441061496734619,-25.5
6.543704986572266,-24.5
6.647252559661865,-25.5
6.75023078918457,-25.5
6.8544251918792725,-25.0
6.959637403488159,-25.5
7.063399791717529,-25.5
7.167965650558472,-25.5
7.270114183425903,-25.0
7.375170707702637,-25.0
7.480344772338867,-25.0
7.584966659545898,-25.5
7.687597751617432,-26.0
7.791934251785278,-25.0
7.896484136581421,-26.0
8.00177526473999,-25.5
8.105745315551758,-26.0
8.208383321762085,-25.0
8.30998182296753,-25.0
8.413924932479858,-26.0
8.518800497055054,-26.0
8.62316346168518,-25.5
8.727147102355957,-26.0
8.830821752548218,-26.0
8.935188055038452,-25.0
9.038995742797852,-25.5
9.141930341720581,-25.5
9.249158143997192,-25.0
9.35176157951355,-25.0
9.455880165100098,-25.0
9.558462858200073,-26.0
9.66077446937561,-25.5
9.76474666595459,-25.5
9.869173765182495,-24.5
9.971758842468262,-26.0
10.07511830329895,-25.5
10.176630020141602,-25.0
10.38044810295105,-17.0
10.48593521118164,-26.0
10.588114261627197,-25.5
10.693217515945435,-25.5
10.797719240188599,-25.0
10.901711225509644,-25.5
11.007261514663696,-26.0
11.11578106880188,-25.5
11.217968225479126,-25.5
11.322960615158081,-25.5
11.426255464553833,-25.5
11.53018593788147,-25.5
11.634216547012329,-25.5
