Time since first transmission (s),RSSI (dB)
0.10404396057128906,-40.0
0.20856213569641113,-39.5
0.31737208366394043,-40.0
0.4262232780456543,-39.5
0.5332009792327881,-39.5
0.6408979892730713,-39.5
0.7446870803833008,-39.5
0.8485920429229736,-39.0
0.9529697895050049,-39.0
1.0585036277770996,-38.5
1.1624009609222412,-39.0
1.2668397426605225,-39.0
1.368497371673584,-38.5
1.4706089496612549,-38.0
1.57283353805542,-38.0
1.674973726272583,-37.5
1.782257318496704,-38.0
1.8843953609466553,-38.0
1.990058183670044,-37.5
2.094756841659546,-37.5
2.1994991302490234,-38.5
2.305239677429199,-38.0
2.411764621734619,-37.5
2.5171244144439697,-37.5
2.6195294857025146,-37.5
2.726628065109253,-37.5
2.832875967025757,-37.5
2.9366629123687744,-37.5
3.037055015563965,-37.5
3.1406707763671875,-37.5
3.246501922607422,-37.5
3.350673198699951,-37.5
3.454432249069214,-37.5
3.556232213973999,-37.5
3.6577446460723877,-37.0
3.7618563175201416,-37.5
3.865624189376831,-37.5
3.9672741889953613,-37.5
4.0726494789123535,-37.5
4.1752142906188965,-37.5
4.2763800621032715,-37.5
4.378549575805664,-37.5
4.483518123626709,-37.5
4.587587118148804,-37.5
4.692475318908691,-37.5
4.796045541763306,-37.0
4.90155553817749,-37.0
5.00713586807251,-37.0
5.112295389175415,-37.0
5.2163403034210205,-37.5
5.319324493408203,-37.5
5.42287540435791,-37.5
5.526682376861572,-37.5
5.6309897899627686,-37.5
5.7374114990234375,-37.5
5.842214345932007,-37.5
5.943533182144165,-37.5
6.044747829437256,-37.5
6.1505351066589355,-37.0
6.253731966018677,-37.5
6.3574323654174805,-37.5
6.45959210395813,-37.5
6.565586566925049,-37.5
6.67120361328125,-37.5
6.775273084640503,-37.5
6.879389524459839,-37.5
6.9831016063690186,-37.5
7.085654258728027,-37.5
7.188486576080322,-37.5
7.2942187786102295,-37.5
7.399537563323975,-37.5
7.500539541244507,-37.5
7.601623058319092,-37.5
7.704254388809204,-37.0
7.808949947357178,-37.5
7.911239862442017,-37.5
8.014847755432129,-37.0
8.116364002227783,-37.5
8.221647500991821,-37.0
8.326459407806396,-37.0
8.43360185623169,-37.0
8.53493046760559,-37.5
8.640126466751099,-37.5
8.744966268539429,-37.5
8.84741759300232,-37.5
8.950231075286865,-37.5
9.051334619522095,-37.0
9.15566873550415,-37.5
9.262649059295654,-37.5
9.365545272827148,-37.5
9.46868634223938,-37.5
9.570658683776855,-37.5
9.674898624420166,-37.5
9.779295206069946,-37.5
9.881235122680664,-37.5
9.982469320297241,-37.5
10.087234735488892,-37.5
10.190362691879272,-37.5
10.293555498123169,-37.0
10.396773099899292,-37.5
10.50093412399292,-37.5
10.60607361793518,-37.5
10.711631059646606,-37.5
10.816145896911621,-37.5
10.9206223487854,-37.5
11.025391578674316,-37.5
11.126090049743652,-37.5
11.232594728469849,-37.5
11.339455366134644,-37.5
11.44337773323059,-37.5
11.545909643173218,-37.5
11.651423215866089,-37.5
11.752003908157349,-37.5
11.85731816291809,-37.5
11.962043046951294,-37.5
12.066002130508423,-37.5
12.170423746109009,-37.5
12.27212929725647,-37.0
12.37557601928711,-37.5
12.478105783462524,-37.0
12.579618692398071,-37.5
12.683235883712769,-37.5
12.784420490264893,-37.5
12.888259649276733,-37.5
13.09319543838501,-37.5
13.196199417114258,-37.5
13.300931453704834,-37.5
13.401867151260376,-37.5
13.506072998046875,-37.5
13.609458446502686,-37.5
13.711793422698975,-37.5
13.816253185272217,-37.5
13.92171049118042,-37.5
14.023318767547607,-37.5
14.128407955169678,-37.5
14.23401927947998,-37.5
14.339126586914062,-37.5
14.445147037506104,-37.5
14.549247741699219,-37.5
14.655677318572998,-38.0
14.762346029281616,-37.5
14.866225957870483,-37.5
14.969914197921753,-37.5
15.072781562805176,-38.0
15.174197435379028,-38.0
15.277375936508179,-38.0
15.383327960968018,-38.0
15.489876985549927,-38.0
15.592283964157104,-38.0
15.700000286102295,-38.0
15.803680896759033,-38.0
15.904765844345093,-38.0
16.012124061584473,-37.5
16.119133472442627,-38.0
16.22318387031555,-38.0
16.325153589248657,-38.0
16.427260398864746,-38.0
16.535138368606567,-37.5
16.638985633850098,-37.5
16.739802360534668,-37.5
16.84506845474243,-38.0
16.950852870941162,-38.0
17.056111812591553,-38.0
17.160937786102295,-37.5
17.263009786605835,-37.5
17.366628170013428,-38.0
17.47059392929077,-38.0
17.573636531829834,-37.5
17.677332639694214,-38.0
17.78278398513794,-38.0
17.88414692878723,-38.0
17.986706256866455,-38.0
18.092403173446655,-37.5
18.192735195159912,-37.5
18.295953273773193,-38.0
18.401346683502197,-38.0
18.50458598136902,-38.0
18.60927700996399,-39.0
18.71084976196289,-38.0
18.81568455696106,-38.0
18.918787240982056,-38.0
19.021883010864258,-38.0
19.12781071662903,-38.0
19.234447240829468,-38.0
19.338892936706543,-38.0
19.44216251373291,-38.0
19.649918794631958,-38.5
19.750436544418335,-38.0
19.85489296913147,-38.0
19.95808243751526,-38.5
20.060475826263428,-38.0
20.166086435317993,-38.0
20.26727604866028,-38.0
20.36733889579773,-38.0
20.47169780731201,-38.0
20.574336290359497,-38.0
20.678738594055176,-38.0
20.77969002723694,-38.0
20.882068634033203,-38.0
20.986074686050415,-38.0
21.089132070541382,-38.0
21.192206382751465,-38.0
21.297107458114624,-38.0
21.400530338287354,-38.0
21.504221200942993,-39.0
21.606239795684814,-38.0
21.70925736427307,-38.0
21.812455415725708,-38.0
21.91579294204712,-38.0
22.021461963653564,-38.0
22.125255346298218,-38.0
22.226269483566284,-38.5
22.33010959625244,-38.0
22.433209896087646,-38.5
22.538360357284546,-38.0
22.64141821861267,-38.0
22.74262022972107,-38.0
22.845337629318237,-38.0
22.950072526931763,-38.5
23.055110216140747,-38.0
23.156506776809692,-37.5
23.258553981781006,-38.5
23.359148263931274,-38.0
23.462306261062622,-38.0
23.56550145149231,-38.5
23.671443939208984,-38.5
23.775834798812866,-38.0
23.87759280204773,-38.0
23.98397207260132,-38.0
24.08745312690735,-38.0
24.190268993377686,-38.0
24.292489767074585,-38.0
24.395528078079224,-38.0
24.500592708587646,-38.5
24.603767156600952,-38.5
24.7113618850708,-38.0
24.82005476951599,-38.0
24.926284790039062,-38.0
25.030460834503174,-38.0
25.132732152938843,-38.0
25.237160682678223,-38.0
25.34219264984131,-38.0
25.44610023498535,-38.5
25.547081470489502,-38.0
25.652018308639526,-38.5
25.754184246063232,-38.0
25.856266975402832,-38.0
25.960413455963135,-38.5
26.066130876541138,-38.5
26.17156720161438,-38.0
