Time since first transmission (s),RSSI (dB)
0.10197758674621582,-28.5
0.2045285701751709,-28.5
0.3068723678588867,-28.5
0.41260838508605957,-28.5
0.5160248279571533,-28.0
0.6210408210754395,-28.5
0.7290899753570557,-28.5
0.831655740737915,-28.5
0.9370880126953125,-28.5
1.044799566268921,-28.5
1.1467289924621582,-28.5
1.2511160373687744,-28.5
1.3574624061584473,-28.5
1.4646382331848145,-28.5
1.568009614944458,-28.5
1.6714520454406738,-28.5
1.774228572845459,-28.5
1.874847412109375,-28.0
1.9793622493743896,-27.5
2.082254409790039,-28.0
2.1870644092559814,-28.0
2.2889034748077393,-28.0
2.3937551975250244,-27.5
2.4947867393493652,-28.5
2.6008782386779785,-28.5
2.705657720565796,-28.5
2.810605525970459,-28.5
2.9164700508117676,-28.5
3.019477605819702,-28.0
3.123772382736206,-28.5
3.228020668029785,-28.5
3.3316314220428467,-28.5
3.4342703819274902,-28.5
3.538332223892212,-28.5
3.64099383354187,-28.0
3.7473669052124023,-28.0
3.848780393600464,-28.5
3.952326536178589,-27.5
4.0561604499816895,-28.5
4.15819239616394,-28.5
4.262421607971191,-28.0
4.364950180053711,-28.0
4.471424102783203,-27.5
4.5738725662231445,-28.5
4.677649021148682,-28.5
4.884600877761841,-28.0
4.988621711730957,-28.0
5.090253829956055,-28.5
5.195458173751831,-28.5
5.301422357559204,-28.0
5.402782917022705,-28.5
5.506935119628906,-28.5
5.611680507659912,-28.5
5.715112924575806,-28.5
5.817825555801392,-28.0
5.923841714859009,-28.0
6.026782989501953,-28.5
6.129390239715576,-28.0
6.233084678649902,-28.0
6.339730739593506,-28.0
6.4458537101745605,-28.5
6.551894426345825,-28.0
6.656918287277222,-28.5
6.760886907577515,-27.5
6.862623929977417,-28.5
6.9663002490997314,-28.5
7.070404529571533,-28.0
7.174967050552368,-28.5
7.278081893920898,-28.0
7.381924867630005,-27.5
7.486605882644653,-28.0
7.589643955230713,-28.0
7.691086769104004,-28.0
7.7945334911346436,-28.5
7.9982171058654785,-28.0
8.102348327636719,-28.0
8.207371711730957,-28.5
8.309854984283447,-28.0
8.413195133209229,-28.5
8.515770435333252,-28.5
8.620754480361938,-28.5
8.725559949874878,-28.5
8.827872514724731,-28.5
8.93320631980896,-28.5
9.035403966903687,-28.5
9.137332677841187,-28.5
9.244999647140503,-28.5
9.34825849533081,-28.5
9.450680017471313,-27.5
9.55515193939209,-28.5
9.658223867416382,-28.5
9.761767864227295,-28.5
9.865259885787964,-28.5
9.965350151062012,-28.5
10.069973707199097,-28.5
10.17476511001587,-28.5
10.280138492584229,-28.0
10.388121604919434,-28.0
10.492271661758423,-28.5
10.595590591430664,-28.0
10.699111223220825,-28.5
10.803441762924194,-28.0
10.90608525276184,-28.0
11.111776113510132,-28.0
11.217313289642334,-27.5
11.320082902908325,-28.0
11.422789335250854,-28.5
11.528602361679077,-28.5
11.633512020111084,-28.5
11.737239360809326,-28.0
11.841309547424316,-28.0
11.947465658187866,-28.0
12.052400588989258,-28.0
12.15834927558899,-28.0
12.26178526878357,-28.0
12.36660122871399,-28.0
12.572773933410645,-28.0
12.673920392990112,-28.0
12.780101537704468,-28.0
12.88348650932312,-28.0
12.98471188545227,-28.5
13.088352680206299,-28.5
13.19196343421936,-28.5
13.295063257217407,-28.5
13.395747661590576,-28.5
13.499905824661255,-28.5
13.60022234916687,-28.5
13.704975605010986,-28.5
13.908321380615234,-28.5
14.010280132293701,-28.0
14.113271951675415,-28.0
14.220213174819946,-28.0
14.32365870475769,-28.5
14.427900552749634,-28.0
14.528501749038696,-28.0
14.631463527679443,-28.5
14.73254919052124,-28.0
14.835618495941162,-28.5
14.938628196716309,-28.0
15.041417360305786,-28.0
15.1461660861969,-28.0
15.249645471572876,-28.5
15.354240417480469,-28.5
15.463041543960571,-28.5
15.567153930664062,-28.5
15.67149305343628,-28.5
15.77254343032837,-28.5
15.97907829284668,-28.5
16.08277702331543,-28.5
16.189189910888672,-28.5
16.29115581512451,-28.5
16.396479845046997,-28.5
16.50045871734619,-28.0
16.60524559020996,-28.0
16.708629846572876,-28.5
16.81210231781006,-28.5
16.91506814956665,-28.5
17.016624450683594,-28.5
17.121479749679565,-28.5
17.230066537857056,-28.5
17.334336519241333,-28.5
17.43871235847473,-28.5
17.541962146759033,-28.5
17.645033597946167,-28.0
17.748634576797485,-28.0
17.8497633934021,-28.5
17.952564239501953,-28.5
18.05419087409973,-28.0
18.26201844215393,-28.0
18.367806673049927,-28.0
18.470180988311768,-28.5
18.57041835784912,-28.0
18.67458152770996,-28.5
18.778341054916382,-28.0
18.882612466812134,-28.0
18.98336672782898,-28.5
19.086591243743896,-28.5
19.187443256378174,-28.5
19.292906045913696,-28.5
19.39498734474182,-28.5
19.604223251342773,-28.5
19.706552267074585,-28.5
19.809319496154785,-28.5
19.91368055343628,-28.5
20.01994776725769,-28.5
20.12477445602417,-28.5
20.229665756225586,-28.5
20.335176706314087,-28.5
20.438766717910767,-28.5
20.541288137435913,-28.0
20.64708185195923,-28.0
20.749051809310913,-28.5
20.84964108467102,-28.5
20.954830646514893,-28.5
21.05787467956543,-28.5
21.16230034828186,-28.5
21.267483949661255,-28.5
21.37101912498474,-28.5
21.474642038345337,-28.5
21.578810214996338,-28.5
21.684447765350342,-28.5
21.78822350502014,-28.5
21.89255452156067,-28.5
21.99727153778076,-28.5
22.10028624534607,-28.5
22.20577120780945,-28.5
22.307881593704224,-28.5
22.413386583328247,-28.5
22.517574310302734,-28.5
22.620542526245117,-28.5
22.726582288742065,-28.5
22.931098222732544,-28.5
23.033308267593384,-28.5
23.137167930603027,-28.5
23.239309787750244,-28.0
23.341893196105957,-28.5
23.44650888442993,-28.5
23.54926562309265,-28.5
23.649558305740356,-28.5
23.753714323043823,-28.5
23.859227180480957,-28.0
23.96300458908081,-28.5
24.065133094787598,-28.5
24.166423082351685,-28.5
24.271068811416626,-28.5
24.379751205444336,-28.5
24.483136892318726,-28.5
24.587595462799072,-28.5
24.690620183944702,-28.5
24.79503107070923,-28.5
24.8956937789917,-28.5
24.999975204467773,-28.5
25.1007137298584,-28.5
25.205255031585693,-28.5
25.309509992599487,-28.5
25.412647247314453,-28.5
25.52027416229248,-28.0
25.623647689819336,-28.5
25.729966402053833,-28.0
25.83325219154358,-28.0
25.93495202064514,-28.5
26.037550926208496,-28.0
26.142001152038574,-28.5
26.248117923736572,-28.5
26.349487781524658,-28.5
26.449729681015015,-28.5
26.552205085754395,-28.5
26.65460467338562,-28.5
26.759827852249146,-28.0
26.862664461135864,-28.5
