Time since first transmission (s),RSSI (dB)
0.10295391082763672,-26.0
0.20367789268493652,-26.0
0.3071596622467041,-26.0
0.4102602005004883,-26.5
0.6210024356842041,-21.5
0.7255330085754395,-26.0
0.8279163837432861,-25.5
0.93337082862854,-26.0
1.0387506484985352,-26.5
1.1421911716461182,-26.0
1.2446515560150146,-25.5
1.3446986675262451,-25.5
1.4469585418701172,-26.5
1.5502142906188965,-26.0
1.6529879570007324,-26.0
1.755871057510376,-26.0
1.8569326400756836,-26.0
1.9579458236694336,-26.0
2.0602738857269287,-26.5
2.2689220905303955,-26.0
2.3717761039733887,-26.5
2.47526216506958,-25.5
2.578793525695801,-25.5
2.6862800121307373,-26.5
2.7919678688049316,-26.5
2.895051956176758,-26.0
3.000255823135376,-26.0
3.1080799102783203,-26.0
3.2102129459381104,-25.5
3.3125579357147217,-26.0
3.4158546924591064,-25.5
3.5225088596343994,-26.5
3.628952980041504,-26.5
3.835635185241699,-21.5
3.936087131500244,-26.0
4.040201425552368,-26.0
4.144479751586914,-26.5
4.250084161758423,-26.0
4.352365016937256,-26.0
4.456683874130249,-26.0
4.560801267623901,-26.5
4.663760423660278,-25.5
4.764936685562134,-26.5
4.867208003997803,-25.5
4.970635414123535,-25.5
5.074155330657959,-26.0
5.178818225860596,-26.0
5.284101963043213,-26.0
5.386738300323486,-25.5
5.489096641540527,-25.5
5.592804670333862,-25.5
5.694073677062988,-26.0
5.800460338592529,-25.5
5.905176401138306,-26.5
6.007326364517212,-26.0
6.112287282943726,-26.0
6.216831684112549,-25.5
6.319760322570801,-26.5
6.422102212905884,-26.0
6.527447938919067,-26.0
6.63263726234436,-26.0
6.738389015197754,-26.5
6.842886924743652,-26.0
6.946634531021118,-26.0
7.0499184131622314,-25.5
7.152676105499268,-26.0
7.257235527038574,-26.0
7.358760833740234,-25.5
7.462153911590576,-26.0
7.568031549453735,-25.5
7.672619342803955,-26.0
7.776756525039673,-26.0
7.879046201705933,-25.5
7.984554052352905,-26.0
8.08880066871643,-26.0
8.1947762966156,-26.0
8.30211329460144,-26.0
8.405277490615845,-26.5
8.50667405128479,-26.0
8.611824989318848,-26.0
8.713865041732788,-26.0
8.819152355194092,-25.5
8.92182183265686,-26.5
9.02590799331665,-26.5
9.232161283493042,-21.0
9.33741545677185,-26.0
9.439375638961792,-26.5
9.545925855636597,-26.0
9.648767948150635,-25.5
9.749979257583618,-26.0
9.856511116027832,-26.5
9.965710878372192,-26.5
10.06893539428711,-25.5
10.171335458755493,-25.5
10.378519296646118,-26.0
10.484575510025024,-26.0
10.58879804611206,-26.0
10.69078278541565,-26.0
10.796464443206787,-25.5
10.899225950241089,-26.0
11.00393009185791,-25.5
11.106548070907593,-26.5
11.212628364562988,-25.5
11.31803011894226,-26.0
11.421555519104004,-25.5
11.524193048477173,-26.5
11.625542402267456,-26.0
11.727793455123901,-26.0
11.833441734313965,-25.5
11.93980860710144,-26.0
12.042089223861694,-25.5
12.151013851165771,-26.0
12.25771951675415,-26.0
12.36213994026184,-26.5
12.468884944915771,-26.5
12.571829557418823,-26.0
12.675841808319092,-26.0
12.780112028121948,-25.5
12.988124370574951,-25.5
13.092282056808472,-26.0
13.195251226425171,-26.0
13.296241521835327,-26.0
13.401148796081543,-26.0
13.504915237426758,-26.0
13.609268426895142,-26.0
13.711921453475952,-26.0
13.81719422340393,-25.5
13.921985626220703,-25.5
14.025413990020752,-26.0
14.134074211120605,-26.0
14.23898196220398,-26.5
14.341886281967163,-26.0
14.450552940368652,-26.0
14.555554866790771,-25.5
14.66094160079956,-25.5
14.762710571289062,-25.5
14.868094205856323,-26.0
14.973160743713379,-25.5
15.075923919677734,-26.0
15.179581642150879,-25.5
15.284049987792969,-26.0
15.38677978515625,-26.0
15.488946914672852,-25.5
15.591194868087769,-25.5
15.692350387573242,-26.0
15.796798467636108,-26.0
15.901199579238892,-25.5
16.006888151168823,-26.5
16.111844539642334,-26.0
16.217933177947998,-26.0
16.32238483428955,-26.0
16.427321672439575,-26.5
16.530450105667114,-25.5
16.634626865386963,-26.0
16.739336013793945,-26.5
16.842803478240967,-26.5
16.94499921798706,-26.5
17.050562143325806,-26.0
17.153674125671387,-26.5
17.256927490234375,-26.5
17.36188006401062,-26.0
17.468086004257202,-26.0
17.57184362411499,-26.0
17.67585563659668,-26.0
17.77900195121765,-26.5
17.88326930999756,-26.0
17.98912215232849,-26.0
18.0925030708313,-26.0
18.195733070373535,-26.0
18.30043077468872,-26.0
18.403675317764282,-26.0
18.507073163986206,-25.5
18.60897946357727,-26.0
18.712267875671387,-26.0
18.818452835083008,-26.0
18.921148777008057,-26.0
19.028316020965576,-25.5
19.1310932636261,-26.0
19.235206365585327,-25.5
19.33718967437744,-26.0
19.440577268600464,-25.5
19.545159101486206,-26.5
19.64733648300171,-25.5
19.750771045684814,-25.5
19.854053497314453,-26.0
19.95781707763672,-26.0
20.05913019180298,-26.0
20.16355538368225,-26.0
20.267295837402344,-26.0
20.371022939682007,-26.0
20.47565722465515,-26.5
20.577396631240845,-26.0
20.684131622314453,-25.5
20.787189483642578,-26.0
20.888264417648315,-26.0
20.99565029144287,-25.5
21.10123586654663,-25.5
21.206838369369507,-26.0
21.309786081314087,-25.5
21.412141799926758,-25.5
21.51638674736023,-25.5
21.617008447647095,-25.5
21.719110012054443,-26.0
21.82329034805298,-26.0
21.925720691680908,-25.5
22.033944129943848,-26.0
22.14097571372986,-26.5
22.343011140823364,-25.5
22.446839570999146,-25.5
22.550162076950073,-25.5
22.65151071548462,-26.5
22.756511211395264,-26.0
22.864160299301147,-26.0
22.968066692352295,-26.5
23.07137703895569,-25.5
23.17546033859253,-26.0
23.278828144073486,-26.0
23.384978771209717,-25.5
23.490274906158447,-26.5
23.592653512954712,-26.0
23.697750091552734,-26.5
