time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
207,2.14,2.19,-56,-56,0,57469,1,0,3,4,100,0,0
230,2.32,2.22,-58,-58,0,57477,1,0,4,5,100,0,0
236,2.21,2.22,-59,-59,0,57485,1,0,4,4,0,0,1
212,2.5,2.3,-56,-56,0,57492,0,-1,5,5,100,0,0
232,2.43,2.35,-54,-54,0,57500,0,0,5,5,100,0,0
236,2.47,2.43,-51,-52,0,57508,0,0,5,5,100,0,0
236,2.72,2.53,-55,-55,0,57516,0,0,5,6,100,0,0
238,2.58,2.55,-56,-56,0,57524,0,0,5,6,100,0,0
238,2.5,2.57,-55,-55,0,57532,0,0,5,5,100,0,0
236,2.32,2.53,-58,-57,0,57540,0,0,4,5,100,0,0
236,2.28,2.42,-56,-55,0,57548,0,0,4,5,100,0,0
238,2.32,2.36,-58,-58,0,57556,0,-1,4,5,100,0,0
238,2.28,2.3,-56,-56,0,57564,0,0,4,5,100,0,0
240,2.14,2.2,-56,-56,0,57580,0,1,4,5,100,0,0
232,2.17,2.17,-60,-60,0,57588,0,0,4,6,100,0,0
236,2.1,2.12,-60,-60,0,57596,0,0,4,6,100,0,0
236,2.06,2.12,-63,-63,0,57604,0,0,4,5,100,0,0
236,2.03,2.12,-60,-60,0,57612,0,1,4,4,0,2,3
212,2.06,2.12,-60,-60,0,57619,0,1,4,5,0,1,0
207,2.06,2.1,-58,-58,0,57626,0,0,4,5,100,0,0
232,2.14,2.09,-60,-60,0,57634,0,0,4,5,100,0,0
236,1.99,2.06,-59,-59,0,57642,0,0,3,4,100,0,0
234,1.99,2.05,-59,-59,0,57650,0,0,4,5,100,0,0
238,2.1,2.06,-54,-55,0,57658,0,0,4,5,100,0,0
236,1.99,2.06,-60,-60,0,57666,0,0,4,4,0,3,3
212,2.1,2.05,-58,-57,0,57673,0,0,4,4,100,0,0
232,2.1,2.07,-60,-60,0,57681,0,0,4,5,100,0,0
234,2.14,2.07,-58,-58,0,57689,-1,0,3,5,0,1,0
212,2.06,2.09,-56,-56,0,57696,0,0,3,4,100,0,0
230,2.14,2.1,-58,-57,0,57704,1,1,3,5,100,0,0
238,2.06,2.1,-58,-58,0,57712,0,1,3,5,0,1,1
212,2.14,2.11,-54,-55,0,57719,0,1,3,5,100,0,0
232,2.03,2.09,-54,-54,0,57727,0,0,4,5,100,0,0
238,2.17,2.12,-56,-56,0,57735,0,0,4,5,100,0,0
236,2.03,2.09,-60,-59,0,57743,0,0,3,5,100,0,0
236,2.1,2.08,-56,-56,0,57751,0,0,3,5,100,0,0
236,2.17,2.12,-58,-58,0,57759,0,0,3,4,100,0,0
265,2.21,2.13,-56,-56,0,57768,0,0,3,5,100,0,0
236,2.14,2.13,-58,-57,0,57776,-1,0,3,5,0,1,0
212,2.14,2.16,-58,-58,0,57783,-1,0,3,5,100,0,0
232,2.17,2.17,-55,-55,0,57791,0,0,4,4,100,0,0
236,2.1,2.16,-57,-57,0,57799,0,0,3,4,100,0,0
238,2.28,2.17,-56,-55,0,57807,0,0,5,5,100,0,0
234,1.99,2.17,-55,-55,0,57815,-1,1,3,4,0,1,0
210,2.1,2.17,-61,-60,0,57822,0,0,3,5,100,0,0
230,2.03,2.13,-58,-57,0,57830,0,0,3,4,100,0,0
236,1.92,2.08,-54,-55,0,57838,0,0,4,4,100,0,0
236,2.17,2.06,-59,-59,0,57846,0,0,4,5,100,0,0
236,2.14,2.06,-61,-61,0,57854,0,0,4,4,100,0,0
236,2.06,2.07,-56,-56,0,57862,0,1,4,5,100,0,0
