time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,1.19,1.2,-49,-50,0,38867,0,0,7,8,100,0,0
236,1.11,1.19,-51,-51,0,38875,1,0,7,8,100,0,0
236,1.19,1.19,-49,-50,0,38883,0,1,7,7,100,0,0
236,1.22,1.18,-50,-51,0,38891,-1,0,7,7,100,0,0
236,1.22,1.19,-50,-50,0,38899,0,1,7,7,100,0,0
236,1.22,1.21,-49,-50,0,38907,-1,-1,7,7,100,0,0
238,1.3,1.24,-50,-51,0,38915,-1,0,7,8,100,0,0
232,1.19,1.23,-48,-49,0,38923,0,-1,7,7,100,0,0
238,1.19,1.22,-50,-51,0,38931,0,0,7,8,100,0,0
240,1.19,1.21,-50,-51,0,38939,0,0,7,8,100,0,0
238,1.19,1.19,-48,-49,0,38947,-1,-1,7,8,100,0,0
238,1.19,1.19,-50,-51,0,38955,0,0,7,8,100,0,0
238,1.26,1.2,-48,-49,0,38963,0,0,7,8,100,0,0
236,1.11,1.19,-50,-51,0,38971,0,0,7,8,100,0,0
234,1.15,1.18,-50,-51,0,38979,0,0,7,8,100,0,0
240,1.19,1.18,-51,-51,0,38987,0,0,7,8,100,0,0
238,1.19,1.16,-49,-49,0,38995,-1,0,7,8,100,0,0
236,1.08,1.15,-51,-51,0,39003,1,0,7,8,100,0,0
238,1.19,1.16,-50,-50,0,39011,0,0,7,7,100,0,0
238,1.15,1.15,-50,-50,0,39019,0,1,7,8,100,0,0
236,1.11,1.13,-50,-51,0,39027,0,0,7,7,100,0,0
236,1.15,1.15,-50,-51,0,39035,-1,1,7,8,100,0,0
236,1.15,1.14,-50,-50,0,39043,0,0,7,8,100,0,0
236,1.22,1.16,-48,-49,0,39051,0,0,7,8,100,0,0
240,1.19,1.18,-50,-51,0,39059,0,1,7,8,100,0,0
234,1.26,1.2,-48,-49,0,39067,0,1,7,8,100,0,0
240,1.22,1.22,-51,-51,0,39075,0,1,7,8,100,0,0
236,1.19,1.21,-51,-52,0,39083,0,1,7,8,100,0,0
236,1.22,1.22,-50,-50,0,39091,0,0,7,8,100,0,0
234,1.19,1.2,-50,-51,0,39099,-1,1,7,7,100,0,0
236,1.11,1.18,-50,-50,0,39107,-1,1,7,8,100,0,0
238,1.19,1.18,-50,-51,0,39115,-1,1,7,8,100,0,0
234,1.19,1.17,-50,-51,0,39123,1,1,7,8,100,0,0
240,1.22,1.18,-49,-50,0,39131,0,1,7,8,100,0,0
238,1.08,1.17,-50,-51,0,39139,0,1,7,8,100,0,0
238,1.15,1.16,-50,-51,0,39147,-1,0,7,8,100,0,0
236,1.19,1.16,-50,-50,0,39155,0,1,7,8,100,0,0
238,1.19,1.15,-50,-51,0,39163,-1,0,7,7,100,0,0
234,1.15,1.17,-52,-53,0,39171,0,1,7,8,100,0,0
236,1.22,1.19,-50,-50,0,39179,-1,0,7,8,100,0,0
238,1.19,1.19,-50,-50,0,39187,-1,0,7,8,100,0,0
234,1.22,1.2,-49,-50,0,39195,0,1,7,7,100,0,0
267,1.15,1.2,-49,-50,0,39204,-1,0,7,8,100,0,0
236,1.15,1.18,-50,-51,0,39212,0,0,7,7,100,0,0
240,1.19,1.18,-49,-50,0,39220,-1,0,7,8,100,0,0
234,1.15,1.16,-50,-50,0,39228,-1,0,7,7,100,0,0
238,1.22,1.18,-51,-51,0,39236,-1,1,7,7,100,0,0
238,1.19,1.19,-48,-49,0,39244,0,1,7,8,100,0,0
238,1.19,1.19,-51,-51,0,39252,1,0,7,8,100,0,0
236,1.11,1.18,-55,-55,0,39260,-1,0,7,8,100,0,0
