time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
238,1.3,1.31,-46,-46,0,39553,0,0,8,9,100,0,0
240,1.33,1.29,-44,-44,0,39561,1,1,8,8,100,0,0
236,1.19,1.27,-44,-44,0,39569,-1,1,8,9,100,0,0
238,1.3,1.28,-45,-45,0,39577,0,0,8,9,100,0,0
240,1.19,1.25,-45,-45,0,39585,0,0,8,9,100,0,0
234,1.3,1.24,-44,-44,0,39593,0,0,8,9,100,0,0
238,1.3,1.27,-44,-44,0,39601,-1,0,8,8,100,0,0
236,1.33,1.28,-46,-46,0,39609,0,1,8,8,100,0,0
238,1.22,1.29,-44,-44,0,39617,-1,0,8,8,100,0,0
232,1.3,1.29,-45,-45,0,39625,-1,0,8,8,100,0,0
238,1.22,1.27,-44,-44,0,39633,0,0,8,8,100,0,0
236,1.26,1.25,-44,-44,0,39641,-1,-1,8,8,100,0,0
236,1.26,1.26,-44,-44,0,39649,1,1,8,9,100,0,0
234,1.33,1.27,-45,-46,0,39657,-1,0,8,9,100,0,0
238,1.33,1.3,-44,-44,0,39665,-1,0,8,8,100,0,0
238,1.26,1.3,-44,-44,0,39673,1,1,8,8,100,0,0
236,1.19,1.28,-44,-44,0,39681,0,0,8,8,100,0,0
234,1.33,1.28,-44,-44,0,39689,0,1,8,9,100,0,0
238,1.3,1.27,-46,-46,0,39697,-1,1,8,8,100,0,0
238,1.19,1.25,-46,-46,0,39705,0,0,8,8,100,0,0
236,1.3,1.28,-44,-44,0,39713,0,1,8,8,100,0,0
240,1.3,1.27,-44,-44,0,39721,0,1,8,8,100,0,0
234,1.3,1.27,-44,-44,0,39729,0,-1,8,8,100,0,0
238,1.33,1.31,-45,-45,0,39737,0,1,8,8,100,0,0
236,1.3,1.31,-44,-44,0,39745,-1,2,8,8,100,0,0
236,1.33,1.31,-45,-45,0,39753,-1,-1,8,8,100,0,0
240,1.3,1.31,-44,-44,0,39761,0,1,8,8,100,0,0
236,1.19,1.28,-44,-44,0,39769,-1,0,8,8,100,0,0
234,1.26,1.27,-45,-45,0,39777,0,1,8,8,100,0,0
238,1.26,1.25,-44,-44,0,39785,-1,0,8,8,100,0,0
234,1.37,1.27,-44,-44,0,39793,-1,0,8,8,100,0,0
238,1.37,1.31,-45,-45,0,39801,0,0,8,8,100,0,0
236,1.26,1.31,-46,-45,0,39809,0,0,8,8,100,0,0
238,1.22,1.31,-45,-46,0,39817,0,1,8,8,100,0,0
238,1.33,1.3,-45,-45,0,39825,-1,0,8,8,100,0,0
238,1.33,1.29,-43,-43,0,39833,-1,0,8,8,100,0,0
240,1.37,1.31,-44,-44,0,39841,0,1,8,8,100,0,0
236,1.3,1.33,-46,-46,0,39849,0,1,8,8,100,0,0
234,1.3,1.32,-44,-44,0,39857,0,1,8,8,100,0,0
238,1.26,1.31,-44,-44,0,39865,0,1,8,8,100,0,0
236,1.19,1.26,-44,-44,0,39873,1,0,8,9,100,0,0
236,1.26,1.25,-45,-45,0,39881,1,1,8,9,100,0,0
240,1.3,1.25,-45,-44,0,39889,-1,0,8,8,100,0,0
238,1.26,1.25,-46,-46,0,39897,1,1,8,9,100,0,0
236,1.19,1.25,-44,-44,0,39905,0,1,8,9,100,0,0
236,1.33,1.27,-44,-44,0,39913,-1,0,8,9,100,0,0
236,1.26,1.26,-46,-46,0,39921,-1,0,8,8,100,0,0
238,1.33,1.28,-44,-44,0,39929,-1,0,8,8,100,0,0
234,1.22,1.29,-45,-44,0,39937,1,1,8,9,100,0,0
238,1.22,1.26,-43,-44,0,39945,-1,0,8,8,100,0,0
