time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
238,0.86,0.88,-45,-45,0,21679,-1,1,9,9,100,0,0
236,0.86,0.88,-44,-44,0,21687,-1,-1,9,9,100,0,0
236,0.82,0.87,-44,-44,0,21695,-1,1,9,9,100,0,0
236,0.93,0.87,-45,-45,0,21703,0,1,9,9,100,0,0
236,0.82,0.86,-45,-44,0,21711,0,1,9,9,100,0,0
236,0.82,0.85,-43,-43,0,21719,0,1,9,9,100,0,0
238,0.82,0.85,-45,-45,0,21727,0,0,9,9,100,0,0
238,0.82,0.82,-45,-45,0,21735,0,0,9,9,100,0,0
238,0.89,0.84,-45,-45,0,21743,-1,0,9,9,100,0,0
236,0.82,0.84,-43,-43,0,21751,0,0,9,9,100,0,0
236,0.78,0.83,-43,-42,0,21759,1,1,9,9,100,0,0
236,0.93,0.86,-43,-43,0,21767,-1,2,9,8,100,0,0
236,0.89,0.86,-43,-42,0,21775,-1,1,9,9,100,0,0
208,0.86,0.87,-43,-42,0,21782,0,0,9,9,100,0,0
236,0.82,0.88,-45,-45,0,21790,-1,1,9,9,100,0,0
236,0.89,0.87,-43,-43,0,21798,-1,1,9,9,100,0,0
236,0.89,0.87,-43,-42,0,21806,-1,0,9,9,100,0,0
236,0.78,0.85,-43,-42,0,21814,0,0,9,9,100,0,0
238,0.78,0.84,-44,-43,0,21822,-1,1,9,9,100,0,0
236,0.82,0.82,-43,-44,0,21830,0,0,9,9,100,0,0
236,0.89,0.82,-43,-43,0,21838,-1,1,9,9,100,0,0
238,0.86,0.84,-43,-43,0,21846,0,0,9,9,100,0,0
236,0.86,0.86,-45,-44,0,21854,0,1,9,9,100,0,0
236,0.75,0.84,-45,-45,0,21862,-1,0,9,9,100,0,0
238,0.82,0.82,-43,-42,0,21870,0,0,9,9,100,0,0
236,0.89,0.83,-43,-43,0,21878,0,0,9,9,100,0,0
236,0.78,0.81,-42,-42,0,21886,-1,1,9,9,100,0,0
236,0.82,0.83,-43,-43,0,21894,-1,1,9,9,100,0,0
238,0.82,0.83,-45,-45,0,21902,0,1,9,9,100,0,0
238,0.86,0.82,-43,-43,0,21910,0,1,9,9,100,0,0
238,0.86,0.84,-43,-43,0,21918,0,0,9,9,100,0,0
236,0.93,0.87,-43,-43,0,21926,0,0,9,9,100,0,0
236,0.82,0.87,-45,-45,0,21934,0,0,9,9,100,0,0
236,0.86,0.87,-44,-44,0,21942,-1,0,9,9,100,0,0
236,0.86,0.87,-43,-43,0,21950,0,0,9,9,100,0,0
236,0.89,0.86,-44,-43,0,21958,0,0,9,9,100,0,0
238,0.86,0.87,-43,-43,0,21966,1,1,9,9,100,0,0
238,0.82,0.86,-45,-44,0,21974,0,0,9,9,100,0,0
238,0.82,0.85,-45,-44,0,21982,-1,0,9,9,100,0,0
238,0.86,0.84,-44,-44,0,21990,0,0,9,9,100,0,0
238,0.89,0.85,-43,-43,0,21998,0,0,9,9,100,0,0
236,0.93,0.88,-43,-43,0,22006,0,1,9,9,100,0,0
236,0.86,0.88,-45,-45,0,22014,1,0,9,9,100,0,0
236,0.89,0.89,-43,-43,0,22022,0,0,9,9,100,0,0
238,0.86,0.88,-44,-44,0,22030,1,0,9,9,100,0,0
236,0.93,0.88,-44,-44,0,22038,0,1,9,9,100,0,0
238,0.97,0.91,-43,-43,0,22046,-1,0,9,9,100,0,0
238,0.89,0.91,-43,-42,0,22054,0,0,9,9,100,0,0
236,0.86,0.91,-43,-42,0,22062,0,1,9,9,100,0,0
238,0.93,0.91,-45,-45,0,22070,0,0,9,9,100,0,0
