time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
279,234,0,1.53,1.52,27425,-1,0,7,7,100,0,0,-47,-47
521,238,0,1.45,1.5,27433,-1,1,6,7,100,0,0,-50,-50
732,240,0,1.56,1.53,27441,-1,1,6,7,100,0,0,-49,-49
939,207,0,1.53,1.52,27448,1,0,6,7,100,0,0,-48,-48
1179,207,0,1.6,1.54,27455,-1,0,6,6,100,0,0,-49,-49
1392,234,0,1.53,1.55,27463,-1,0,6,7,100,0,0,-47,-47
1602,208,0,1.45,1.53,27470,-1,0,6,6,100,0,0,-47,-47
1838,207,0,1.49,1.52,27477,-1,1,6,6,100,0,0,-47,-47
2055,234,0,1.56,1.51,27485,0,1,6,6,100,0,0,-47,-47
2292,212,0,1.53,1.51,27492,0,1,6,6,100,0,0,-47,-46
2503,234,0,1.53,1.53,27500,-1,-1,6,6,100,0,0,-47,-47
2740,208,0,1.53,1.54,27507,0,0,6,6,100,0,0,-47,-47
2954,234,0,1.49,1.52,27515,0,0,6,7,100,0,0,-46,-47
3161,210,0,1.53,1.52,27522,0,0,6,6,100,0,0,-47,-46
3404,205,0,1.49,1.51,27529,1,0,6,6,100,0,0,-49,-49
3639,238,0,1.49,1.5,27537,0,1,6,6,100,0,0,-50,-50
3853,230,0,1.53,1.51,27545,0,1,6,6,100,0,0,-47,-47
4092,210,0,1.42,1.48,27552,0,2,6,7,100,0,0,-48,-47
4329,236,0,1.53,1.49,27560,1,0,6,6,100,0,0,-47,-47
4546,232,0,1.49,1.49,27568,1,0,6,6,100,0,0,-48,-49
4778,214,0,1.53,1.49,27575,0,0,6,6,100,0,0,-51,-51
5022,228,0,1.56,1.53,27583,-1,0,6,6,100,0,0,-49,-50
5262,240,0,1.56,1.54,27591,-1,0,6,6,100,0,0,-47,-47
5475,238,0,1.45,1.53,27599,-1,0,6,6,100,0,0,-50,-50
5711,210,0,1.49,1.52,27606,0,0,6,6,100,0,0,-47,-47
5951,234,0,1.53,1.51,27614,-1,1,6,6,100,0,0,-49,-49
6188,238,0,1.53,1.5,27622,0,0,6,6,100,0,0,-47,-47
6402,234,0,1.42,1.49,27630,0,2,6,6,100,0,0,-49,-50
6613,212,0,1.53,1.5,27637,-1,1,6,6,100,0,0,-49,-50
6851,207,0,1.45,1.48,27644,1,1,6,6,100,0,0,-48,-47
7269,183,0,1.53,1.48,27658,0,0,6,6,100,0,0,-48,-47
7483,228,0,1.56,1.52,27666,0,0,6,7,100,0,0,-47,-47
7724,212,0,1.56,1.53,27673,-1,0,6,6,100,0,0,-51,-51
7932,238,0,1.6,1.56,27681,0,-1,6,6,100,0,0,-49,-49
8172,205,0,1.53,1.56,27688,0,1,6,6,100,0,0,-47,-47
8412,234,0,1.53,1.55,27696,1,0,6,6,100,0,0,-48,-47
8623,236,0,1.49,1.54,27704,0,0,6,7,100,0,0,-47,-47
8861,207,0,1.6,1.54,27711,0,1,6,7,100,0,0,-49,-49
9100,234,0,1.56,1.54,27719,0,0,6,6,100,0,0,-49,-50
9312,234,0,1.56,1.55,27727,-1,0,6,7,100,0,0,-50,-50
9551,210,0,1.53,1.56,27734,0,0,6,6,100,0,0,-48,-49
9764,234,0,1.49,1.54,27742,1,1,6,7,100,0,0,-47,-46
10000,208,0,1.45,1.51,27749,1,0,6,6,100,0,0,-49,-49
10241,234,0,1.53,1.5,27757,-1,1,6,6,100,0,0,-48,-49
10454,238,0,1.56,1.51,27765,-1,0,6,7,100,0,0,-47,-47
10692,210,0,1.53,1.52,27772,0,2,6,6,100,0,0,-46,-46
10930,232,0,1.56,1.54,27780,0,0,6,6,100,0,0,-48,-49
11172,234,0,1.56,1.55,27788,0,0,6,6,100,0,0,-47,-46
11411,238,0,1.56,1.55,27796,1,0,6,6,100,0,0,-50,-51
11652,234,0,1.49,1.54,27804,0,1,6,6,100,0,0,-46,-46
