time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
483,191,0,2.99,3.15,21026,0,1,5,5,100,0,0,-56,-58
699,224,0,3.28,3.15,21034,0,2,5,6,100,0,0,-58,-57
939,212,0,3.32,3.18,21041,1,0,5,6,100,0,0,-59,-58
1149,236,0,3.32,3.23,21049,0,-1,5,5,100,0,0,-61,-61
1358,207,0,3.21,3.28,21056,0,1,5,5,100,0,0,-79,-78
1594,205,0,3.21,3.26,21063,0,1,5,5,100,0,0,-63,-63
1808,232,0,3.25,3.25,21071,-1,0,5,5,100,0,0,-58,-58
2018,210,0,3.28,3.24,21078,-1,-1,5,6,100,0,0,-60,-59
2229,207,0,3.28,3.26,21085,0,1,5,5,100,0,0,-60,-60
2619,181,0,3.21,3.26,21098,-1,0,5,5,100,0,0,-60,-59
2829,201,0,3.14,3.23,21105,0,1,5,5,100,0,0,-66,-66
3813,234,0,3.03,3.11,21137,1,1,5,5,100,0,0,-58,-58
4029,234,0,3.03,3.06,21145,0,0,5,5,100,0,0,-60,-59
4238,212,0,3.1,3.05,21152,0,1,5,5,100,0,0,-58,-58
4653,181,0,3.1,3.06,21165,0,0,5,5,100,0,0,-61,-60
4869,228,0,3.14,3.09,21173,1,0,5,5,100,0,0,-65,-65
5289,207,0,3.17,3.14,21187,0,2,5,6,100,0,0,-58,-58
5498,205,0,3.17,3.15,21194,0,0,5,5,100,0,0,-60,-59
5736,207,0,3.14,3.15,21201,0,1,5,5,100,0,0,-58,-58
5973,234,0,2.99,3.12,21209,0,0,5,5,100,0,0,-61,-61
6369,189,0,2.95,3.06,21223,1,0,5,5,100,0,0,-58,-58
6604,203,0,3.03,3.03,21230,0,0,5,5,100,0,0,-61,-60
6820,232,0,2.95,2.98,21238,0,0,5,5,100,0,0,-59,-58
7056,212,0,2.99,2.98,21245,0,0,5,5,100,0,0,-61,-61
7297,232,0,2.95,2.98,21253,0,1,5,5,100,0,0,-58,-57
7534,238,0,2.88,2.94,21261,0,1,5,5,100,0,0,-58,-57
7747,234,0,3.03,2.96,21269,1,0,5,5,100,0,0,-61,-60
7984,210,0,3.1,2.99,21276,1,1,5,5,100,0,0,-59,-58
8197,232,0,3.1,3.03,21284,0,0,5,6,100,0,0,-58,-57
8439,210,0,3.14,3.09,21291,0,0,5,5,100,0,0,-59,-59
8647,238,0,3.1,3.11,21299,0,0,5,5,100,0,0,-59,-58
8860,205,0,3.1,3.11,21306,0,0,5,5,100,0,0,-61,-61
9249,181,0,3.17,3.13,21319,1,1,5,5,100,0,0,-57,-57
9457,203,0,3.21,3.15,21326,0,2,5,5,100,0,0,-58,-57
9666,205,0,3.17,3.16,21333,-1,3,5,5,100,0,0,-60,-59
10059,185,0,3.21,3.19,21346,0,-1,5,5,100,0,0,-79,-79
10869,183,0,3.17,3.19,21373,-1,0,5,5,100,0,0,-61,-61
12003,175,0,3.17,3.18,21410,1,-1,5,5,100,0,0,-58,-58
12218,224,0,3.1,3.16,21418,-1,2,5,5,100,0,0,-61,-61
12640,210,0,3.17,3.15,21432,-1,0,5,6,100,0,0,-57,-57
13029,183,0,3.14,3.15,21445,0,2,5,5,100,0,0,-62,-62
13238,201,0,3.17,3.15,21452,1,1,5,5,100,0,0,-57,-57
13630,185,0,3.21,3.17,21465,0,-1,5,5,100,0,0,-59,-59
13839,203,0,3.25,3.19,21472,1,0,5,5,100,0,0,-59,-59
14049,207,0,3.17,3.2,21479,-1,-1,5,6,100,0,0,-60,-59
14260,208,0,3.14,3.19,21486,0,0,5,5,100,0,0,-60,-59
14469,207,0,3.21,3.19,21493,0,0,5,5,100,0,0,-69,-69
14678,205,0,3.14,3.16,21500,0,1,5,5,100,0,0,-58,-58
14890,205,0,3.17,3.16,21507,0,0,5,5,100,0,0,-80,-80
15278,181,0,3.1,3.15,21520,1,0,5,5,100,0,0,-62,-61
