time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
254,207,0,0.72,0.67,58738,1,1,7,7,100,0,0,-47,-47
488,207,0,0.68,0.67,58745,1,1,7,7,100,0,0,-47,-47
704,230,0,0.68,0.68,58753,0,0,7,7,100,0,0,-45,-45
913,212,0,0.68,0.69,58760,1,0,7,7,100,0,0,-46,-46
1124,205,0,0.76,0.7,58767,0,0,7,7,100,0,0,-48,-47
1362,207,0,0.68,0.7,58774,1,-1,7,7,100,0,0,-47,-47
1575,234,0,0.72,0.71,58782,-1,0,7,7,100,0,0,-48,-48
1784,210,0,0.68,0.71,58789,1,-1,7,7,100,0,0,-45,-45
1994,207,0,0.76,0.71,58796,1,0,7,7,100,0,0,-46,-46
2204,208,0,0.68,0.71,58803,0,0,7,7,100,0,0,-46,-46
2439,207,0,0.72,0.71,58810,0,0,7,7,100,0,0,-47,-47
2653,232,0,0.76,0.73,58818,0,-1,7,7,100,0,0,-47,-47
2863,210,0,0.76,0.73,58825,0,0,7,7,100,0,0,-45,-45
3075,207,0,0.65,0.72,58832,1,0,7,7,100,0,0,-45,-45
3284,208,0,0.76,0.73,58839,1,0,7,7,100,0,0,-46,-47
3495,207,0,0.72,0.72,58846,0,-1,7,7,100,0,0,-45,-45
3703,207,0,0.76,0.72,58853,1,0,7,7,100,0,0,-47,-46
3913,207,0,0.72,0.74,58860,1,-1,7,7,100,0,0,-46,-47
4125,207,0,0.76,0.74,58867,1,0,7,7,100,0,0,-47,-47
4362,208,0,0.68,0.73,58874,1,0,7,7,100,0,0,-45,-45
4575,232,0,0.65,0.7,58882,0,0,7,7,100,0,0,-47,-47
4782,210,0,0.76,0.71,58889,1,0,7,7,100,0,0,-47,-47
4995,205,0,0.68,0.69,58896,0,0,7,7,100,0,0,-45,-45
5203,208,0,0.76,0.71,58903,1,-1,7,7,100,0,0,-48,-49
5415,207,0,0.72,0.73,58910,1,0,7,7,100,0,0,-47,-47
5625,208,0,0.72,0.72,58917,1,0,7,7,100,0,0,-46,-46
5834,205,0,0.76,0.74,58924,0,0,7,7,100,0,0,-45,-45
6069,207,0,0.76,0.74,58931,1,0,7,7,100,0,0,-46,-46
6285,232,0,0.68,0.73,58939,0,0,7,7,100,0,0,-48,-48
6519,214,0,0.76,0.74,58946,1,0,7,7,100,0,0,-46,-46
6734,230,0,0.72,0.73,58954,1,0,7,7,100,0,0,-46,-47
6943,212,0,0.68,0.71,58961,1,0,7,7,100,0,0,-47,-47
7179,205,0,0.72,0.72,58968,1,0,7,7,100,0,0,-46,-46
7394,232,0,0.68,0.7,58976,0,0,7,7,100,0,0,-46,-46
7604,210,0,0.61,0.67,58983,1,-1,7,7,100,0,0,-47,-46
7814,207,0,0.68,0.67,58990,1,-1,7,7,100,0,0,-46,-46
8024,207,0,0.68,0.67,58997,0,0,7,7,100,0,0,-48,-48
8236,207,0,0.68,0.67,59004,1,1,7,7,100,0,0,-46,-47
8444,208,0,0.72,0.69,59011,1,-1,7,7,100,0,0,-47,-47
8653,205,0,0.72,0.7,59018,0,-1,7,7,100,0,0,-47,-47
8865,205,0,0.65,0.69,59025,1,0,7,7,100,0,0,-46,-46
9099,208,0,0.68,0.69,59032,1,0,7,7,100,0,0,-45,-45
9316,230,0,0.72,0.69,59040,0,0,7,7,100,0,0,-46,-46
9525,212,0,0.76,0.7,59047,1,1,7,7,100,0,0,-46,-46
9732,205,0,0.79,0.74,59054,1,0,7,7,100,0,0,-47,-47
9970,205,0,0.76,0.76,59061,0,-1,7,7,100,0,0,-47,-47
10185,234,0,0.72,0.76,59069,1,0,7,7,100,0,0,-47,-46
10395,212,0,0.65,0.73,59076,0,-1,7,7,100,0,0,-47,-47
10604,207,0,0.72,0.71,59083,1,0,7,7,100,0,0,-47,-47
11023,208,0,0.72,0.69,59097,0,-1,7,7,100,0,0,-46,-45
