time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
340,210,0,1.27,1.25,36130,1,1,9,9,100,0,0,-37,-37
550,205,0,1.23,1.25,36137,-1,-1,9,9,100,0,0,-38,-37
760,207,0,1.23,1.25,36144,0,1,9,9,100,0,0,-39,-38
969,207,0,1.31,1.26,36151,0,1,9,9,100,0,0,-38,-38
1180,207,0,1.27,1.26,36158,-1,0,9,9,100,0,0,-38,-37
1390,208,0,1.31,1.28,36165,0,0,9,9,100,0,0,-38,-38
1600,207,0,1.27,1.29,36172,0,1,9,9,100,0,0,-37,-37
1809,208,0,1.27,1.28,36179,1,1,9,9,100,0,0,-38,-38
2018,207,0,1.23,1.27,36186,1,0,9,9,100,0,0,-37,-37
2230,207,0,1.31,1.27,36193,0,2,9,9,100,0,0,-37,-37
2440,208,0,1.23,1.26,36200,-1,0,9,9,100,0,0,-38,-38
2649,207,0,1.23,1.25,36207,-1,1,9,9,100,0,0,-37,-37
2859,207,0,1.2,1.24,36214,0,1,9,9,100,0,0,-37,-37
3070,207,0,1.27,1.23,36221,0,0,9,9,100,0,0,-38,-37
3279,207,0,1.2,1.22,36228,-1,0,9,9,100,0,0,-37,-37
3491,205,0,1.2,1.21,36235,-1,1,9,9,100,0,0,-37,-37
3700,207,0,1.31,1.24,36242,-1,0,9,9,100,0,0,-37,-37
3910,207,0,1.2,1.22,36249,0,0,9,9,100,0,0,-37,-37
4119,207,0,1.23,1.23,36256,0,1,9,9,100,0,0,-38,-37
4329,205,0,1.23,1.24,36263,0,0,9,9,100,0,0,-38,-38
4541,207,0,1.27,1.23,36270,0,1,9,9,100,0,0,-38,-38
4750,208,0,1.23,1.24,36277,-1,0,9,9,100,0,0,-38,-37
4959,207,0,1.23,1.24,36284,1,1,9,9,100,0,0,-37,-37
5170,205,0,1.23,1.24,36291,-1,1,9,9,100,0,0,-38,-38
5380,208,0,1.2,1.22,36298,-1,0,9,9,100,0,0,-37,-37
5589,207,0,1.31,1.24,36305,0,1,9,9,100,0,0,-38,-38
5798,207,0,1.27,1.25,36312,0,0,9,9,100,0,0,-38,-37
6010,207,0,1.27,1.26,36319,0,0,9,9,100,0,0,-38,-38
6220,207,0,1.31,1.29,36326,0,1,9,9,100,0,0,-37,-37
6430,207,0,1.2,1.26,36333,-1,0,9,9,100,0,0,-37,-37
6667,208,0,1.27,1.26,36340,0,0,9,9,100,0,0,-38,-38
6880,234,0,1.27,1.26,36348,-1,0,9,9,100,0,0,-38,-37
7090,210,0,1.31,1.26,36355,1,1,9,9,100,0,0,-37,-37
7301,205,0,1.27,1.28,36362,0,1,9,9,100,0,0,-38,-37
7535,207,0,1.2,1.26,36369,0,1,9,9,100,0,0,-38,-37
7750,230,0,1.23,1.25,36377,0,1,9,9,100,0,0,-38,-38
7960,210,0,1.23,1.23,36384,0,0,9,9,100,0,0,-38,-38
8171,208,0,1.27,1.23,36391,0,1,9,9,100,0,0,-37,-36
8382,207,0,1.16,1.22,36398,-1,0,9,9,100,0,0,-38,-38
8589,208,0,1.2,1.21,36405,-1,0,9,9,100,0,0,-37,-37
8800,205,0,1.27,1.22,36412,-1,1,9,9,100,0,0,-37,-37
9010,205,0,1.27,1.22,36419,-1,1,9,9,100,0,0,-37,-37
9219,208,0,1.31,1.26,36426,0,1,9,9,100,0,0,-37,-37
9431,207,0,1.31,1.29,36433,0,1,9,9,100,0,0,-37,-37
9640,208,0,1.2,1.27,36440,-1,0,9,9,100,0,0,-37,-37
9851,205,0,1.31,1.28,36447,0,1,9,9,100,0,0,-38,-37
10060,208,0,1.23,1.26,36454,0,0,9,9,100,0,0,-38,-38
10271,207,0,1.23,1.24,36461,0,2,9,9,100,0,0,-37,-37
10480,208,0,1.34,1.28,36468,0,1,9,9,100,0,0,-38,-37
10900,210,0,1.2,1.25,36482,0,0,9,9,100,0,0,-38,-38
