time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
382,365,0,0.68,1.86,24003,0,0,6,7,100,0,0,-49,-50
798,361,0,0.6,1.24,24016,0,0,6,6,100,0,0,-54,-55
1193,386,0,0.6,0.64,24030,0,0,6,7,100,0,0,-55,-55
1612,369,0,0.64,0.63,24043,0,0,6,6,100,0,0,-46,-46
2004,388,0,0.6,0.61,24057,1,0,6,6,100,0,0,-51,-52
2420,365,0,3.2,1.26,24070,0,-1,6,6,100,0,0,-53,-54
2841,388,0,0.64,1.27,24084,1,0,6,6,100,0,0,-46,-47
3233,394,0,3.16,1.9,24098,1,0,6,6,100,0,0,-45,-46
3623,363,0,0.57,1.89,24111,1,-1,6,6,100,0,0,-60,-60
4012,363,0,0.6,1.24,24124,1,0,6,6,100,0,0,-46,-47
4403,361,0,0.49,1.21,24137,0,0,6,7,100,0,0,-55,-55
4821,365,0,0.53,0.55,24150,0,0,6,6,100,0,0,-61,-61
5215,388,0,0.57,0.55,24164,0,0,6,6,100,0,0,-65,-64
5606,365,0,0.6,0.55,24177,0,-1,6,7,100,0,0,-70,-69
5994,363,0,0.64,0.58,24190,1,0,6,7,100,0,0,-49,-51
6412,361,0,0.6,0.6,24203,1,1,6,6,100,0,0,-46,-46
6802,388,0,0.57,0.6,24217,1,0,6,6,100,0,0,-45,-46
7223,363,0,0.6,0.6,24230,-1,0,6,6,100,0,0,-46,-47
7613,390,0,0.57,0.58,24244,0,0,6,6,100,0,0,-54,-55
8005,361,0,0.57,0.57,24257,0,0,6,7,100,0,0,-46,-47
8421,363,0,0.6,0.58,24270,0,0,6,6,100,0,0,-53,-54
8843,388,0,0.64,0.59,24284,1,1,6,7,100,0,0,-52,-53
9233,392,0,0.6,0.6,24298,0,0,6,6,100,0,0,-52,-53
9623,365,0,0.49,0.58,24311,0,0,6,6,100,0,0,-53,-54
10042,359,0,0.64,0.59,24324,0,0,6,6,100,0,0,-45,-46
10433,390,0,3.13,1.22,24338,1,0,6,6,100,0,0,-52,-53
10849,361,0,0.6,1.22,24351,0,0,6,6,100,0,0,-53,-54
11243,388,0,0.57,1.23,24365,1,0,6,7,100,0,0,-46,-47
11633,367,0,0.64,1.23,24378,0,0,6,7,100,0,0,-49,-50
12053,363,0,0.6,0.6,24391,0,0,6,6,100,0,0,-70,-69
12443,390,0,0.57,0.59,24405,0,0,6,6,100,0,0,-67,-67
12864,361,0,0.57,0.59,24418,1,1,6,6,100,0,0,-45,-46
13279,392,0,3.16,1.22,24432,0,0,6,6,100,0,0,-52,-53
13701,386,0,3.16,1.86,24446,-1,0,6,6,100,0,0,-46,-46
14485,365,0,3.13,2.51,24473,1,0,6,6,100,0,0,-46,-47
14874,365,0,3.13,3.15,24486,1,0,6,7,100,0,0,-46,-47
15292,361,0,3.16,3.15,24499,0,0,6,6,100,0,0,-50,-51
15683,390,0,0.64,2.51,24513,0,0,6,7,100,0,0,-46,-47
16102,363,0,0.64,1.89,24526,-1,0,6,6,100,0,0,-48,-50
16493,392,0,3.2,1.91,24540,0,0,6,7,100,0,0,-46,-47
16884,361,0,0.53,1.25,24553,1,0,6,7,100,0,0,-46,-46
17275,365,0,0.64,1.25,24566,1,0,6,7,100,0,0,-53,-54
17693,361,0,0.64,1.25,24579,1,0,6,6,100,0,0,-46,-47
18112,392,0,0.57,0.59,24593,0,0,6,6,100,0,0,-45,-46
18505,390,0,3.13,1.24,24607,0,0,6,7,100,0,0,-46,-46
18892,365,0,3.16,1.87,24620,0,1,6,7,100,0,0,-48,-49
19283,361,0,3.16,2.51,24633,0,0,6,7,100,0,0,-46,-46
19702,361,0,3.16,3.16,24646,1,0,6,6,100,0,0,-78,-78
20095,390,0,3.2,3.17,24660,1,0,6,7,100,0,0,-46,-47
20485,365,0,3.2,3.18,24673,-1,0,6,7,100,0,0,-47,-47
