time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
368,363,0,1.22,1.25,7425,0,1,8,9,100,0,0,-38,-39
758,365,0,1.26,1.25,7438,-1,0,8,9,100,0,0,-40,-40
1146,363,0,1.26,1.25,7451,0,1,8,9,100,0,0,-36,-37
1537,359,0,1.3,1.26,7464,0,0,8,9,100,0,0,-39,-39
1927,363,0,1.22,1.26,7477,0,0,8,9,100,0,0,-36,-37
2318,361,0,1.3,1.27,7490,0,1,8,9,100,0,0,-40,-41
2709,363,0,1.26,1.27,7503,-1,0,8,9,100,0,0,-40,-40
3097,363,0,1.26,1.26,7516,0,0,8,9,100,0,0,-39,-39
3489,361,0,1.26,1.27,7529,0,1,8,8,100,0,0,-37,-37
3877,363,0,1.22,1.25,7542,1,0,8,9,100,0,0,-40,-40
4269,361,0,1.3,1.26,7555,-1,0,8,9,100,0,0,-40,-40
4659,363,0,1.3,1.27,7568,0,-1,9,9,100,0,0,-42,-42
5047,363,0,1.26,1.27,7581,0,0,8,9,100,0,0,-38,-39
5439,359,0,1.22,1.27,7594,0,1,8,9,100,0,0,-40,-40
5827,363,0,1.3,1.27,7607,0,0,8,9,100,0,0,-36,-37
6217,361,0,1.26,1.26,7620,-1,0,8,8,100,0,0,-43,-42
6606,361,0,1.26,1.26,7633,0,0,8,9,100,0,0,-43,-42
6996,359,0,1.3,1.28,7646,0,0,8,9,100,0,0,-43,-43
7388,361,0,1.37,1.3,7659,0,1,8,9,100,0,0,-37,-37
7775,363,0,1.3,1.31,7672,0,0,8,9,100,0,0,-39,-39
8170,361,0,1.22,1.3,7685,0,1,8,9,100,0,0,-41,-41
8558,365,0,1.3,1.3,7698,0,0,8,9,100,0,0,-40,-41
8948,361,0,1.26,1.27,7711,0,0,8,9,100,0,0,-38,-39
9337,361,0,1.26,1.26,7724,0,0,8,9,100,0,0,-37,-37
9729,361,0,1.3,1.28,7737,0,0,8,9,100,0,0,-43,-43
10118,363,0,1.3,1.28,7750,0,0,8,9,100,0,0,-39,-39
10506,363,0,1.3,1.29,7763,0,1,8,9,100,0,0,-37,-37
10897,359,0,1.33,1.31,7776,0,0,8,9,100,0,0,-39,-40
11287,365,0,1.3,1.31,7789,-1,0,8,9,100,0,0,-39,-39
11680,359,0,1.33,1.32,7802,0,1,8,9,100,0,0,-37,-38
12066,365,0,1.33,1.32,7815,0,0,8,9,100,0,0,-37,-37
12458,359,0,1.37,1.33,7828,-1,0,8,9,100,0,0,-39,-39
12847,365,0,1.3,1.33,7841,1,1,8,9,100,0,0,-40,-40
13235,361,0,1.26,1.32,7854,0,1,8,9,100,0,0,-39,-40
13624,361,0,1.37,1.32,7867,1,1,8,8,100,0,0,-41,-41
14019,361,0,1.3,1.31,7880,0,0,8,9,100,0,0,-40,-40
14409,365,0,1.26,1.3,7893,0,0,8,9,100,0,0,-39,-39
14795,361,0,1.3,1.31,7906,0,0,8,9,100,0,0,-38,-39
15189,359,0,1.3,1.29,7919,0,1,8,9,100,0,0,-44,-44
15579,365,0,1.26,1.28,7932,1,0,8,8,100,0,0,-39,-39
15968,363,0,1.26,1.28,7945,0,0,8,9,100,0,0,-36,-37
16384,361,0,1.37,1.3,7958,0,0,8,8,100,0,0,-40,-40
16776,388,0,1.33,1.31,7972,0,0,8,9,100,0,0,-37,-38
17169,363,0,1.3,1.32,7985,-1,0,8,8,100,0,0,-39,-40
17559,365,0,1.26,1.32,7998,0,0,8,9,100,0,0,-37,-37
17946,361,0,1.33,1.31,8011,1,1,8,9,100,0,0,-38,-39
18338,359,0,1.26,1.29,8024,0,0,9,9,100,0,0,-41,-41
18729,363,0,1.26,1.28,8037,0,0,8,9,100,0,0,-43,-43
19119,363,0,1.26,1.28,8050,0,0,8,9,100,0,0,-36,-37
19509,361,0,1.33,1.28,8063,-1,1,8,9,100,0,0,-38,-39
