time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
565,326,0,1.0,0.99,143,1,-1,8,8,100,0,0,-38,-38
980,318,0,1.0,0.99,156,1,-1,8,8,100,0,0,-37,-37
1372,339,0,1.0,1.0,170,1,0,7,8,100,0,0,-37,-37
1764,320,0,1.0,1.0,183,1,-1,7,8,100,0,0,-39,-40
2182,318,0,1.04,1.01,196,0,-1,8,8,100,0,0,-38,-38
2602,341,0,1.04,1.02,210,0,-1,8,8,100,0,0,-37,-37
2994,343,0,1.0,1.02,224,1,-1,8,8,100,0,0,-37,-37
3416,318,0,1.0,1.02,237,1,-1,8,8,100,0,0,-37,-37
3832,345,0,1.04,1.02,251,1,0,7,8,100,0,0,-36,-37
4249,339,0,1.04,1.02,265,1,-1,8,8,100,0,0,-43,-44
4642,341,0,1.0,1.02,279,1,0,8,8,100,0,0,-37,-37
5061,355,0,1.04,1.03,292,1,0,8,8,100,0,0,-41,-42
5483,392,0,1.0,1.02,306,1,0,8,8,100,0,0,-37,-37
5901,392,0,0.97,1.0,320,1,0,8,8,100,0,0,-37,-38
6292,390,0,1.08,1.02,334,0,-1,7,8,100,0,0,-40,-41
6709,363,0,0.97,1.0,347,0,0,7,8,100,0,0,-39,-40
7102,390,0,1.08,1.02,361,1,0,7,8,100,0,0,-37,-38
7523,363,0,1.08,1.05,374,1,0,7,7,100,0,0,-41,-42
7912,394,0,1.0,1.03,388,1,-1,7,8,100,0,0,-37,-37
8335,363,0,0.97,1.03,401,0,0,7,7,100,0,0,-37,-37
8754,394,0,1.08,1.03,415,1,-1,7,7,100,0,0,-40,-40
9143,392,0,1.08,1.03,429,1,-1,7,8,100,0,0,-37,-37
9564,359,0,1.0,1.03,442,1,-1,7,8,100,0,0,-37,-37
9982,392,0,1.04,1.05,456,1,0,7,7,100,0,0,-37,-37
10402,388,0,1.0,1.03,470,1,-1,7,8,100,0,0,-38,-38
10823,390,0,1.0,1.01,484,1,0,7,7,100,0,0,-37,-37
11212,394,0,1.0,1.01,498,1,0,8,8,100,0,0,-42,-43
11602,361,0,1.0,1.0,511,1,-1,8,8,100,0,0,-37,-37
11991,361,0,1.0,1.0,524,0,-1,7,8,100,0,0,-37,-37
12414,361,0,1.0,1.0,537,1,-1,8,8,100,0,0,-37,-37
12831,396,0,1.0,1.0,551,1,0,8,8,100,0,0,-40,-41
13224,386,0,1.04,1.01,565,1,0,8,8,100,0,0,-37,-37
13613,365,0,1.04,1.02,578,1,-1,7,8,100,0,0,-37,-37
14005,361,0,1.0,1.02,591,0,-1,8,8,100,0,0,-38,-38
14392,363,0,0.97,1.01,604,1,-1,8,8,100,0,0,-37,-37
14807,359,0,0.97,1.0,617,1,0,8,8,100,0,0,-37,-38
15204,386,0,0.97,0.98,631,0,-1,8,8,100,0,0,-37,-37
15590,369,0,0.97,0.97,644,0,0,7,8,100,0,0,-37,-37
15984,359,0,1.04,0.99,657,1,-1,8,8,100,0,0,-38,-38
16372,367,0,1.0,1.0,670,1,-1,8,8,100,0,0,-38,-38
16763,359,0,1.0,1.0,683,1,-1,8,8,100,0,0,-37,-37
17153,363,0,0.97,1.0,696,1,-1,8,8,100,0,0,-38,-38
17572,363,0,1.0,1.0,709,1,-1,7,8,100,0,0,-39,-39
17962,390,0,1.0,1.0,723,0,-1,8,8,100,0,0,-39,-40
18353,363,0,1.04,1.0,736,1,-1,8,8,100,0,0,-37,-37
18770,363,0,1.04,1.02,749,1,-1,8,8,100,0,0,-37,-37
19192,388,0,1.04,1.03,763,1,-1,8,8,100,0,0,-38,-39
19581,392,0,1.08,1.05,777,1,0,8,8,100,0,0,-36,-37
19972,363,0,1.04,1.05,790,0,-1,8,8,100,0,0,-37,-37
20365,363,0,1.04,1.05,803,1,-1,8,8,100,0,0,-37,-37
