time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
715,361,0,1.0,0.99,2250,0,0,9,9,100,0,0,-40,-40
1108,361,0,1.0,1.0,2263,0,0,9,9,100,0,0,-42,-42
1495,359,0,1.0,1.01,2276,1,0,9,9,100,0,0,-37,-37
1883,361,0,0.93,0.99,2289,1,1,9,9,100,0,0,-44,-44
2275,361,0,0.97,0.98,2302,0,0,9,9,100,0,0,-36,-37
2667,363,0,1.11,1.0,2315,0,0,9,9,100,0,0,-36,-37
3055,361,0,0.97,1.0,2328,0,0,9,9,100,0,0,-36,-37
3443,361,0,0.97,1.0,2341,1,0,9,9,100,0,0,-38,-38
3838,361,0,1.08,1.03,2354,0,0,9,9,100,0,0,-36,-37
4225,363,0,1.0,1.0,2367,0,0,9,9,100,0,0,-38,-39
4618,361,0,1.04,1.02,2380,0,-1,9,9,100,0,0,-44,-44
5006,361,0,1.0,1.03,2393,1,0,9,9,100,0,0,-37,-37
5397,359,0,0.89,0.99,2406,1,0,9,9,100,0,0,-41,-41
5785,361,0,1.04,1.0,2419,0,0,9,9,100,0,0,-37,-37
6178,363,0,1.0,0.99,2432,1,1,9,9,100,0,0,-45,-45
6566,363,0,1.0,0.99,2445,0,1,9,9,100,0,0,-37,-38
6958,361,0,0.97,1.0,2458,0,0,9,9,100,0,0,-36,-37
7346,363,0,0.93,0.98,2471,0,0,9,9,100,0,0,-40,-40
7737,361,0,1.0,0.98,2484,1,0,9,9,100,0,0,-45,-45
8125,361,0,1.0,0.98,2497,0,1,9,9,100,0,0,-37,-38
8518,361,0,0.97,0.98,2510,0,1,9,9,100,0,0,-45,-45
8905,363,0,1.0,1.0,2523,1,0,9,9,100,0,0,-43,-44
9297,361,0,0.97,0.99,2536,0,0,9,9,100,0,0,-42,-42
9685,363,0,1.0,0.99,2549,1,0,9,9,100,0,0,-36,-37
10077,361,0,1.04,1.0,2562,0,0,9,9,100,0,0,-43,-44
10466,363,0,1.04,1.01,2575,0,0,9,9,100,0,0,-36,-37
10858,361,0,1.04,1.03,2588,0,0,9,9,100,0,0,-44,-44
11245,363,0,1.04,1.04,2601,1,0,9,9,100,0,0,-37,-37
11638,361,0,1.0,1.03,2614,1,0,9,9,100,0,0,-44,-45
12026,363,0,0.97,1.01,2627,0,0,9,9,100,0,0,-44,-44
12417,363,0,1.08,1.02,2640,0,1,9,9,100,0,0,-36,-37
12806,363,0,1.0,1.01,2653,0,0,9,9,100,0,0,-37,-37
13197,361,0,0.97,1.0,2666,1,-1,9,9,100,0,0,-36,-37
13586,365,0,0.97,1.0,2679,0,0,9,9,100,0,0,-36,-37
13978,361,0,1.0,0.99,2692,-1,0,9,9,100,0,0,-43,-43
14366,363,0,1.0,0.99,2705,1,1,9,9,100,0,0,-36,-37
14758,361,0,0.97,0.99,2718,1,0,9,9,100,0,0,-36,-37
15150,363,0,0.97,0.99,2731,1,-1,9,9,100,0,0,-36,-37
15538,363,0,1.0,0.99,2744,-1,0,9,9,100,0,0,-36,-37
15926,363,0,1.04,1.0,2757,1,0,9,9,100,0,0,-40,-40
16318,359,0,1.0,1.0,2770,0,0,9,9,100,0,0,-37,-38
16710,365,0,1.04,1.02,2783,-1,1,9,9,100,0,0,-37,-38
17098,361,0,0.97,1.01,2796,1,-1,9,9,100,0,0,-44,-44
17486,361,0,0.93,0.99,2809,0,0,9,9,100,0,0,-36,-37
17878,361,0,0.97,0.98,2822,0,0,9,9,100,0,0,-36,-37
18266,361,0,1.0,0.97,2835,1,0,9,9,100,0,0,-37,-38
18658,363,0,1.0,0.98,2848,0,0,9,9,100,0,0,-36,-37
19047,361,0,0.97,0.99,2861,0,0,9,9,100,0,0,-36,-37
19435,363,0,1.0,1.0,2874,1,0,9,9,100,0,0,-38,-38
19827,363,0,1.04,1.0,2887,1,0,9,9,100,0,0,-43,-43
