time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
630,363,0,1.66,1.61,23486,0,0,6,6,100,0,0,-50,-52
1050,390,0,1.66,1.63,23500,0,0,6,6,100,0,0,-49,-50
1440,390,0,1.66,1.66,23514,0,0,6,6,100,0,0,-50,-52
1861,361,0,1.63,1.66,23527,0,0,6,6,100,0,0,-51,-52
2250,394,0,1.63,1.65,23541,0,0,6,6,100,0,0,-49,-50
2670,361,0,1.63,1.64,23554,0,0,6,6,100,0,0,-52,-54
3059,392,0,1.66,1.64,23568,0,1,6,6,100,0,0,-50,-51
3482,361,0,1.66,1.65,23581,0,0,6,6,100,0,0,-50,-51
3902,394,0,1.66,1.66,23595,0,0,6,6,100,0,0,-49,-50
4323,390,0,1.66,1.66,23609,0,-1,6,6,100,0,0,-50,-51
4712,394,0,1.56,1.64,23623,0,1,6,6,100,0,0,-55,-56
5130,359,0,1.7,1.65,23636,0,0,6,6,100,0,0,-49,-50
5520,390,0,1.7,1.66,23650,0,0,6,6,100,0,0,-53,-55
5936,361,0,1.74,1.67,23663,0,0,6,6,100,0,0,-48,-50
6332,388,0,1.66,1.7,23677,0,0,7,7,100,0,0,-49,-51
6749,369,0,1.66,1.69,23690,0,0,6,6,100,0,0,-52,-54
7141,388,0,1.66,1.68,23704,0,0,6,7,100,0,0,-52,-53
7555,365,0,1.66,1.66,23717,0,0,6,7,100,0,0,-56,-56
7951,386,0,1.7,1.67,23731,0,0,6,6,100,0,0,-48,-50
8340,367,0,1.7,1.68,23744,0,0,6,6,100,0,0,-50,-52
8762,361,0,1.7,1.69,23757,0,0,6,7,100,0,0,-48,-50
9152,394,0,1.74,1.71,23771,1,1,6,7,100,0,0,-50,-51
9541,363,0,1.66,1.7,23784,0,0,6,7,100,0,0,-51,-52
9930,361,0,1.74,1.71,23797,0,0,6,7,100,0,0,-54,-55
10322,361,0,1.7,1.71,23810,0,0,6,6,100,0,0,-49,-51
10736,365,0,1.66,1.69,23823,0,1,6,7,100,0,0,-50,-52
11130,386,0,1.63,1.68,23837,0,1,6,6,100,0,0,-51,-52
11550,365,0,1.63,1.66,23850,0,0,6,6,100,0,0,-55,-56
11940,394,0,1.66,1.65,23864,0,0,6,6,100,0,0,-50,-51
12330,361,0,1.63,1.64,23877,0,0,6,6,100,0,0,-48,-50
12720,363,0,1.59,1.63,23890,0,0,6,7,100,0,0,-53,-55
13110,361,0,1.66,1.64,23903,0,0,6,7,100,0,0,-50,-52
13532,361,0,1.66,1.64,23916,1,0,6,7,100,0,0,-50,-51
13921,394,0,1.66,1.65,23930,-1,0,6,7,100,0,0,-50,-52
14311,361,0,1.7,1.67,23943,0,1,6,7,100,0,0,-49,-50
14732,361,0,1.7,1.68,23956,1,0,6,6,100,0,0,-49,-51
15119,392,0,1.63,1.67,23970,0,0,6,7,100,0,0,-50,-51
15510,359,0,1.63,1.66,23983,0,0,6,7,100,0,0,-55,-56
15899,363,0,1.66,1.66,23996,0,0,6,6,100,0,0,-49,-50
16319,361,0,1.66,1.65,24009,0,0,6,6,100,0,0,-55,-56
16709,392,0,1.77,1.68,24023,0,0,6,7,100,0,0,-51,-52
17100,363,0,1.74,1.71,24036,0,0,6,6,100,0,0,-48,-50
17514,363,0,1.7,1.72,24049,0,0,6,6,100,0,0,-49,-51
17910,388,0,1.66,1.72,24063,0,0,6,6,100,0,0,-55,-56
18301,367,0,1.66,1.69,24076,-1,0,6,7,100,0,0,-55,-56
18719,363,0,1.63,1.66,24089,0,0,6,6,100,0,0,-50,-52
19111,390,0,1.56,1.63,24103,0,0,6,7,100,0,0,-56,-56
19500,365,0,1.63,1.62,24116,0,1,6,6,100,0,0,-52,-54
19923,361,0,1.59,1.6,24129,0,0,6,6,100,0,0,-50,-51
20309,394,0,1.63,1.6,24143,0,0,6,7,100,0,0,-50,-51
