time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
748,361,0,1.08,1.1,6645,0,1,8,8,100,0,0,-43,-43
1139,363,0,1.08,1.09,6658,1,0,8,8,100,0,0,-42,-42
1529,361,0,1.19,1.12,6671,0,1,8,8,100,0,0,-42,-43
1919,361,0,1.19,1.13,6684,0,1,8,8,100,0,0,-43,-44
2307,363,0,1.12,1.14,6697,0,0,8,8,100,0,0,-41,-41
2696,359,0,1.12,1.15,6710,0,0,8,8,100,0,0,-41,-42
3089,363,0,1.19,1.15,6723,1,1,8,8,100,0,0,-41,-42
3480,365,0,1.12,1.13,6736,0,-1,8,8,100,0,0,-43,-44
3868,363,0,1.04,1.12,6749,0,1,8,8,100,0,0,-41,-42
4259,361,0,1.12,1.12,6762,0,-1,8,8,100,0,0,-42,-43
4649,363,0,1.08,1.09,6775,0,0,8,8,100,0,0,-43,-44
5038,361,0,1.12,1.09,6788,0,0,8,8,100,0,0,-41,-42
5428,361,0,1.12,1.11,6801,0,0,8,8,100,0,0,-43,-44
5817,361,0,1.04,1.09,6814,0,0,8,8,100,0,0,-41,-42
6208,363,0,1.12,1.1,6827,1,0,8,8,100,0,0,-43,-44
6596,363,0,1.04,1.08,6840,0,0,8,8,100,0,0,-43,-44
7016,361,0,1.04,1.06,6853,0,-1,8,8,100,0,0,-41,-42
7409,390,0,1.12,1.08,6867,0,0,8,8,100,0,0,-43,-44
7826,365,0,1.08,1.07,6880,1,1,8,8,100,0,0,-41,-41
8219,388,0,1.04,1.07,6894,0,0,8,8,100,0,0,-43,-43
8609,365,0,1.08,1.08,6907,0,0,8,8,100,0,0,-42,-42
8999,361,0,1.08,1.07,6920,1,1,8,8,100,0,0,-43,-44
9388,363,0,1.04,1.06,6933,1,0,8,8,100,0,0,-43,-43
9778,361,0,1.08,1.07,6946,0,0,8,8,100,0,0,-42,-42
10192,363,0,1.04,1.06,6959,0,0,8,8,100,0,0,-42,-43
10586,386,0,1.12,1.07,6973,0,-1,8,8,100,0,0,-43,-44
10977,367,0,1.04,1.07,6986,0,0,8,8,100,0,0,-43,-44
11366,361,0,1.12,1.08,6999,0,0,8,8,100,0,0,-41,-42
11757,361,0,1.08,1.09,7012,0,0,8,8,100,0,0,-43,-44
12147,363,0,1.04,1.07,7025,0,0,8,8,100,0,0,-42,-43
12537,361,0,1.08,1.08,7038,1,0,8,8,100,0,0,-41,-42
12929,363,0,1.08,1.07,7051,1,0,8,8,100,0,0,-42,-42
13343,363,0,1.08,1.07,7064,0,-1,8,8,100,0,0,-42,-42
13738,386,0,1.08,1.08,7078,0,1,8,8,100,0,0,-42,-43
14156,365,0,1.08,1.08,7091,0,1,8,8,100,0,0,-41,-42
14547,390,0,1.12,1.09,7105,0,0,8,8,100,0,0,-43,-44
14938,365,0,1.08,1.09,7118,0,0,8,8,100,0,0,-42,-43
15326,363,0,1.08,1.09,7131,0,0,8,8,100,0,0,-43,-44
15749,361,0,1.15,1.11,7144,1,1,8,8,100,0,0,-42,-43
16165,394,0,1.08,1.1,7158,0,0,8,8,100,0,0,-42,-43
16555,388,0,1.08,1.1,7172,0,1,8,8,100,0,0,-43,-44
16976,363,0,1.12,1.11,7185,-1,0,8,8,100,0,0,-42,-43
17368,394,0,1.08,1.09,7199,1,1,8,8,100,0,0,-43,-44
17755,363,0,1.04,1.08,7212,0,1,8,8,100,0,0,-43,-43
18176,359,0,1.08,1.08,7225,0,0,8,8,100,0,0,-43,-44
18567,392,0,1.04,1.06,7239,0,1,8,8,100,0,0,-40,-41
18959,365,0,1.12,1.07,7252,0,1,8,8,100,0,0,-43,-44
19348,361,0,1.04,1.07,7265,0,0,8,8,100,0,0,-41,-42
19737,361,0,1.04,1.06,7278,-1,0,8,8,100,0,0,-43,-44
20128,361,0,1.08,1.07,7291,0,0,8,8,100,0,0,-41,-42
