time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
440,310,0,2.25,2.21,225,1,-1,8,8,100,0,0,-43,-43
1250,330,0,2.22,2.19,252,1,0,8,8,100,0,0,-44,-45
1641,316,0,2.14,2.18,265,1,-1,8,8,100,0,0,-42,-43
2031,310,0,2.14,2.15,278,1,-1,8,8,100,0,0,-42,-44
2420,312,0,2.18,2.17,291,1,0,8,8,100,0,0,-42,-43
2811,359,0,2.22,2.17,304,1,-1,8,8,100,0,0,-44,-45
3228,361,0,2.18,2.18,317,1,0,8,8,100,0,0,-43,-44
3621,388,0,2.25,2.21,331,1,0,8,8,100,0,0,-43,-44
4011,365,0,2.18,2.21,344,1,-1,8,8,100,0,0,-42,-43
4398,363,0,2.25,2.22,357,1,-1,8,8,100,0,0,-43,-44
4791,359,0,2.25,2.23,370,1,-1,8,8,100,0,0,-42,-44
5180,363,0,2.22,2.23,383,1,0,8,8,100,0,0,-43,-43
5571,359,0,2.25,2.24,396,1,-1,8,8,100,0,0,-43,-44
5961,363,0,2.18,2.23,409,1,-1,8,8,100,0,0,-43,-44
6349,361,0,2.18,2.21,422,1,-2,8,8,100,0,0,-45,-45
6741,359,0,2.22,2.21,435,1,-1,8,8,100,0,0,-43,-44
7131,365,0,2.18,2.19,448,1,-1,8,8,100,0,0,-43,-44
7941,380,0,2.25,2.22,475,0,-1,8,8,100,0,0,-43,-44
8331,373,0,2.29,2.23,488,1,-1,8,8,100,0,0,-42,-43
8721,363,0,2.22,2.24,501,1,-1,8,8,100,0,0,-42,-43
9112,363,0,2.18,2.23,514,1,-1,8,8,100,0,0,-43,-44
9501,363,0,2.25,2.23,527,1,-1,8,8,100,0,0,-43,-44
9890,361,0,2.18,2.21,540,1,0,8,8,100,0,0,-45,-45
10282,361,0,2.22,2.21,553,1,-1,8,8,100,0,0,-43,-43
10672,363,0,2.18,2.21,566,1,-1,8,8,100,0,0,-45,-45
11061,361,0,2.18,2.19,579,1,0,8,8,100,0,0,-42,-43
11451,361,0,2.18,2.19,592,0,0,8,8,100,0,0,-42,-43
11838,363,0,2.29,2.21,605,0,0,8,8,100,0,0,-45,-45
12591,333,0,2.22,2.22,630,1,-1,8,8,100,0,0,-45,-45
12979,361,0,2.25,2.23,643,0,-1,8,8,100,0,0,-42,-43
13371,361,0,2.18,2.23,656,1,-1,8,8,100,0,0,-43,-44
14182,384,0,2.18,2.2,683,1,-1,8,8,100,0,0,-44,-45
14570,371,0,2.29,2.21,696,0,0,8,8,100,0,0,-42,-43
14961,361,0,2.18,2.21,709,0,-1,8,8,100,0,0,-45,-45
15352,361,0,2.22,2.22,722,-1,-1,8,8,100,0,0,-43,-44
15742,363,0,2.29,2.24,735,-1,0,8,8,100,0,0,-43,-43
16154,361,0,2.29,2.24,748,0,0,8,8,100,0,0,-44,-45
16551,386,0,2.22,2.25,762,0,0,8,8,100,0,0,-42,-44
16941,367,0,2.25,2.26,775,0,0,8,8,100,0,0,-43,-44
17356,363,0,2.25,2.25,788,1,1,8,8,100,0,0,-43,-44
17750,386,0,2.18,2.23,802,0,0,8,8,100,0,0,-43,-44
18141,367,0,2.22,2.23,815,0,0,8,8,100,0,0,-45,-45
18531,361,0,2.22,2.22,828,0,0,8,8,100,0,0,-45,-45
18921,363,0,2.14,2.19,841,0,1,8,8,100,0,0,-43,-43
19308,361,0,2.18,2.19,854,0,0,8,8,100,0,0,-43,-44
19702,363,0,2.18,2.18,867,0,-1,8,8,100,0,0,-42,-43
20091,363,0,2.22,2.18,880,0,0,8,8,100,0,0,-43,-44
20481,359,0,2.18,2.19,893,0,-1,8,8,100,0,0,-44,-44
20872,363,0,2.14,2.18,906,-1,0,8,8,100,0,0,-43,-43
21261,363,0,2.29,2.21,919,0,0,8,8,100,0,0,-44,-45
