time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
503,363,0,1.3,1.32,35623,0,2,8,8,100,0,0,-40,-42
893,359,0,1.37,1.34,35636,0,0,8,8,100,0,0,-41,-42
1283,363,0,1.34,1.34,35649,0,1,8,8,100,0,0,-40,-41
1703,363,0,1.3,1.33,35662,1,0,8,8,100,0,0,-40,-41
2094,392,0,1.26,1.32,35676,1,1,8,8,100,0,0,-40,-41
2486,363,0,1.34,1.31,35689,0,0,8,8,100,0,0,-43,-44
2878,363,0,1.34,1.31,35702,1,0,8,8,100,0,0,-41,-41
3263,363,0,1.26,1.3,35715,1,0,8,8,100,0,0,-40,-40
3653,359,0,1.3,1.31,35728,0,0,8,8,100,0,0,-41,-41
4072,361,0,1.34,1.31,35741,0,1,8,8,100,0,0,-43,-44
4463,392,0,1.23,1.28,35755,0,1,8,8,100,0,0,-41,-41
4854,363,0,1.34,1.3,35768,-1,1,8,8,100,0,0,-42,-43
5245,363,0,1.26,1.29,35781,0,0,8,8,100,0,0,-41,-42
5661,363,0,1.34,1.29,35794,0,0,8,8,100,0,0,-40,-41
6053,388,0,1.3,1.31,35808,0,0,8,8,100,0,0,-40,-42
6446,365,0,1.3,1.3,35821,0,0,8,8,100,0,0,-40,-41
6865,365,0,1.26,1.3,35834,1,1,8,8,100,0,0,-40,-41
7257,390,0,1.3,1.29,35848,0,0,8,8,100,0,0,-41,-41
7646,361,0,1.26,1.28,35861,0,-1,8,8,100,0,0,-41,-41
8037,359,0,1.26,1.27,35874,0,1,8,8,100,0,0,-40,-41
8426,363,0,1.3,1.28,35887,1,0,8,8,100,0,0,-42,-43
8843,359,0,1.26,1.27,35900,1,0,8,8,100,0,0,-41,-41
9264,390,0,1.3,1.28,35914,0,0,8,8,100,0,0,-40,-40
9680,392,0,1.23,1.27,35928,1,0,8,8,100,0,0,-41,-41
10075,386,0,1.34,1.28,35942,0,0,8,8,100,0,0,-41,-41
10466,367,0,1.3,1.29,35955,1,0,8,8,100,0,0,-42,-43
10880,363,0,1.3,1.29,35968,0,0,8,8,100,0,0,-40,-41
11274,386,0,1.3,1.31,35982,0,0,7,8,100,0,0,-42,-43
11664,365,0,1.34,1.31,35995,-1,0,8,8,100,0,0,-40,-41
12081,363,0,1.26,1.3,36008,0,0,8,8,100,0,0,-40,-41
12475,388,0,1.26,1.29,36022,0,1,7,8,100,0,0,-40,-42
12865,365,0,1.37,1.31,36035,0,0,7,8,100,0,0,-41,-41
13283,361,0,1.37,1.32,36048,0,-1,8,8,100,0,0,-40,-41
13677,390,0,1.3,1.33,36062,0,1,8,8,100,0,0,-41,-41
14064,367,0,1.26,1.33,36075,0,0,8,8,100,0,0,-40,-41
14456,359,0,1.26,1.3,36088,0,0,8,8,100,0,0,-40,-41
14847,365,0,1.3,1.28,36101,1,0,8,8,100,0,0,-41,-41
15237,363,0,1.26,1.27,36114,1,0,8,8,100,0,0,-40,-40
15626,361,0,1.3,1.28,36127,0,0,8,8,100,0,0,-40,-41
16015,361,0,1.37,1.31,36140,0,0,8,8,100,0,0,-40,-41
16406,361,0,1.34,1.32,36153,0,0,8,8,100,0,0,-41,-42
16796,363,0,1.3,1.33,36166,0,1,8,8,100,0,0,-41,-42
17217,363,0,1.34,1.34,36179,0,0,8,8,100,0,0,-39,-40
17631,392,0,1.3,1.32,36193,0,0,8,8,100,0,0,-42,-44
18026,388,0,1.3,1.31,36207,1,-1,8,8,100,0,0,-42,-43
18414,365,0,1.23,1.29,36220,0,1,8,8,100,0,0,-43,-44
18805,361,0,1.34,1.29,36233,0,0,8,8,100,0,0,-40,-41
19195,363,0,1.23,1.27,36246,1,0,8,8,100,0,0,-43,-44
19584,361,0,1.26,1.26,36259,1,0,8,8,100,0,0,-40,-40
20000,359,0,1.3,1.28,36272,0,0,8,8,100,0,0,-40,-40
