time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
447,386,0,1.23,1.13,26625,-1,1,6,6,100,0,0,-59,-59
837,367,0,1.15,1.14,26638,-1,0,6,6,100,0,0,-56,-57
1227,361,0,1.04,1.13,26651,-1,1,6,6,100,0,0,-56,-56
1614,361,0,1.04,1.12,26664,-1,1,6,6,100,0,0,-60,-60
2427,384,0,1.19,1.14,26691,-1,1,6,6,100,0,0,-58,-58
2816,373,0,1.08,1.15,26704,0,1,6,6,100,0,0,-56,-56
3205,361,0,1.08,1.16,26717,0,1,6,6,100,0,0,-56,-56
3597,361,0,1.12,1.12,26730,-1,1,6,6,100,0,0,-57,-58
3986,365,0,1.08,1.09,26743,0,1,6,6,100,0,0,-58,-58
4378,361,0,1.12,1.1,26756,-1,1,6,6,100,0,0,-56,-56
4767,361,0,1.01,1.08,26769,-1,1,6,6,100,0,0,-52,-53
5158,363,0,1.08,1.07,26782,-1,1,6,6,100,0,0,-57,-57
5545,363,0,1.23,1.11,26795,-1,1,6,6,100,0,0,-67,-67
5937,359,0,1.45,1.19,26808,-1,1,6,6,100,0,0,-63,-64
6326,363,0,1.37,1.28,26821,0,1,6,6,100,0,0,-52,-54
6714,361,0,1.23,1.32,26834,0,1,6,6,100,0,0,-59,-59
7106,361,0,1.12,1.29,26847,0,1,6,6,100,0,0,-54,-55
7495,363,0,1.15,1.22,26860,-1,1,6,6,100,0,0,-57,-57
7886,361,0,1.15,1.16,26873,0,1,6,6,100,0,0,-60,-61
8274,363,0,1.26,1.17,26886,0,1,6,6,100,0,0,-58,-58
8667,359,0,1.34,1.23,26899,0,0,6,6,100,0,0,-62,-62
9057,365,0,1.41,1.29,26912,-1,1,6,6,100,0,0,-52,-53
9448,361,0,1.41,1.35,26925,0,1,6,6,100,0,0,-55,-56
9836,361,0,1.45,1.4,26938,-1,0,6,6,100,0,0,-55,-55
10226,359,0,1.34,1.4,26951,-1,1,5,6,100,0,0,-60,-60
10616,363,0,1.23,1.35,26964,0,1,6,6,100,0,0,-54,-55
11006,363,0,1.26,1.32,26977,0,1,6,6,100,0,0,-55,-55
11398,361,0,1.26,1.27,26990,-1,1,6,6,100,0,0,-55,-55
11788,363,0,1.23,1.24,27003,-1,0,6,6,100,0,0,-56,-57
12176,361,0,1.37,1.28,27016,0,0,6,6,100,0,0,-59,-60
12566,359,0,1.3,1.29,27029,0,1,6,6,100,0,0,-53,-54
12957,361,0,1.23,1.28,27042,-1,1,6,6,100,0,0,-54,-55
13348,363,0,1.37,1.32,27055,-1,1,6,6,100,0,0,-54,-55
13737,363,0,1.45,1.34,27068,0,1,6,6,100,0,0,-54,-55
14126,359,0,1.23,1.32,27081,0,1,6,6,100,0,0,-58,-59
14516,361,0,1.12,1.29,27094,-1,1,6,6,100,0,0,-54,-55
14905,361,0,1.26,1.26,27107,0,1,6,6,100,0,0,-54,-55
15297,363,0,1.15,1.19,27120,-1,1,6,6,100,0,0,-54,-55
15688,363,0,1.15,1.17,27133,0,1,6,6,100,0,0,-54,-55
16076,363,0,1.23,1.2,27146,0,1,6,6,100,0,0,-60,-60
16468,361,0,1.08,1.15,27159,-1,0,6,6,100,0,0,-60,-61
16857,363,0,1.12,1.14,27172,0,1,6,6,100,0,0,-59,-60
17245,359,0,1.01,1.11,27185,0,1,6,6,100,0,0,-56,-56
17638,361,0,1.15,1.09,27198,-1,1,6,6,100,0,0,-64,-65
18026,363,0,1.15,1.11,27211,0,0,6,6,100,0,0,-58,-59
18418,361,0,1.12,1.11,27224,0,1,6,6,100,0,0,-56,-56
18833,363,0,0.97,1.1,27237,0,1,5,6,100,0,0,-60,-60
19224,388,0,0.82,1.02,27251,0,1,5,6,100,0,0,-56,-56
19615,363,0,0.97,0.97,27264,-1,0,6,6,100,0,0,-64,-65
20031,363,0,1.08,0.96,27277,0,1,6,6,100,0,0,-54,-54
