time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
573,367,0,0.71,0.8,11665,-1,0,6,6,100,0,0,-54,-55
961,361,0,0.86,0.81,11678,0,1,6,6,100,0,0,-51,-52
1351,361,0,0.9,0.82,11691,0,0,6,6,100,0,0,-50,-51
1768,361,0,0.82,0.82,11704,1,1,6,6,100,0,0,-54,-54
2162,388,0,0.86,0.86,11718,-1,0,6,6,100,0,0,-51,-52
2553,365,0,0.86,0.86,11731,0,0,6,6,100,0,0,-54,-55
2941,363,0,0.75,0.82,11744,0,1,6,6,100,0,0,-58,-58
3330,361,0,0.75,0.8,11757,0,1,6,6,100,0,0,-51,-52
3721,361,0,0.71,0.77,11770,-1,0,6,6,100,0,0,-59,-59
4136,363,0,0.6,0.7,11783,-1,0,6,6,100,0,0,-57,-58
4533,388,0,0.82,0.72,11797,-1,1,6,6,100,0,0,-52,-53
4923,369,0,0.82,0.74,11810,-1,1,6,6,100,0,0,-57,-56
5336,361,0,0.82,0.77,11823,0,1,6,6,100,0,0,-52,-52
5732,386,0,0.97,0.86,11837,-1,0,6,6,100,0,0,-52,-53
6121,369,0,0.86,0.87,11850,0,0,6,6,100,0,0,-52,-53
6513,361,0,0.79,0.86,11863,-1,1,6,6,100,0,0,-53,-54
6901,363,0,0.97,0.9,11876,0,0,6,6,100,0,0,-52,-54
7292,359,0,1.08,0.92,11889,0,1,6,6,100,0,0,-53,-54
7708,363,0,0.97,0.95,11902,-1,0,6,6,100,0,0,-56,-56
8101,386,0,0.79,0.95,11916,0,1,6,6,100,0,0,-53,-54
8518,367,0,1.12,0.99,11929,0,0,6,6,100,0,0,-53,-54
8909,388,0,0.97,0.96,11943,0,1,6,6,100,0,0,-52,-53
9328,361,0,1.01,0.97,11956,-1,2,6,6,100,0,0,-59,-59
9721,388,0,0.93,1.01,11970,-1,0,6,6,100,0,0,-52,-53
10109,367,0,0.93,0.96,11983,0,1,6,6,100,0,0,-53,-54
10502,361,0,0.86,0.93,11996,0,0,6,6,100,0,0,-51,-53
10891,365,0,0.82,0.89,12009,0,0,6,6,100,0,0,-57,-57
11283,361,0,1.15,0.94,12022,0,0,6,6,100,0,0,-53,-54
11673,365,0,1.08,0.98,12035,0,0,6,6,100,0,0,-53,-53
12061,361,0,1.04,1.02,12048,0,0,6,6,100,0,0,-51,-52
12453,361,0,1.04,1.08,12061,0,0,6,6,100,0,0,-52,-53
12841,363,0,0.93,1.02,12074,0,0,6,6,100,0,0,-51,-52
13233,363,0,0.93,0.99,12087,-1,0,6,6,100,0,0,-50,-52
13646,363,0,1.01,0.98,12100,1,0,6,6,100,0,0,-54,-55
14043,386,0,0.9,0.94,12114,0,0,6,6,100,0,0,-51,-53
14433,369,0,0.97,0.95,12127,0,0,6,6,100,0,0,-55,-55
14822,361,0,0.86,0.93,12140,0,0,6,6,100,0,0,-53,-54
15211,361,0,0.97,0.92,12153,0,0,6,6,100,0,0,-56,-56
15602,361,0,0.97,0.94,12166,-1,0,6,6,100,0,0,-52,-54
15992,363,0,0.97,0.94,12179,0,1,6,6,100,0,0,-51,-53
16384,361,0,0.97,0.97,12192,-1,1,6,6,100,0,0,-56,-56
16798,363,0,1.04,0.99,12205,-1,1,6,6,100,0,0,-52,-54
17192,386,0,0.93,0.98,12219,0,0,6,6,100,0,0,-55,-55
17581,365,0,1.04,1.0,12232,0,1,6,6,100,0,0,-52,-54
17971,361,0,0.9,0.98,12245,0,1,6,6,100,0,0,-51,-52
18388,363,0,1.04,0.98,12258,0,0,6,6,100,0,0,-55,-56
18784,388,0,0.9,0.97,12272,-1,1,6,6,100,0,0,-56,-55
19173,369,0,1.15,1.0,12285,0,0,6,6,100,0,0,-51,-52
19564,361,0,0.97,1.02,12298,-1,1,6,6,100,0,0,-56,-56
19953,363,0,0.86,0.97,12311,0,1,6,6,100,0,0,-52,-52
