time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
736,365,0,0.16,0.16,17975,0,0,8,8,100,0,0,-41,-41
1127,361,0,0.13,0.15,17988,0,1,8,8,100,0,0,-40,-41
1516,363,0,0.13,0.15,18001,0,0,8,8,100,0,0,-40,-41
1908,359,0,0.16,0.15,18014,1,0,8,8,100,0,0,-41,-41
2299,363,0,0.16,0.15,18027,-1,0,8,8,100,0,0,-40,-41
2686,363,0,0.13,0.15,18040,0,0,8,8,100,0,0,-41,-41
3105,361,0,0.13,0.15,18053,-1,0,8,8,100,0,0,-41,-41
3499,390,0,0.09,0.13,18067,-1,1,8,8,100,0,0,-39,-39
3886,365,0,0.13,0.12,18080,0,0,8,8,100,0,0,-39,-39
4308,359,0,0.13,0.12,18093,0,1,8,8,100,0,0,-39,-40
4698,394,0,0.13,0.12,18107,0,1,8,8,100,0,0,-39,-39
5113,363,0,0.13,0.13,18120,-1,0,8,8,100,0,0,-41,-41
5506,386,0,0.2,0.15,18134,0,1,8,8,100,0,0,-40,-41
5898,365,0,0.13,0.15,18147,0,1,8,8,100,0,0,-41,-41
6316,363,0,0.16,0.15,18160,-1,1,8,8,100,0,0,-40,-41
6736,392,0,0.13,0.15,18174,-1,0,8,8,100,0,0,-39,-40
7152,390,0,0.13,0.14,18188,-1,1,8,8,100,0,0,-41,-41
7545,388,0,0.2,0.15,18202,0,0,8,8,100,0,0,-40,-41
7938,363,0,0.09,0.14,18215,-1,0,8,8,100,0,0,-41,-41
8357,365,0,0.13,0.14,18228,0,1,8,8,100,0,0,-41,-41
8748,390,0,0.13,0.14,18242,0,0,8,8,100,0,0,-41,-41
9137,361,0,0.16,0.13,18255,-1,1,8,8,100,0,0,-39,-40
9555,363,0,0.09,0.13,18268,-1,1,8,8,100,0,0,-41,-41
9975,388,0,0.16,0.14,18282,0,1,8,8,100,0,0,-41,-41
10367,392,0,0.13,0.14,18296,-1,1,8,8,100,0,0,-41,-41
10757,363,0,0.16,0.14,18309,0,1,8,8,100,0,0,-40,-40
11180,361,0,0.16,0.15,18322,-1,1,8,8,100,0,0,-40,-41
11567,394,0,0.13,0.15,18336,0,1,8,8,100,0,0,-39,-40
11959,359,0,0.09,0.14,18349,-1,1,8,8,100,0,0,-40,-40
12349,365,0,0.13,0.13,18362,-1,1,8,8,100,0,0,-40,-41
12767,363,0,0.13,0.12,18375,-1,1,8,8,100,0,0,-39,-39
13159,386,0,0.13,0.12,18389,-1,1,8,8,100,0,0,-40,-40
13576,365,0,0.09,0.12,18402,-1,1,8,8,100,0,0,-39,-40
13967,388,0,0.09,0.11,18416,-1,1,8,8,100,0,0,-40,-40
14385,363,0,0.16,0.12,18429,0,1,8,8,100,0,0,-39,-40
14805,388,0,0.13,0.12,18443,0,2,8,8,100,0,0,-39,-40
15199,392,0,0.13,0.13,18457,-1,1,8,8,100,0,0,-40,-41
15588,365,0,0.2,0.15,18470,-1,1,8,8,100,0,0,-40,-41
16002,359,0,0.13,0.15,18483,0,1,8,8,100,0,0,-40,-41
16398,386,0,0.09,0.14,18497,-1,1,8,8,100,0,0,-40,-41
16787,367,0,0.09,0.13,18510,-1,1,8,8,100,0,0,-39,-40
17206,361,0,0.2,0.13,18523,0,2,8,8,100,0,0,-41,-41
17599,392,0,0.13,0.13,18537,0,1,8,8,100,0,0,-40,-40
18015,363,0,0.09,0.13,18550,0,1,8,8,100,0,0,-40,-41
18437,388,0,0.13,0.14,18564,-1,1,8,8,100,0,0,-41,-41
18853,394,0,0.13,0.12,18578,-1,0,8,8,100,0,0,-40,-41
19277,388,0,0.09,0.11,18592,-1,1,8,8,100,0,0,-41,-41
19668,394,0,0.09,0.11,18606,-1,1,8,8,100,0,0,-40,-40
20058,363,0,0.09,0.1,18619,-1,1,8,8,100,0,0,-41,-41
20477,361,0,0.09,0.09,18632,0,1,8,8,100,0,0,-40,-41
