time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
401,392,0,0.41,0.43,22396,0,-1,7,7,100,0,0,-47,-47
820,394,0,0.54,0.45,22410,0,0,7,7,100,0,0,-47,-47
1240,390,0,0.48,0.47,22424,0,0,7,7,100,0,0,-45,-45
1660,390,0,0.5,0.48,22438,0,1,7,7,100,0,0,-47,-47
2080,392,0,0.48,0.5,22452,0,0,7,7,100,0,0,-48,-47
2501,390,0,0.44,0.47,22466,0,0,7,7,100,0,0,-45,-45
2920,392,0,0.42,0.46,22480,0,0,7,7,100,0,0,-47,-47
3340,390,0,0.41,0.44,22494,0,0,7,7,100,0,0,-46,-46
3760,390,0,0.51,0.44,22508,0,0,7,7,100,0,0,-45,-45
4182,390,0,0.61,0.49,22522,0,-1,7,7,100,0,0,-46,-46
4600,392,0,0.46,0.5,22536,0,0,7,7,100,0,0,-45,-45
5021,390,0,0.49,0.52,22550,-1,0,7,7,100,0,0,-45,-45
5440,392,0,0.46,0.5,22564,0,0,7,7,100,0,0,-45,-44
5860,392,0,0.45,0.46,22578,0,0,7,7,100,0,0,-45,-45
6280,392,0,0.55,0.49,22592,0,0,7,7,100,0,0,-45,-45
6700,392,0,0.5,0.49,22606,0,0,7,8,100,0,0,-46,-46
7117,392,0,0.48,0.49,22620,0,0,7,8,100,0,0,-45,-45
7542,388,0,75.21,19.18,22634,1,0,7,7,100,0,0,-46,-45
7961,400,0,0.49,19.17,22648,0,1,7,8,100,0,0,-46,-46
8381,390,0,0.49,19.16,22662,1,0,7,7,100,0,0,-46,-46
8802,392,0,0.47,19.16,22676,0,0,7,8,100,0,0,-46,-46
9222,392,0,75.17,19.15,22690,0,1,7,8,100,0,0,-46,-45
9615,394,0,0.45,19.14,22704,0,0,7,8,100,0,0,-45,-45
10032,363,0,0.41,19.12,22717,0,1,7,8,100,0,0,-45,-45
10451,390,0,0.36,19.1,22731,0,0,7,7,100,0,0,-47,-47
10870,392,0,0.48,0.43,22745,0,0,7,7,100,0,0,-45,-46
11291,390,0,0.48,0.43,22759,0,0,7,7,100,0,0,-45,-45
11711,392,0,0.48,0.45,22773,0,0,7,7,100,0,0,-45,-45
12132,392,0,0.59,0.51,22787,-1,0,7,7,100,0,0,-45,-44
12550,392,0,0.48,0.51,22801,0,1,7,7,100,0,0,-47,-47
12970,390,0,0.46,0.5,22815,0,1,7,8,100,0,0,-45,-45
13391,392,0,0.44,0.49,22829,0,0,7,7,100,0,0,-45,-45
13811,392,0,0.55,0.48,22843,0,1,7,7,100,0,0,-47,-46
14230,392,0,0.53,0.5,22857,0,0,7,7,100,0,0,-46,-46
14652,392,0,0.59,0.53,22871,-1,1,7,7,100,0,0,-46,-46
15070,394,0,0.42,0.52,22885,0,0,7,7,100,0,0,-45,-45
15490,390,0,0.59,0.53,22899,0,1,7,7,100,0,0,-45,-45
15912,390,0,0.5,0.52,22913,0,-1,7,7,100,0,0,-45,-45
16331,394,0,0.63,0.53,22927,0,0,7,7,100,0,0,-45,-45
16750,390,0,0.5,0.55,22941,1,1,7,7,100,0,0,-45,-45
17171,390,0,0.39,0.5,22955,0,0,7,7,100,0,0,-46,-46
17590,390,0,0.69,0.55,22969,0,1,7,7,100,0,0,-46,-46
18013,392,0,75.2,19.19,22983,0,0,7,7,100,0,0,-46,-46
18432,394,0,0.48,19.19,22997,0,0,7,7,100,0,0,-46,-46
18852,392,0,0.55,19.23,23011,0,1,7,7,100,0,0,-45,-44
19272,392,0,0.45,19.17,23025,0,1,7,7,100,0,0,-45,-45
19693,392,0,75.24,19.18,23039,0,0,7,8,100,0,0,-45,-45
20111,392,0,0.41,19.16,23053,0,0,7,7,100,0,0,-45,-45
20532,392,0,0.33,19.11,23067,1,1,7,7,100,0,0,-47,-47
20952,392,0,0.36,19.08,23081,0,0,7,7,100,0,0,-45,-45
