time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
659,392,0,1.52,1.51,11467,0,-1,6,7,100,0,0,-47,-47
1080,394,0,1.55,1.5,11481,0,-1,6,6,100,0,0,-48,-49
1499,390,0,1.34,1.47,11495,1,0,6,7,100,0,0,-50,-51
1920,390,0,1.41,1.46,11509,0,-1,6,7,100,0,0,-47,-47
2338,394,0,1.44,1.44,11523,0,0,6,6,100,0,0,-48,-49
2759,390,0,1.47,1.42,11537,0,0,6,6,100,0,0,-47,-47
3179,392,0,1.38,1.43,11551,0,0,6,6,100,0,0,-47,-47
4049,412,0,1.48,1.44,11580,0,1,6,7,100,0,0,-47,-47
4469,400,0,1.38,1.42,11594,0,0,6,6,100,0,0,-47,-47
4890,392,0,1.44,1.43,11608,0,-1,6,7,100,0,0,-47,-47
5309,392,0,1.43,1.43,11622,0,0,6,6,100,0,0,-46,-46
5727,390,0,1.47,1.43,11636,0,1,6,7,100,0,0,-46,-46
6149,392,0,1.44,1.44,11650,1,1,6,6,100,0,0,-51,-51
6568,392,0,1.4,1.43,11664,0,1,6,6,100,0,0,-50,-51
6989,392,0,1.48,1.45,11678,1,1,6,7,100,0,0,-47,-47
7408,392,0,1.35,1.42,11692,0,0,6,6,100,0,0,-47,-47
7829,392,0,1.46,1.42,11706,-1,2,6,7,100,0,0,-47,-46
8250,394,0,1.33,1.4,11720,-1,1,6,6,100,0,0,-47,-47
8670,392,0,1.35,1.37,11734,-1,0,6,7,100,0,0,-47,-47
9090,392,0,1.56,1.42,11748,-1,1,6,7,100,0,0,-50,-50
9510,392,0,1.57,1.45,11762,-1,2,6,7,100,0,0,-48,-49
10319,365,0,1.46,1.49,11789,-1,1,6,7,100,0,0,-47,-47
10738,390,0,1.55,1.54,11803,0,0,6,7,100,0,0,-45,-45
11159,390,0,1.45,1.51,11817,0,-1,6,7,100,0,0,-46,-46
11969,363,0,1.52,1.5,11844,0,2,6,6,100,0,0,-48,-47
12388,388,0,1.62,1.54,11858,0,0,6,7,100,0,0,-45,-45
12808,392,0,1.41,1.5,11872,0,1,6,7,100,0,0,-48,-47
13230,392,0,1.52,1.52,11886,-1,0,6,7,100,0,0,-47,-47
13649,392,0,1.43,1.5,11900,0,1,6,7,100,0,0,-46,-46
14070,390,0,1.5,1.47,11914,-1,1,6,6,100,0,0,-46,-46
14489,394,0,1.52,1.49,11928,0,0,6,6,100,0,0,-47,-47
15361,416,0,1.43,1.53,11957,-1,0,6,7,100,0,0,-46,-46
15779,400,0,1.3,1.48,11971,0,0,6,7,100,0,0,-47,-47
16199,392,0,1.23,1.41,11985,-1,1,6,7,100,0,0,-47,-46
16618,392,0,1.47,1.36,11999,1,0,6,7,100,0,0,-48,-48
17039,392,0,1.4,1.35,12013,-1,1,6,7,100,0,0,-48,-49
17461,392,0,1.4,1.37,12027,-1,1,6,7,100,0,0,-48,-48
17882,392,0,1.47,1.43,12041,-1,-1,6,7,100,0,0,-49,-50
18299,392,0,1.39,1.42,12055,1,0,6,6,100,0,0,-46,-46
18719,390,0,1.52,1.44,12069,1,0,6,6,100,0,0,-47,-47
19138,392,0,1.45,1.46,12083,1,0,6,6,100,0,0,-51,-51
19950,367,0,1.38,1.43,12110,1,-1,6,6,100,0,0,-48,-47
20369,388,0,1.46,1.45,12124,0,0,6,7,100,0,0,-46,-46
20790,392,0,1.52,1.45,12138,-1,0,6,7,100,0,0,-46,-46
21239,392,0,1.45,1.45,12152,0,0,6,6,100,0,0,-48,-47
21659,421,0,1.49,1.48,12167,0,1,6,6,100,0,0,-45,-45
22080,392,0,1.43,1.47,12181,-1,0,7,7,100,0,0,-47,-47
22499,394,0,1.6,1.49,12195,0,0,6,6,100,0,0,-50,-50
22920,390,0,1.53,1.51,12209,0,-1,6,7,100,0,0,-47,-47
23339,394,0,1.52,1.52,12223,0,0,6,6,100,0,0,-48,-48
