time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
597,392,0,3.19,3.18,44006,0,-1,6,7,100,0,0,-57,-56
1015,392,0,3.15,3.16,44020,0,0,6,7,100,0,0,-59,-58
1437,390,0,3.15,3.16,44034,1,0,6,6,100,0,0,-55,-55
1856,392,0,3.14,3.16,44048,0,0,6,6,100,0,0,-55,-55
2275,392,0,3.34,3.2,44062,0,0,6,6,100,0,0,-54,-54
2695,392,0,3.19,3.21,44076,0,0,6,6,100,0,0,-51,-52
3116,392,0,3.11,3.2,44090,1,0,6,6,100,0,0,-54,-54
3538,392,0,3.25,3.22,44104,1,-1,6,6,100,0,0,-59,-58
3955,394,0,3.28,3.21,44118,1,0,6,6,100,0,0,-58,-58
4375,390,0,3.22,3.21,44132,0,1,6,6,100,0,0,-55,-55
4796,392,0,3.22,3.24,44146,0,0,6,6,100,0,0,-51,-52
5216,390,0,3.21,3.23,44160,0,0,6,6,100,0,0,-58,-58
5636,392,0,3.19,3.21,44174,1,0,6,6,100,0,0,-56,-56
6056,390,0,3.18,3.2,44188,1,0,6,6,100,0,0,-56,-56
6478,390,0,3.28,3.22,44202,0,-1,6,6,100,0,0,-56,-55
6896,392,0,3.14,3.2,44216,0,0,6,6,100,0,0,-54,-54
7316,392,0,3.25,3.21,44230,1,0,6,6,100,0,0,-55,-55
7736,390,0,3.15,3.2,44244,0,0,6,6,100,0,0,-55,-55
8156,392,0,3.1,3.16,44258,1,0,6,6,100,0,0,-55,-55
8576,392,0,3.27,3.19,44272,0,0,6,6,100,0,0,-58,-58
8997,392,0,3.2,3.18,44286,-1,0,6,6,100,0,0,-52,-53
9418,392,0,3.15,3.18,44300,-1,-1,6,6,100,0,0,-55,-55
9836,394,0,3.1,3.18,44314,1,0,6,6,100,0,0,-51,-52
10256,390,0,3.24,3.17,44328,0,0,6,6,100,0,0,-51,-52
10676,392,0,3.13,3.16,44342,1,0,6,6,100,0,0,-57,-57
11097,392,0,3.18,3.16,44356,-1,1,6,6,100,0,0,-54,-54
11516,392,0,3.32,3.22,44370,0,0,6,6,100,0,0,-58,-57
11936,390,0,3.3,3.23,44384,0,1,6,6,100,0,0,-56,-56
12356,392,0,3.2,3.25,44398,0,0,6,6,100,0,0,-51,-52
12776,392,0,3.19,3.25,44412,1,0,6,6,100,0,0,-55,-55
13196,392,0,3.1,3.2,44426,0,0,6,6,100,0,0,-52,-53
13616,392,0,3.32,3.2,44440,0,0,6,6,100,0,0,-56,-56
14037,392,0,3.23,3.21,44454,-1,0,6,6,100,0,0,-57,-57
14456,394,0,3.18,3.21,44468,0,0,6,6,100,0,0,-51,-52
14876,390,0,3.1,3.21,44482,0,1,6,6,100,0,0,-51,-52
15296,390,0,3.22,3.18,44496,1,1,6,6,100,0,0,-57,-56
15716,392,0,2.99,3.12,44510,0,1,6,6,100,0,0,-57,-56
16136,390,0,3.19,3.13,44524,0,0,6,6,100,0,0,-54,-54
16556,392,0,3.19,3.15,44538,0,0,6,6,100,0,0,-56,-56
16976,390,0,3.07,3.11,44552,0,0,6,6,100,0,0,-57,-56
17396,390,0,3.28,3.18,44566,1,1,6,6,100,0,0,-56,-55
18266,414,0,3.23,3.22,44595,0,0,6,6,100,0,0,-51,-52
18687,398,0,3.37,3.3,44609,0,-1,6,6,100,0,0,-52,-53
19106,394,0,3.26,3.29,44623,0,0,6,6,100,0,0,-57,-56
19527,390,0,3.3,3.29,44637,0,-1,6,6,100,0,0,-52,-52
20398,412,0,3.2,3.28,44666,-1,1,6,6,100,0,0,-51,-51
20816,400,0,3.24,3.28,44680,0,0,6,6,100,0,0,-58,-57
21237,390,0,3.18,3.25,44694,0,1,6,6,100,0,0,-56,-55
21657,392,0,3.3,3.23,44708,0,1,6,6,100,0,0,-57,-57
22077,392,0,3.17,3.22,44722,0,0,6,6,100,0,0,-51,-52
