time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
477,363,0,0.87,0.96,21309,1,0,6,6,100,0,0,-59,-59
869,361,0,0.79,0.91,21322,1,-1,6,6,100,0,0,-58,-59
1258,365,0,0.76,0.86,21335,0,0,6,6,100,0,0,-53,-54
1648,361,0,0.83,0.81,21348,0,-1,6,6,100,0,0,-64,-65
2069,363,0,0.83,0.8,21361,1,-1,6,6,100,0,0,-58,-59
2459,392,0,0.9,0.83,21375,1,-1,6,6,100,0,0,-63,-64
2848,363,0,0.87,0.86,21388,1,0,6,6,100,0,0,-57,-58
3237,361,0,0.83,0.86,21401,1,-1,6,6,100,0,0,-57,-57
3628,361,0,0.79,0.85,21414,0,0,6,6,100,0,0,-58,-59
4016,363,0,0.83,0.83,21427,1,0,6,6,100,0,0,-64,-65
4407,359,0,0.87,0.83,21440,1,0,6,6,100,0,0,-64,-65
4798,363,0,0.87,0.84,21453,0,0,6,6,100,0,0,-59,-59
5188,361,0,0.94,0.88,21466,0,0,6,6,100,0,0,-59,-59
5579,361,0,0.94,0.9,21479,1,-1,6,6,100,0,0,-59,-59
5968,363,0,0.98,0.93,21492,1,0,6,6,100,0,0,-57,-57
6358,359,0,0.98,0.96,21505,1,0,6,6,100,0,0,-54,-55
6749,363,0,1.01,0.98,21518,1,-1,6,6,100,0,0,-58,-59
7138,363,0,0.94,0.98,21531,1,0,6,6,100,0,0,-59,-59
7527,359,0,0.94,0.97,21544,0,-1,6,6,100,0,0,-54,-55
7918,361,0,0.94,0.96,21557,1,0,6,6,100,0,0,-62,-62
8308,363,0,0.94,0.94,21570,0,0,6,6,100,0,0,-59,-59
8699,361,0,0.98,0.95,21583,0,-1,6,6,100,0,0,-61,-62
9089,365,0,0.9,0.94,21596,1,-1,6,6,100,0,0,-60,-61
9479,361,0,0.9,0.93,21609,1,-1,6,6,100,0,0,-60,-60
9869,361,0,0.83,0.9,21622,0,-1,6,6,100,0,0,-60,-60
10259,361,0,0.94,0.89,21635,1,-1,6,6,100,0,0,-62,-63
10647,363,0,0.83,0.88,21648,1,0,6,6,100,0,0,-60,-61
11038,359,0,0.9,0.88,21661,1,0,6,6,100,0,0,-64,-65
11429,363,0,0.87,0.89,21674,1,-1,6,6,100,0,0,-59,-59
11816,363,0,0.87,0.87,21687,0,0,6,6,100,0,0,-62,-63
12209,359,0,0.9,0.89,21700,1,-1,6,6,100,0,0,-56,-56
12598,365,0,0.94,0.89,21713,0,0,6,6,100,0,0,-58,-58
12988,361,0,0.87,0.89,21726,1,0,6,6,100,0,0,-61,-62
13377,361,0,0.94,0.91,21739,0,0,6,6,100,0,0,-58,-59
13768,361,0,0.94,0.92,21752,-1,0,6,6,100,0,0,-61,-62
14576,382,0,0.9,0.92,21779,0,0,6,6,100,0,0,-59,-60
14967,367,0,0.98,0.93,21792,1,0,6,6,100,0,0,-57,-57
15358,363,0,0.9,0.92,21805,0,0,6,6,100,0,0,-60,-60
15748,361,0,0.94,0.93,21818,0,0,6,6,100,0,0,-58,-58
16139,363,0,0.9,0.93,21831,0,-1,6,6,100,0,0,-62,-62
16529,363,0,0.87,0.9,21844,0,-1,6,6,100,0,0,-62,-63
16918,363,0,0.94,0.91,21857,0,0,6,6,100,0,0,-58,-58
17309,361,0,0.94,0.91,21870,0,0,6,6,100,0,0,-58,-59
17696,361,0,0.9,0.91,21883,1,0,6,6,100,0,0,-62,-62
18088,359,0,0.94,0.93,21896,1,0,6,6,100,0,0,-58,-58
18476,365,0,0.9,0.92,21909,1,0,6,6,100,0,0,-58,-58
18867,361,0,0.83,0.89,21922,0,1,6,6,100,0,0,-63,-64
19258,363,0,0.83,0.88,21935,0,0,6,6,100,0,0,-58,-59
19648,363,0,0.94,0.88,21948,0,0,6,6,100,0,0,-62,-63
20038,363,0,0.9,0.88,21961,0,1,6,6,100,0,0,-58,-58
