time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
367,388,0,2.48,2.5,7072,0,0,5,5,100,0,0,-60,-60
783,365,0,2.33,2.46,7085,0,0,5,5,100,0,0,-59,-59
1179,388,0,2.4,2.42,7099,-1,1,5,5,100,0,0,-60,-61
1569,369,0,2.7,2.48,7112,-1,0,5,6,100,0,0,-55,-56
1957,363,0,2.62,2.51,7125,0,0,5,5,100,0,0,-55,-55
2349,359,0,2.4,2.53,7138,0,1,5,5,100,0,0,-56,-57
2739,365,0,2.29,2.5,7151,0,1,5,6,100,0,0,-56,-57
3128,361,0,2.29,2.4,7164,0,0,5,6,100,0,0,-57,-57
3519,363,0,2.4,2.35,7177,0,1,5,5,100,0,0,-56,-56
3938,361,0,2.44,2.36,7190,0,1,5,5,100,0,0,-59,-60
4330,390,0,2.4,2.39,7204,0,0,5,5,100,0,0,-58,-58
4721,365,0,2.4,2.41,7217,0,0,5,5,100,0,0,-56,-56
5110,363,0,2.4,2.41,7230,-1,0,5,5,100,0,0,-59,-59
5497,361,0,2.29,2.38,7243,0,0,5,5,100,0,0,-56,-56
5891,361,0,2.29,2.35,7256,0,0,5,5,100,0,0,-60,-61
6280,363,0,2.37,2.34,7269,0,0,5,5,100,0,0,-58,-59
6695,363,0,2.44,2.35,7282,-1,0,5,5,100,0,0,-57,-57
7089,386,0,2.4,2.38,7296,0,0,5,5,100,0,0,-55,-56
7505,365,0,2.48,2.42,7309,0,0,5,5,100,0,0,-62,-62
7899,386,0,2.48,2.45,7323,0,0,5,5,100,0,0,-61,-62
8316,365,0,2.51,2.47,7336,0,0,5,5,100,0,0,-56,-56
8737,388,0,2.55,2.5,7350,1,0,5,5,100,0,0,-58,-59
9129,394,0,2.66,2.55,7364,0,0,5,5,100,0,0,-58,-58
9522,365,0,2.55,2.57,7377,-1,1,5,5,100,0,0,-55,-56
9939,365,0,2.51,2.57,7390,-1,0,5,5,100,0,0,-60,-60
10356,386,0,2.44,2.54,7404,0,1,5,5,100,0,0,-60,-61
10752,388,0,2.48,2.5,7418,-1,0,5,6,100,0,0,-65,-66
11169,369,0,2.51,2.49,7431,0,-1,5,5,100,0,0,-64,-65
11558,390,0,2.51,2.49,7445,0,1,5,5,100,0,0,-58,-59
11949,361,0,2.4,2.48,7458,0,0,5,5,100,0,0,-61,-62
12365,363,0,2.37,2.45,7471,0,0,5,5,100,0,0,-56,-56
12761,386,0,2.37,2.41,7485,0,1,5,5,100,0,0,-57,-57
13150,369,0,2.48,2.4,7498,0,1,5,5,100,0,0,-56,-56
13539,361,0,2.4,2.4,7511,0,0,5,5,100,0,0,-59,-59
13929,361,0,2.37,2.4,7524,0,0,5,5,100,0,0,-55,-56
14345,361,0,2.33,2.39,7537,0,1,5,5,100,0,0,-58,-58
14740,386,0,2.33,2.36,7551,0,0,5,5,100,0,0,-59,-59
15129,367,0,2.48,2.38,7564,1,0,5,5,100,0,0,-59,-59
15520,361,0,2.33,2.37,7577,-1,0,5,5,100,0,0,-56,-56
15910,363,0,2.33,2.37,7590,1,0,5,5,100,0,0,-56,-56
16328,363,0,2.37,2.38,7603,0,0,5,5,100,0,0,-60,-60
16719,386,0,2.11,2.29,7617,-1,1,5,5,100,0,0,-60,-60
17109,363,0,2.26,2.27,7630,0,0,5,5,100,0,0,-60,-60
17529,363,0,2.29,2.26,7643,-1,0,5,5,100,0,0,-60,-60
17920,392,0,2.4,2.27,7657,1,1,5,5,100,0,0,-56,-56
18310,363,0,2.26,2.3,7670,0,0,5,5,100,0,0,-56,-57
18725,363,0,2.33,2.32,7683,1,0,5,5,100,0,0,-61,-61
19121,386,0,2.44,2.36,7697,0,0,5,5,100,0,0,-58,-58
19508,369,0,2.4,2.36,7710,0,0,5,5,100,0,0,-61,-61
19927,359,0,2.51,2.42,7723,0,0,5,5,100,0,0,-58,-58
