time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
715,363,0,0.17,0.04,12588,0,0,5,5,100,0,0,-72,-71
1108,363,0,2.95,0.78,12601,-1,1,5,6,100,0,0,-59,-59
1522,365,0,0.21,0.83,12614,-1,0,5,5,100,0,0,-59,-59
1913,386,0,0.06,0.85,12628,1,1,5,6,100,0,0,-58,-59
2333,365,0,0.17,0.85,12641,0,0,5,5,100,0,0,-56,-57
2753,392,0,0.46,0.23,12655,-1,0,5,5,100,0,0,-59,-59
3145,390,0,0.5,0.3,12669,0,0,4,4,100,0,0,-57,-58
3567,365,0,0.35,0.37,12682,0,0,5,5,100,0,0,-60,-61
3957,394,0,0.28,0.4,12696,0,1,5,5,100,0,0,-64,-66
5273,343,0,0.43,0.39,12739,-1,1,5,4,100,0,0,-58,-59
5667,384,0,0.39,0.36,12753,0,0,5,5,100,0,0,-59,-59
6057,365,0,0.28,0.35,12766,0,0,5,5,100,0,0,-60,-61
6474,363,0,0.39,0.37,12779,0,0,5,4,100,0,0,-59,-60
7225,335,0,0.43,0.37,12805,0,1,4,5,100,0,0,-61,-62
7618,357,0,0.32,0.35,12818,-1,1,5,5,100,0,0,-56,-56
8006,365,0,0.35,0.37,12831,0,1,4,5,100,0,0,-59,-60
8423,361,0,0.39,0.37,12844,0,1,4,4,100,0,0,-62,-63
8817,388,0,0.39,0.36,12858,0,1,5,5,100,0,0,-58,-58
9236,365,0,0.5,0.41,12871,-1,1,4,4,100,0,0,-57,-57
9986,337,0,0.35,0.41,12897,0,0,5,5,100,0,0,-59,-59
11480,332,0,0.39,0.41,12946,1,0,5,5,100,0,0,-59,-59
13075,363,0,0.43,0.42,12999,0,1,5,5,100,0,0,-60,-61
13494,388,0,0.46,0.41,13013,1,0,4,5,100,0,0,-59,-59
13886,392,0,0.43,0.43,13027,0,1,4,5,100,0,0,-73,-74
14307,363,0,0.43,0.44,13040,0,1,4,4,100,0,0,-62,-63
14698,394,0,0.35,0.42,13054,-1,0,4,5,100,0,0,-65,-65
15112,363,0,0.06,0.32,13067,-1,0,5,5,100,0,0,-73,-73
15507,386,0,0.02,0.22,13081,0,0,5,5,100,0,0,-74,-73
15896,367,0,0.0,0.11,13094,1,1,5,5,100,0,0,-63,-63
16284,361,0,0.0,0.02,13107,0,0,5,5,100,0,0,-62,-62
17066,367,0,0.0,0.01,13133,0,1,5,5,100,0,0,-60,-61
17485,361,0,0.06,0.02,13146,-1,1,5,5,100,0,0,-60,-61
17878,390,0,0.02,0.02,13160,0,1,5,5,100,0,0,-62,-63
18267,365,0,0.0,0.02,13173,0,-1,5,5,100,0,0,-65,-66
18682,361,0,0.0,0.02,13186,-1,0,5,5,100,0,0,-54,-55
19077,386,0,0.24,0.07,13200,0,1,5,5,100,0,0,-61,-61
19466,365,0,0.24,0.12,13213,0,0,5,5,100,0,0,-56,-57
19855,361,0,0.02,0.13,13226,-1,0,5,5,100,0,0,-63,-64
20245,359,0,0.13,0.16,13239,0,0,5,5,100,0,0,-59,-59
20637,361,0,0.24,0.16,13252,0,0,5,5,100,0,0,-57,-57
21054,363,0,0.21,0.15,13265,1,1,5,5,100,0,0,-72,-72
21447,388,0,0.0,0.15,13279,-1,0,5,5,100,0,0,-58,-59
21835,363,0,2.66,0.78,13292,-1,0,5,5,100,0,0,-61,-62
23181,373,0,0.21,0.8,13336,0,0,5,5,100,0,0,-60,-60
23577,384,0,0.28,0.87,13350,0,0,5,5,100,0,0,-62,-63
23969,367,0,0.24,0.26,13363,-1,0,5,5,100,0,0,-60,-60
24384,365,0,0.21,0.24,13376,0,0,4,5,100,0,0,-56,-56
24777,386,0,0.02,0.19,13390,-1,0,5,5,100,0,0,-56,-56
25166,365,0,0.02,0.13,13403,0,0,5,6,100,0,0,-73,-73
25557,361,0,0.02,0.07,13416,-1,0,5,5,100,0,0,-83,-82
