time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
1758,390,0,4.85,4.28,37155,0,1,4,5,100,0,0,-59,-60
2179,361,0,4.49,4.43,37168,1,0,3,4,100,0,0,-54,-55
2621,392,0,3.64,4.27,37182,0,0,2,3,100,0,0,-53,-54
6379,392,0,3.94,4.23,37308,1,0,3,3,100,0,0,-54,-56
6798,419,0,3.97,4.01,37322,1,0,1,3,100,0,0,-62,-63
7218,390,0,3.75,3.83,37336,0,0,2,3,100,0,0,-57,-58
7638,392,0,3.9,3.89,37350,0,0,2,3,100,0,0,-57,-57
8060,392,0,4.01,3.91,37364,0,-1,2,3,100,0,0,-61,-63
8478,394,0,4.08,3.94,37378,0,-1,2,4,100,0,0,-57,-58
8897,388,0,4.34,4.08,37392,1,0,1,2,100,0,0,-68,-66
9348,392,0,4.23,4.17,37406,0,0,3,3,100,0,0,-67,-68
10189,367,0,4.38,4.26,37435,0,0,3,4,100,0,0,-53,-54
10608,416,0,4.6,4.39,37449,0,-1,0,2,100,0,0,-58,-59
11027,390,0,4.23,4.36,37463,1,0,2,3,100,0,0,-62,-62
11447,390,0,3.94,4.29,37477,1,0,2,3,100,0,0,-55,-56
13188,367,0,3.5,3.9,37535,0,-1,0,1,100,0,0,-61,-63
13998,365,0,3.97,3.84,37562,0,-1,0,3,100,0,0,-63,-65
14420,390,0,3.83,3.81,37576,1,-1,0,3,100,0,0,-65,-65
15227,363,0,4.3,3.9,37603,1,0,0,3,100,0,0,-57,-58
15648,388,0,3.83,3.98,37617,0,-1,0,3,100,0,0,-54,-55
16068,392,0,3.86,3.96,37631,1,0,0,3,100,0,0,-57,-58
17267,363,0,3.57,3.89,37671,1,0,0,3,100,0,0,-66,-68
17688,388,0,3.75,3.75,37685,0,0,0,3,100,0,0,-57,-57
18107,394,0,4.6,3.95,37699,1,0,0,2,100,0,0,-55,-55
18525,390,0,3.9,3.96,37713,1,0,7,3,100,0,0,-54,-55
19728,363,0,3.61,3.97,37753,1,-1,0,3,100,0,0,-62,-63
20538,363,0,3.43,3.88,37780,1,-1,0,2,100,0,0,-56,-56
21767,384,0,3.13,3.52,37821,0,0,0,2,100,0,0,-67,-68
22188,392,0,3.64,3.45,37835,0,0,4,3,100,0,0,-58,-59
22605,394,0,3.57,3.44,37849,0,0,0,0,100,0,0,-57,-57
23027,390,0,3.39,3.43,37863,0,0,0,2,100,0,0,-61,-63
24704,388,0,3.72,3.58,37918,0,-1,1,3,100,0,0,-65,-66
25907,361,0,3.79,3.62,37959,1,0,2,3,100,0,0,-55,-56
26717,365,0,3.39,3.57,37986,0,0,0,3,100,0,0,-57,-57
30558,371,0,5.04,3.81,38114,0,0,0,3,100,0,0,-56,-56
30978,388,0,3.32,3.79,38128,1,-1,0,2,100,0,0,-56,-56
32208,392,0,3.79,3.9,38169,0,-1,0,3,100,0,0,-59,-60
34999,361,0,3.35,3.87,38262,0,-1,0,1,100,0,0,-55,-56
35418,390,0,3.68,3.54,38276,0,0,0,2,100,0,0,-56,-57
36618,361,0,3.13,3.49,38316,1,0,0,2,100,0,0,-55,-55
37038,388,0,3.32,3.37,38330,1,-1,0,1,100,0,0,-59,-60
38658,388,0,3.17,3.32,38384,0,0,0,2,100,0,0,-55,-56
41059,365,0,3.32,3.23,38464,0,0,0,2,100,0,0,-60,-59
41477,416,0,3.5,3.32,38478,0,0,0,2,100,0,0,-56,-57
41898,390,0,3.64,3.41,38492,0,0,0,3,100,0,0,-58,-58
47899,386,0,3.72,3.54,38692,0,0,0,3,100,0,0,-66,-68
49939,361,0,3.72,3.64,38760,1,0,0,3,100,0,0,-64,-65
50359,390,0,3.43,3.63,38774,0,-1,0,2,100,0,0,-68,-69
52038,369,0,3.54,3.6,38830,0,0,0,2,100,0,0,-67,-68
52458,416,0,3.57,3.56,38844,1,0,0,3,100,0,0,-56,-56
