time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
366,359,0,1.96,1.95,19816,0,0,6,7,100,0,0,-47,-49
756,363,0,1.96,1.96,19829,0,0,6,6,100,0,0,-53,-55
1146,361,0,2.0,1.97,19842,1,0,6,7,100,0,0,-51,-53
1535,363,0,1.96,1.97,19855,1,0,6,7,100,0,0,-47,-49
1926,361,0,1.96,1.97,19868,1,0,6,7,100,0,0,-48,-49
2315,363,0,1.96,1.97,19881,1,0,6,6,100,0,0,-51,-54
2705,361,0,1.96,1.96,19894,0,0,6,7,100,0,0,-52,-54
3096,363,0,1.96,1.96,19907,1,0,6,6,100,0,0,-50,-51
3847,332,0,2.0,1.97,19932,1,0,6,7,100,0,0,-48,-50
4234,361,0,2.0,1.98,19945,0,0,6,7,100,0,0,-52,-54
4626,359,0,2.0,1.99,19958,0,0,6,7,100,0,0,-52,-54
5043,365,0,2.03,2.01,19971,0,0,6,6,100,0,0,-48,-50
5437,388,0,2.03,2.02,19985,0,0,6,7,100,0,0,-52,-54
6216,365,0,2.0,2.02,20011,1,0,6,7,100,0,0,-52,-54
6632,357,0,2.0,2.02,20024,1,0,6,7,100,0,0,-48,-49
7026,386,0,2.0,2.01,20038,1,0,6,7,100,0,0,-52,-54
7416,365,0,2.07,2.02,20051,1,0,6,7,100,0,0,-49,-50
8194,333,0,1.96,2.01,20076,0,0,6,6,100,0,0,-51,-53
8586,388,0,2.0,2.01,20090,1,0,6,7,100,0,0,-52,-54
8975,363,0,1.96,2.0,20103,1,-1,6,6,100,0,0,-50,-52
9392,359,0,2.0,1.98,20116,0,-1,6,6,100,0,0,-52,-54
9786,388,0,2.03,2.0,20130,1,0,6,7,100,0,0,-50,-50
10174,367,0,1.96,1.99,20143,0,0,6,7,100,0,0,-48,-50
10591,361,0,2.03,2.01,20156,1,0,6,6,100,0,0,-49,-50
10986,388,0,2.0,2.01,20170,0,-1,6,7,100,0,0,-51,-54
11402,367,0,2.0,2.0,20183,1,0,6,6,100,0,0,-48,-50
11797,390,0,2.03,2.02,20197,1,-1,6,7,100,0,0,-49,-50
12188,365,0,2.03,2.02,20210,0,-1,6,7,100,0,0,-50,-50
12966,361,0,2.0,2.02,20236,0,0,6,7,100,0,0,-48,-49
13715,332,0,2.03,2.03,20261,0,0,6,7,100,0,0,-49,-51
14130,359,0,2.0,2.02,20274,0,0,6,7,100,0,0,-51,-53
14553,388,0,2.03,2.02,20288,1,0,6,6,100,0,0,-52,-54
14973,392,0,2.0,2.02,20302,1,0,6,6,100,0,0,-48,-50
15368,390,0,2.03,2.02,20316,1,-1,6,7,100,0,0,-51,-53
15781,367,0,2.03,2.03,20329,1,-1,6,7,100,0,0,-49,-50
16176,384,0,2.07,2.03,20343,0,-1,6,7,100,0,0,-50,-50
16927,333,0,2.0,2.03,20368,0,-1,6,7,100,0,0,-47,-48
17317,359,0,2.0,2.03,20381,1,-1,6,7,100,0,0,-50,-52
17734,363,0,2.0,2.02,20394,1,0,6,7,100,0,0,-50,-52
18125,388,0,1.96,1.99,20408,1,-1,6,6,100,0,0,-50,-50
18517,363,0,2.03,2.0,20421,1,-1,6,7,100,0,0,-52,-54
18904,363,0,2.03,2.01,20434,0,0,6,6,100,0,0,-52,-54
19686,367,0,2.03,2.02,20460,0,0,6,7,100,0,0,-49,-50
20077,357,0,2.03,2.03,20473,0,0,6,6,100,0,0,-50,-50
20468,361,0,2.0,2.03,20486,1,-1,6,7,100,0,0,-50,-50
20857,363,0,2.03,2.03,20499,0,-1,6,7,100,0,0,-47,-49
21274,361,0,2.03,2.03,20512,0,0,8,7,100,0,0,-49,-50
21667,390,0,2.03,2.03,20526,0,-1,6,7,100,0,0,-51,-53
22056,365,0,2.03,2.03,20539,1,0,6,7,100,0,0,-47,-48
22474,361,0,2.0,2.03,20552,1,0,6,6,100,0,0,-48,-49
