time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
737,361,0,3.1,3.0,20464,0,1,6,6,100,0,0,-48,-48
1155,365,0,3.06,3.02,20477,-1,1,6,6,100,0,0,-52,-53
1545,390,0,3.1,3.05,20491,0,1,6,6,100,0,0,-47,-47
1938,361,0,3.06,3.08,20504,-1,1,6,6,100,0,0,-47,-47
2351,365,0,3.13,3.09,20517,0,0,6,6,100,0,0,-50,-51
2744,384,0,3.06,3.09,20531,0,1,6,6,100,0,0,-50,-51
3161,365,0,2.99,3.06,20544,0,0,6,6,100,0,0,-53,-54
3556,388,0,2.99,3.04,20558,0,1,6,6,100,0,0,-46,-47
3972,367,0,2.99,3.0,20571,-1,1,6,6,100,0,0,-52,-53
4395,386,0,2.77,2.93,20585,-1,1,6,6,100,0,0,-49,-50
4784,396,0,2.99,2.93,20599,0,1,6,6,100,0,0,-49,-50
5175,361,0,2.84,2.89,20612,-1,1,6,6,100,0,0,-53,-54
5564,363,0,2.91,2.88,20625,0,0,6,6,100,0,0,-48,-49
5982,361,0,2.99,2.93,20638,-1,0,6,6,100,0,0,-52,-53
6376,392,0,2.99,2.93,20652,0,1,5,6,100,0,0,-54,-54
6796,363,0,2.99,2.97,20665,0,0,5,6,100,0,0,-50,-51
7215,392,0,2.99,2.99,20679,-1,1,5,6,100,0,0,-52,-53
7606,390,0,2.99,2.99,20693,0,1,5,6,100,0,0,-50,-51
8028,363,0,2.99,2.99,20706,-1,1,5,6,100,0,0,-47,-47
8448,394,0,3.06,3.0,20720,-1,0,5,6,100,0,0,-48,-49
8839,392,0,2.99,3.0,20734,-1,1,6,6,100,0,0,-51,-52
9251,361,0,2.95,3.0,20747,0,1,6,6,100,0,0,-48,-48
9646,384,0,2.95,2.99,20761,0,1,6,6,100,0,0,-48,-49
10036,367,0,2.95,2.96,20774,0,1,6,6,100,0,0,-49,-50
10452,363,0,3.02,2.97,20787,0,1,6,6,100,0,0,-50,-51
10847,386,0,3.02,2.99,20801,-1,0,6,6,100,0,0,-51,-51
11263,369,0,3.02,3.0,20814,0,0,6,6,100,0,0,-47,-47
11685,386,0,2.95,3.0,20828,0,1,6,6,100,0,0,-48,-49
12078,392,0,3.02,3.0,20842,0,1,6,6,100,0,0,-48,-49
12494,365,0,2.99,3.0,20855,0,1,6,6,100,0,0,-47,-47
12886,390,0,2.95,2.98,20869,0,1,6,6,100,0,0,-50,-51
13301,361,0,2.99,2.99,20882,0,1,6,6,100,0,0,-50,-51
13696,388,0,2.91,2.96,20896,0,1,6,6,100,0,0,-50,-50
14086,365,0,2.95,2.95,20909,0,1,6,6,100,0,0,-52,-53
14500,361,0,2.95,2.95,20922,0,1,6,6,100,0,0,-48,-48
14923,386,0,2.99,2.95,20936,-1,0,6,6,100,0,0,-50,-51
15317,394,0,2.99,2.97,20950,0,1,6,6,100,0,0,-49,-50
15733,365,0,3.02,2.99,20963,-1,1,6,6,100,0,0,-50,-51
16128,388,0,3.02,3.0,20977,-1,0,7,6,100,0,0,-51,-52
16515,365,0,3.02,3.01,20990,-1,1,6,6,100,0,0,-47,-47
16908,359,0,3.06,3.03,21003,-1,0,6,6,100,0,0,-50,-51
17296,363,0,3.06,3.04,21016,0,1,6,6,100,0,0,-50,-51
17715,361,0,2.99,3.03,21029,-1,1,6,6,100,0,0,-50,-51
18105,390,0,2.88,3.0,21043,0,1,6,6,100,0,0,-48,-48
18494,361,0,2.91,2.96,21056,0,1,6,6,100,0,0,-50,-51
18913,359,0,2.91,2.92,21069,-1,1,6,6,100,0,0,-49,-50
19303,388,0,2.88,2.89,21083,0,0,6,6,100,0,0,-50,-51
19724,363,0,2.88,2.89,21096,0,0,7,6,100,0,0,-47,-47
20117,392,0,2.95,2.9,21110,-1,0,6,6,100,0,0,-50,-51
20534,367,0,2.88,2.89,21123,0,1,6,6,100,0,0,-52,-52
