time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
686,390,0,3.28,3.29,9296,1,0,6,7,100,0,0,-44,-44
1078,392,0,3.35,3.3,9310,1,0,6,6,100,0,0,-46,-46
1467,361,0,3.32,3.31,9323,1,-1,6,6,100,0,0,-44,-44
1882,361,0,3.46,3.35,9336,1,0,6,7,100,0,0,-45,-45
2303,386,0,3.46,3.4,9350,1,-1,6,7,100,0,0,-45,-45
2695,394,0,3.5,3.43,9364,0,0,6,7,100,0,0,-43,-44
3112,365,0,3.5,3.48,9377,1,0,6,7,100,0,0,-45,-46
3506,386,0,3.5,3.49,9391,1,-1,6,7,100,0,0,-45,-45
3897,365,0,3.5,3.5,9404,1,-1,6,7,100,0,0,-43,-43
4317,363,0,3.54,3.51,9417,0,0,6,7,100,0,0,-44,-44
4706,390,0,3.5,3.51,9431,0,0,6,7,100,0,0,-43,-44
5127,363,0,3.5,3.51,9444,0,0,6,7,100,0,0,-44,-45
5549,392,0,3.5,3.51,9458,1,-1,6,7,100,0,0,-43,-43
5966,392,0,3.43,3.48,9472,1,-1,6,7,100,0,0,-43,-44
6389,388,0,3.46,3.47,9486,1,-1,6,7,100,0,0,-43,-43
6806,394,0,3.5,3.47,9500,0,-1,6,7,100,0,0,-45,-45
7228,386,0,3.5,3.47,9514,1,0,6,6,100,0,0,-44,-44
8036,380,0,3.39,3.46,9542,1,-1,6,7,100,0,0,-45,-45
8456,371,0,3.46,3.45,9555,0,0,6,7,100,0,0,-45,-45
8848,392,0,3.46,3.44,9569,0,0,6,7,100,0,0,-49,-50
9267,363,0,3.43,3.43,9582,1,0,6,7,100,0,0,-43,-43
9686,390,0,3.46,3.45,9596,1,0,6,7,100,0,0,-45,-45
10107,390,0,3.46,3.45,9610,0,0,7,7,100,0,0,-43,-43
10496,394,0,3.46,3.45,9624,0,0,6,7,100,0,0,-43,-43
10918,361,0,3.46,3.46,9637,1,-1,6,7,100,0,0,-43,-43
11305,394,0,3.46,3.46,9651,1,0,6,7,100,0,0,-45,-45
11695,359,0,3.54,3.48,9664,0,0,6,7,100,0,0,-43,-43
12118,361,0,3.46,3.48,9677,0,0,6,7,100,0,0,-43,-43
12506,394,0,3.39,3.46,9691,1,0,6,7,100,0,0,-43,-43
12929,359,0,3.46,3.46,9704,1,-1,6,7,100,0,0,-43,-43
13316,396,0,3.5,3.45,9718,0,0,6,7,100,0,0,-44,-44
13734,359,0,3.46,3.45,9731,1,0,6,7,100,0,0,-43,-43
14126,390,0,3.5,3.48,9745,1,0,6,7,100,0,0,-45,-45
14543,365,0,3.5,3.49,9758,0,0,6,7,100,0,0,-45,-45
14966,390,0,3.46,3.48,9772,1,0,6,7,100,0,0,-43,-43
15356,394,0,3.46,3.48,9786,0,0,6,7,100,0,0,-48,-50
15775,361,0,3.5,3.48,9799,1,-1,6,7,100,0,0,-45,-45
16197,390,0,3.5,3.48,9813,0,0,6,7,100,0,0,-47,-47
16585,392,0,3.46,3.48,9827,0,0,6,7,100,0,0,-45,-45
17004,359,0,3.46,3.48,9840,1,0,6,7,100,0,0,-48,-49
17426,390,0,3.46,3.47,9854,1,0,6,7,100,0,0,-45,-45
17843,394,0,3.46,3.46,9868,0,-1,6,7,100,0,0,-43,-43
18236,388,0,3.46,3.46,9882,1,0,6,7,100,0,0,-45,-45
18655,365,0,3.46,3.46,9895,0,0,6,7,100,0,0,-45,-45
19078,392,0,3.43,3.45,9909,0,0,6,7,100,0,0,-45,-45
19495,394,0,3.54,3.47,9923,0,-1,6,7,100,0,0,-44,-44
19886,390,0,3.46,3.47,9937,1,0,6,7,100,0,0,-45,-45
20305,363,0,3.46,3.47,9950,1,0,6,6,100,0,0,-46,-46
20695,392,0,3.5,3.49,9964,1,0,6,7,100,0,0,-45,-45
21116,361,0,3.43,3.46,9977,1,0,6,7,100,0,0,-46,-47
