time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
420,335,0,1.96,1.98,48858,0,1,6,6,100,0,0,-56,-56
808,359,0,1.89,1.96,48871,0,1,5,6,100,0,0,-59,-60
1198,359,0,2.07,1.99,48884,0,0,5,6,100,0,0,-54,-56
1590,363,0,2.14,2.02,48897,0,0,6,6,100,0,0,-54,-55
2371,337,0,2.07,2.04,48923,0,1,6,6,100,0,0,-55,-55
2760,386,0,2.18,2.12,48936,0,1,6,6,100,0,0,-53,-55
3178,363,0,2.03,2.11,48949,-1,1,5,6,100,0,0,-53,-55
3599,390,0,1.96,2.06,48963,-1,0,6,6,100,0,0,-57,-57
3991,392,0,1.96,2.03,48977,0,1,6,6,100,0,0,-54,-54
4379,363,0,2.0,1.99,48990,-1,1,5,6,100,0,0,-60,-61
4798,361,0,2.03,1.99,49003,0,1,6,6,100,0,0,-56,-56
5189,390,0,2.07,2.02,49017,-1,0,5,6,100,0,0,-54,-56
5582,363,0,2.11,2.05,49030,-1,0,6,6,100,0,0,-54,-56
6391,384,0,2.11,2.08,49057,0,-1,6,6,100,0,0,-59,-60
6779,369,0,2.0,2.06,49070,0,0,5,6,100,0,0,-57,-58
7170,359,0,2.03,2.04,49083,0,0,5,6,100,0,0,-53,-55
7562,363,0,2.07,2.05,49096,1,-1,5,6,100,0,0,-60,-60
7977,363,0,2.07,2.04,49109,0,1,6,6,100,0,0,-53,-55
8369,388,0,2.03,2.05,49123,1,0,5,6,100,0,0,-57,-57
8787,361,0,2.11,2.07,49136,0,0,5,6,100,0,0,-56,-56
9183,390,0,2.11,2.08,49150,-1,0,5,6,100,0,0,-54,-55
9571,367,0,2.11,2.09,49163,0,0,5,6,100,0,0,-59,-60
9958,359,0,2.07,2.1,49176,0,0,5,6,100,0,0,-57,-59
10380,359,0,2.03,2.08,49189,0,0,5,6,100,0,0,-60,-60
10771,394,0,2.03,2.06,49203,0,0,5,6,100,0,0,-53,-55
11161,363,0,2.11,2.06,49216,0,-1,5,6,100,0,0,-59,-60
11552,363,0,2.11,2.07,49229,0,-1,5,6,100,0,0,-55,-55
11941,363,0,2.03,2.07,49242,0,0,5,6,100,0,0,-55,-55
12331,361,0,2.07,2.08,49255,0,0,6,6,100,0,0,-59,-60
12718,361,0,2.0,2.05,49268,0,0,5,6,100,0,0,-55,-56
13108,359,0,2.07,2.04,49281,1,0,5,6,100,0,0,-59,-60
13525,363,0,2.03,2.04,49294,0,0,5,6,100,0,0,-58,-59
13920,388,0,2.07,2.04,49308,0,0,5,6,100,0,0,-55,-56
14310,367,0,2.07,2.06,49321,0,0,6,6,100,0,0,-53,-55
14702,363,0,2.07,2.06,49334,0,-1,5,6,100,0,0,-55,-56
15089,363,0,2.07,2.07,49347,1,-1,5,6,100,0,0,-57,-59
15481,359,0,2.11,2.08,49360,0,0,5,6,100,0,0,-55,-56
15901,363,0,2.11,2.09,49373,0,0,5,6,100,0,0,-56,-56
16289,392,0,2.11,2.1,49387,1,0,5,6,100,0,0,-56,-57
16681,359,0,2.07,2.1,49400,0,0,6,6,100,0,0,-59,-59
17069,365,0,2.07,2.09,49413,0,0,5,6,100,0,0,-53,-55
17460,359,0,2.07,2.08,49426,1,0,5,6,100,0,0,-59,-60
17847,365,0,2.03,2.06,49439,0,0,5,6,100,0,0,-60,-60
18239,361,0,2.07,2.06,49452,0,0,5,6,100,0,0,-53,-55
18658,363,0,2.03,2.05,49465,0,0,5,6,100,0,0,-56,-57
19049,390,0,2.07,2.05,49479,0,0,5,6,100,0,0,-55,-55
19441,361,0,2.07,2.06,49492,0,0,5,6,100,0,0,-53,-55
19829,363,0,2.07,2.06,49505,0,0,5,6,100,0,0,-59,-60
20219,361,0,2.07,2.07,49518,0,0,5,6,100,0,0,-53,-55
20609,361,0,2.03,2.06,49531,0,0,5,6,100,0,0,-53,-55
