time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
524,361,0,4.52,4.51,9956,0,0,4,5,100,0,0,-61,-62
944,394,0,4.93,4.61,9970,0,0,4,4,100,0,0,-60,-61
1334,394,0,4.89,4.71,9984,1,0,4,5,100,0,0,-67,-68
1722,361,0,4.45,4.7,9997,0,0,4,5,100,0,0,-66,-67
2146,359,0,4.6,4.72,10010,1,0,4,4,100,0,0,-65,-66
2566,394,0,4.82,4.69,10024,0,1,4,4,100,0,0,-63,-62
3346,332,0,4.78,4.66,10050,1,0,4,0,100,0,0,-63,-64
3763,392,0,4.63,4.71,10064,0,0,4,4,100,0,0,-65,-66
4574,369,0,4.71,4.73,10091,1,0,4,4,100,0,0,-65,-65
4996,388,0,4.74,4.72,10105,0,0,4,4,100,0,0,-64,-66
5385,394,0,4.74,4.71,10119,1,0,4,5,100,0,0,-61,-62
5807,361,0,4.71,4.72,10132,1,0,4,4,100,0,0,-61,-62
6227,394,0,4.82,4.75,10146,1,0,4,4,100,0,0,-66,-67
6646,392,0,4.74,4.75,10160,1,0,4,4,100,0,0,-60,-60
7065,390,0,4.67,4.73,10174,1,0,4,4,100,0,0,-66,-67
7875,367,0,4.71,4.73,10202,0,0,4,5,100,0,0,-66,-66
8687,363,0,4.67,4.7,10228,0,1,4,4,100,0,0,-64,-64
9105,394,0,4.71,4.69,10242,1,-1,4,4,100,0,0,-60,-61
9525,388,0,4.63,4.68,10256,1,0,4,5,100,0,0,-61,-62
9914,392,0,4.82,4.71,10270,0,0,4,5,100,0,0,-62,-63
10337,361,0,4.74,4.72,10283,0,0,3,4,100,0,0,-64,-66
10756,394,0,4.67,4.72,10297,1,0,4,0,100,0,0,-63,-64
11174,392,0,4.71,4.73,10311,1,0,3,4,100,0,0,-62,-63
12013,369,0,4.6,4.68,10339,1,0,4,4,100,0,0,-67,-67
12437,414,0,4.78,4.69,10353,0,0,4,4,100,0,0,-60,-61
12824,396,0,4.71,4.7,10367,0,0,4,5,100,0,0,-61,-61
13244,359,0,4.71,4.7,10380,0,0,4,5,100,0,0,-64,-65
13634,390,0,4.63,4.71,10394,0,0,4,5,100,0,0,-64,-65
14024,361,0,4.71,4.69,10407,1,0,4,5,100,0,0,-65,-67
14416,361,0,4.67,4.68,10420,1,0,4,5,100,0,0,-59,-60
14837,363,0,4.71,4.68,10433,0,0,4,4,100,0,0,-64,-65
15258,392,0,4.78,4.72,10447,0,0,4,4,100,0,0,-64,-64
15679,392,0,4.71,4.72,10461,0,-1,4,4,100,0,0,-61,-62
16100,394,0,4.71,4.72,10475,0,0,4,4,100,0,0,-63,-64
16517,392,0,4.71,4.72,10489,0,0,4,4,100,0,0,-63,-63
16937,390,0,4.67,4.7,10503,0,0,4,0,100,0,0,-63,-63
17355,390,0,4.74,4.71,10517,0,0,4,4,100,0,0,-59,-60
17777,390,0,4.71,4.71,10531,0,-1,4,0,100,0,0,-61,-61
18166,394,0,4.71,4.71,10545,0,0,4,5,100,0,0,-63,-64
18588,359,0,4.74,4.72,10558,0,0,4,4,100,0,0,-66,-67
19006,394,0,4.74,4.72,10572,0,0,4,4,100,0,0,-58,-59
19395,390,0,4.71,4.72,10586,0,0,4,5,100,0,0,-58,-59
19818,361,0,4.71,4.72,10599,0,0,4,4,100,0,0,-66,-66
20237,394,0,4.78,4.73,10613,0,0,4,4,100,0,0,-65,-67
20657,390,0,4.71,4.72,10627,0,0,4,4,100,0,0,-66,-67
21046,392,0,4.74,4.73,10641,0,0,4,4,100,0,0,-65,-66
21468,361,0,4.74,4.74,10654,0,0,4,4,100,0,0,-62,-62
21882,394,0,4.71,4.72,10668,0,0,4,4,100,0,0,-59,-60
22304,384,0,4.74,4.73,10682,0,0,4,5,100,0,0,-64,-65
22728,396,0,4.74,4.73,10696,0,1,4,4,100,0,0,-62,-62
