time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
440,361,0,0.0,-0.0,30732,1,0,6,6,100,0,0,-75,-76
1190,333,0,0.0,-0.0,30757,1,0,6,6,100,0,0,-61,-62
1580,361,0,0.0,-0.0,30770,0,-1,6,6,100,0,0,-60,-62
2331,335,0,0.0,-0.0,30795,1,-1,6,6,100,0,0,-60,-61
2720,359,0,0.0,-0.0,30808,1,1,6,6,100,0,0,-64,-65
3112,361,0,0.0,-0.0,30821,1,-1,6,6,100,0,0,-60,-62
3861,335,0,0.0,-0.0,30846,0,2,6,6,100,0,0,-60,-60
4250,359,0,0.0,-0.0,30859,1,0,6,6,100,0,0,-60,-60
5811,410,0,0.0,-0.0,30911,0,0,6,6,100,0,0,-68,-68
6202,369,0,0.0,-0.0,30924,0,-1,6,6,100,0,0,-76,-76
6950,333,0,0.0,-0.0,30949,1,0,6,6,100,0,0,-59,-61
7731,341,0,0.0,-0.0,30975,1,-1,6,6,100,0,0,-65,-66
10821,335,0,0.0,-0.0,31078,1,-2,6,6,100,0,0,-56,-56
14210,343,0,0.0,-0.0,31191,1,1,6,6,100,0,0,-60,-61
16040,333,0,0.0,-0.0,31252,1,0,6,6,100,0,0,-56,-56
18649,341,0,0.0,-0.0,31339,0,0,6,6,100,0,0,-60,-62
19041,359,0,0.0,-0.0,31352,1,0,6,6,100,0,0,-58,-58
19821,337,0,0.0,-0.0,31378,1,0,6,6,100,0,0,-63,-64
20210,386,0,0.0,-0.0,31391,0,0,6,6,100,0,0,-60,-61
20602,361,0,0.0,-0.0,31404,1,-1,6,6,100,0,0,-60,-61
21351,333,0,0.0,-0.0,31429,1,0,6,6,100,0,0,-56,-55
22822,332,0,0.0,-0.0,31478,0,-1,6,6,100,0,0,-60,-61
28763,333,0,0.0,-0.0,31676,-1,-1,6,6,100,0,0,-60,-61
30592,333,0,0.0,-0.0,31737,1,-3,6,6,100,0,0,-54,-54
32449,359,0,0.0,-0.0,31799,0,2,6,6,100,0,0,-56,-56
34671,359,0,0.0,-0.0,31873,1,-3,6,6,100,0,0,-55,-55
35481,384,0,0.0,-0.0,31900,-1,2,6,6,100,0,0,-60,-61
35871,371,0,0.0,-0.0,31913,1,-1,6,6,100,0,0,-65,-66
36652,335,0,0.0,-0.0,31939,-1,-1,6,6,100,0,0,-73,-74
41992,335,0,0.0,-0.0,32117,-1,-1,6,6,100,0,0,-60,-61
42800,382,0,0.0,-0.0,32144,0,2,6,6,100,0,0,-61,-61
43551,333,0,0.0,-0.0,32169,-1,0,6,6,100,0,0,-69,-70
44333,335,0,0.0,-0.0,32195,-1,0,6,6,100,0,0,-60,-61
45110,335,0,0.0,-0.0,32221,1,0,6,6,100,0,0,-61,-61
45892,335,0,0.0,-0.0,32247,1,-1,6,6,100,0,0,-62,-63
47631,345,0,0.0,-0.0,32305,1,0,6,6,100,0,0,-56,-56
48023,386,0,0.0,-0.0,32318,0,-1,6,6,100,0,0,-58,-58
48411,363,0,0.0,-0.0,32331,1,0,6,6,100,0,0,-56,-56
51050,359,0,0.0,-0.0,32419,1,0,6,6,100,0,0,-59,-61
54591,382,0,0.0,-0.0,32537,1,0,6,6,100,0,0,-60,-62
58130,341,0,0.0,-0.0,32655,1,-3,6,6,100,0,0,-60,-61
67460,382,0,0.0,-0.0,32966,1,0,6,6,100,0,0,-59,-60
67852,369,0,0.0,-0.0,32979,1,-1,6,6,100,0,0,-60,-61
72291,361,0,0.0,-0.0,33127,1,-1,6,6,100,0,0,-58,-58
73102,384,0,0.0,-0.0,33154,1,-2,6,6,100,0,0,-56,-56
76132,410,0,0.0,-0.0,33255,0,-2,6,6,100,0,0,-56,-56
85612,361,0,0.0,-0.0,33571,0,-2,6,6,100,0,0,-60,-61
87919,380,0,0.0,-0.0,33648,0,-2,6,6,100,0,0,-60,-61
89152,392,0,0.0,-0.0,33689,0,-1,6,6,100,0,0,-75,-75
89542,371,0,0.0,-0.0,33702,-1,-1,6,6,100,0,0,-60,-62
