time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
532,388,0,1.0,1.0,2744,0,0,7,7,100,0,0,-45,-47
952,365,0,1.0,1.01,2757,1,-1,7,7,100,0,0,-45,-45
1341,392,0,1.0,1.01,2771,1,0,7,7,100,0,0,-45,-46
1762,361,0,0.96,0.99,2784,0,-1,7,7,100,0,0,-47,-47
2154,392,0,0.96,0.98,2798,0,-1,7,7,100,0,0,-45,-46
2570,363,0,1.0,0.98,2811,1,-1,7,7,100,0,0,-46,-46
2995,388,0,1.0,0.98,2825,1,0,7,7,100,0,0,-47,-50
3412,396,0,0.96,0.98,2839,1,-1,7,7,100,0,0,-45,-45
3833,388,0,1.0,0.99,2853,0,-1,7,7,100,0,0,-45,-45
4252,394,0,1.04,1.0,2867,1,-1,7,7,100,0,0,-45,-46
4670,390,0,1.0,1.0,2881,0,-1,7,7,100,0,0,-45,-45
5065,390,0,0.96,1.0,2895,0,-1,7,7,100,0,0,-45,-46
5452,367,0,0.96,0.99,2908,1,0,7,7,100,0,0,-48,-50
5870,359,0,1.0,0.98,2921,1,-1,7,7,100,0,0,-45,-45
6265,388,0,0.96,0.97,2935,1,-1,7,7,100,0,0,-45,-46
6653,369,0,1.0,0.98,2948,1,0,7,7,100,0,0,-46,-46
7429,339,0,1.0,0.99,2973,1,-1,7,7,100,0,0,-45,-45
7850,382,0,1.0,0.99,2987,1,0,7,7,100,0,0,-45,-46
8271,392,0,0.96,0.99,3001,1,0,7,7,100,0,0,-45,-46
9113,416,0,1.0,0.98,3030,1,-1,7,7,100,0,0,-45,-46
9529,369,0,0.96,0.97,3043,0,0,7,7,100,0,0,-45,-45
9922,388,0,0.96,0.97,3057,1,0,7,7,100,0,0,-45,-45
10339,365,0,1.0,0.98,3070,1,0,7,7,100,0,0,-45,-46
10732,388,0,1.04,0.99,3084,0,0,7,7,100,0,0,-45,-45
11122,365,0,0.96,0.99,3097,1,0,7,7,100,0,0,-45,-46
11514,361,0,0.96,0.99,3110,0,0,7,7,100,0,0,-49,-51
11936,363,0,1.0,0.99,3123,1,-1,7,7,100,0,0,-45,-46
12352,392,0,0.96,0.97,3137,0,-1,7,7,100,0,0,-45,-45
12742,390,0,1.0,0.98,3151,1,0,7,7,100,0,0,-46,-47
13134,361,0,0.93,0.97,3164,1,-1,7,7,100,0,0,-45,-45
13524,365,0,1.0,0.97,3177,1,0,7,7,100,0,0,-46,-46
13915,361,0,1.0,0.98,3190,0,-1,7,7,100,0,0,-46,-46
14305,365,0,0.96,0.97,3203,0,-1,7,7,100,0,0,-47,-47
14721,361,0,1.0,0.99,3216,0,0,7,7,100,0,0,-46,-46
15113,388,0,1.0,0.99,3230,0,-1,7,7,100,0,0,-45,-45
15531,363,0,0.96,0.98,3243,1,0,7,7,100,0,0,-45,-46
15948,390,0,1.0,0.99,3257,1,0,7,7,100,0,0,-45,-46
16374,386,0,0.96,0.98,3271,1,0,7,7,100,0,0,-45,-46
16763,398,0,0.96,0.97,3285,1,-1,7,7,100,0,0,-46,-47
17180,361,0,0.96,0.97,3298,0,0,7,7,100,0,0,-47,-46
17601,388,0,0.93,0.95,3312,0,0,7,7,100,0,0,-45,-45
18023,392,0,0.96,0.95,3326,0,-1,7,7,100,0,0,-45,-45
18414,392,0,0.96,0.95,3340,0,0,7,7,100,0,0,-45,-46
18832,363,0,0.96,0.95,3353,0,0,7,7,100,0,0,-49,-51
19223,390,0,0.96,0.96,3367,0,-1,7,7,100,0,0,-45,-46
19637,363,0,0.93,0.95,3380,1,0,7,7,100,0,0,-45,-45
20036,386,0,1.0,0.96,3394,0,-1,7,7,100,0,0,-46,-46
20452,369,0,0.96,0.96,3407,1,0,7,7,100,0,0,-45,-46
20871,390,0,0.96,0.96,3421,1,-1,7,7,100,0,0,-46,-47
21292,390,0,0.93,0.96,3435,1,0,7,7,100,0,0,-45,-46
