time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
518,332,0,1.4,1.37,57492,0,-1,5,5,100,0,0,-64,-66
907,361,0,1.44,1.37,57505,1,0,5,5,100,0,0,-76,-77
1687,335,0,1.44,1.38,57530,1,-1,5,5,100,0,0,-60,-60
3245,380,0,1.4,1.42,57582,1,0,5,5,100,0,0,-65,-66
3996,339,0,1.4,1.41,57608,1,-1,5,5,100,0,0,-66,-68
4778,365,0,1.4,1.4,57634,0,0,5,5,100,0,0,-67,-68
5918,333,0,1.4,1.4,57672,1,0,5,5,100,0,0,-64,-65
6669,333,0,1.44,1.41,57697,0,-1,5,5,100,0,0,-64,-65
7507,408,0,1.44,1.42,57725,0,0,5,5,100,0,0,-65,-66
8259,335,0,1.44,1.43,57750,1,-1,5,6,100,0,0,-60,-60
8649,361,0,1.29,1.39,57763,0,-1,5,5,100,0,0,-65,-65
9037,361,0,1.4,1.39,57776,1,-1,5,5,100,0,0,-66,-67
9455,359,0,1.47,1.4,57789,0,0,5,5,100,0,0,-66,-67
10239,339,0,1.51,1.42,57816,1,-1,5,5,100,0,0,-64,-65
10628,386,0,1.51,1.47,57829,1,-1,5,5,100,0,0,-63,-63
11015,361,0,1.47,1.49,57842,1,0,5,5,100,0,0,-60,-60
11434,359,0,1.47,1.49,57855,1,-1,5,5,100,0,0,-65,-67
11828,390,0,1.51,1.49,57869,1,-1,5,5,100,0,0,-63,-65
12219,367,0,1.44,1.47,57882,1,-1,5,5,100,0,0,-64,-64
12999,365,0,1.51,1.48,57908,1,-1,5,5,100,0,0,-63,-64
13416,355,0,1.47,1.48,57921,1,-1,5,5,100,0,0,-66,-67
13807,390,0,1.51,1.48,57935,0,0,5,5,100,0,0,-69,-69
14198,363,0,1.55,1.51,57948,1,0,5,5,100,0,0,-63,-64
14978,365,0,1.44,1.49,57974,1,-1,5,5,100,0,0,-67,-68
15368,359,0,1.58,1.52,57987,1,-1,5,5,100,0,0,-66,-67
15758,363,0,1.51,1.52,58000,1,0,5,5,100,0,0,-65,-66
16622,416,0,1.58,1.57,58028,0,0,5,5,100,0,0,-62,-62
17019,392,0,1.55,1.56,58042,1,0,5,5,100,0,0,-66,-67
17407,367,0,1.51,1.56,58055,1,0,5,5,100,0,0,-68,-69
17796,359,0,1.55,1.55,58068,1,1,5,5,100,0,0,-80,-82
18188,361,0,1.55,1.54,58081,0,0,5,5,100,0,0,-66,-68
18577,363,0,1.58,1.55,58094,1,0,5,5,100,0,0,-67,-68
18967,363,0,1.62,1.57,58107,1,0,5,5,100,0,0,-62,-62
19358,361,0,1.55,1.57,58120,0,0,5,5,100,0,0,-64,-64
19748,361,0,1.51,1.57,58133,1,0,5,5,100,0,0,-78,-78
20139,361,0,1.47,1.54,58146,1,1,5,5,100,0,0,-60,-60
20525,363,0,1.4,1.48,58159,0,1,5,5,100,0,0,-64,-64
20918,359,0,1.55,1.48,58172,0,-1,5,6,100,0,0,-68,-69
21308,365,0,1.36,1.45,58185,1,0,5,5,100,0,0,-62,-64
21697,361,0,1.36,1.42,58198,1,0,5,5,100,0,0,-73,-74
22448,335,0,1.36,1.41,58223,0,-1,5,5,100,0,0,-64,-65
22839,359,0,1.29,1.35,58236,1,-1,5,5,100,0,0,-68,-68
23228,361,0,1.29,1.33,58249,1,0,5,5,100,0,0,-64,-66
23618,359,0,1.4,1.34,58262,0,0,5,6,100,0,0,-63,-65
24008,361,0,1.51,1.37,58275,0,0,5,5,100,0,0,-68,-69
24819,386,0,1.51,1.47,58302,1,-1,5,5,100,0,0,-66,-67
26348,390,0,1.44,1.48,58353,1,-1,5,5,100,0,0,-67,-68
26738,359,0,1.51,1.48,58366,1,0,5,5,100,0,0,-77,-78
27488,335,0,1.47,1.48,58391,1,0,5,5,100,0,0,-64,-66
27880,359,0,1.4,1.46,58404,1,-1,5,5,100,0,0,-68,-69
