time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
712,365,0,2.5,2.5,11829,1,-1,6,6,100,0,0,-53,-54
1101,361,0,2.46,2.48,11842,0,0,6,6,100,0,0,-54,-55
1489,359,0,2.46,2.47,11855,0,0,6,6,100,0,0,-54,-55
1879,361,0,2.5,2.48,11868,1,1,6,6,100,0,0,-56,-57
2271,359,0,2.46,2.47,11881,0,0,6,6,100,0,0,-54,-55
2659,363,0,2.46,2.47,11894,0,0,6,6,100,0,0,-52,-53
3047,359,0,2.5,2.48,11907,0,0,6,6,100,0,0,-56,-57
3438,361,0,2.57,2.5,11920,1,0,6,6,100,0,0,-54,-55
3856,361,0,2.43,2.49,11933,0,0,6,6,100,0,0,-57,-58
4249,388,0,2.39,2.47,11947,1,0,6,6,100,0,0,-54,-56
4639,365,0,2.46,2.46,11960,0,1,6,6,100,0,0,-57,-58
5029,361,0,2.5,2.44,11973,1,0,6,6,100,0,0,-52,-53
5422,363,0,2.5,2.46,11986,0,-1,6,6,100,0,0,-53,-54
5812,365,0,2.54,2.5,11999,0,-1,6,6,100,0,0,-55,-56
6199,361,0,2.39,2.48,12012,0,1,6,6,100,0,0,-53,-53
6592,361,0,2.54,2.49,12025,1,0,6,6,100,0,0,-55,-56
6978,361,0,2.54,2.5,12038,1,0,6,6,100,0,0,-55,-56
7369,359,0,2.54,2.5,12051,0,-1,6,6,100,0,0,-53,-54
7758,365,0,2.46,2.52,12064,1,0,6,6,100,0,0,-55,-55
8149,359,0,2.46,2.5,12077,1,1,6,6,100,0,0,-52,-53
8538,363,0,2.46,2.48,12090,1,-1,6,6,100,0,0,-56,-57
8931,363,0,2.43,2.45,12103,0,0,6,6,100,0,0,-57,-58
9323,363,0,2.5,2.46,12116,1,-1,6,6,100,0,0,-57,-58
9711,363,0,2.46,2.46,12129,1,0,6,6,100,0,0,-57,-58
10098,361,0,2.5,2.47,12142,1,0,6,6,100,0,0,-53,-53
10491,359,0,2.46,2.48,12155,0,-1,6,6,100,0,0,-57,-58
10908,365,0,2.43,2.46,12168,0,0,6,6,100,0,0,-57,-58
11301,388,0,2.57,2.49,12182,1,0,6,6,100,0,0,-52,-53
11689,365,0,2.46,2.48,12195,0,0,6,6,100,0,0,-56,-57
12105,361,0,2.54,2.5,12208,1,0,6,6,100,0,0,-54,-56
12500,386,0,2.54,2.53,12222,0,-1,6,6,100,0,0,-57,-58
12889,367,0,2.43,2.49,12235,0,0,6,6,100,0,0,-56,-56
13280,361,0,2.54,2.51,12248,0,-2,6,6,100,0,0,-53,-54
13672,365,0,2.5,2.5,12261,1,-1,6,6,100,0,0,-53,-54
14062,363,0,2.54,2.5,12274,1,-1,6,6,100,0,0,-56,-57
14453,361,0,2.46,2.51,12287,1,-1,6,6,100,0,0,-57,-58
14841,361,0,2.5,2.5,12300,1,0,6,6,100,0,0,-55,-56
15228,361,0,2.57,2.52,12313,1,0,6,6,100,0,0,-53,-54
15644,357,0,2.46,2.5,12326,0,0,6,6,100,0,0,-52,-53
16038,388,0,2.54,2.52,12340,1,0,6,6,100,0,0,-57,-58
16431,365,0,2.46,2.51,12353,0,0,6,6,100,0,0,-57,-57
16818,367,0,2.5,2.49,12366,0,0,6,6,100,0,0,-57,-58
17208,357,0,2.57,2.52,12379,0,0,6,6,100,0,0,-57,-57
17600,361,0,2.5,2.51,12392,0,0,6,6,100,0,0,-53,-53
17990,363,0,2.46,2.51,12405,1,0,6,6,100,0,0,-54,-55
18379,363,0,2.5,2.51,12418,0,0,6,6,100,0,0,-52,-53
18770,361,0,2.5,2.49,12431,1,1,6,6,100,0,0,-54,-55
19161,363,0,2.57,2.51,12444,0,0,6,6,100,0,0,-54,-55
19553,363,0,2.5,2.52,12457,1,-1,6,6,100,0,0,-53,-54
19941,365,0,2.57,2.54,12470,1,-2,6,6,100,0,0,-53,-54
