time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
549,359,0,1.34,1.37,39925,-1,-1,6,7,100,0,0,-50,-51
938,365,0,1.3,1.37,39938,0,0,6,7,100,0,0,-53,-54
1327,359,0,1.38,1.36,39951,0,0,6,7,100,0,0,-58,-59
1718,363,0,1.38,1.35,39964,0,-1,6,7,100,0,0,-58,-59
2107,363,0,1.27,1.33,39977,0,0,6,7,100,0,0,-53,-55
2527,361,0,1.3,1.33,39990,1,1,6,6,100,0,0,-54,-55
2918,392,0,1.34,1.32,40004,0,0,6,7,100,0,0,-61,-62
3307,363,0,1.34,1.31,40017,0,0,6,7,100,0,0,-53,-54
3698,361,0,1.3,1.32,40030,0,0,6,7,100,0,0,-57,-58
4087,363,0,1.3,1.32,40043,0,0,6,7,100,0,0,-61,-62
4476,361,0,1.34,1.32,40056,0,-1,6,7,100,0,0,-51,-51
4865,361,0,1.27,1.3,40069,0,0,6,7,100,0,0,-51,-52
5257,361,0,1.27,1.29,40082,1,0,6,6,100,0,0,-59,-60
5649,365,0,1.3,1.29,40095,0,-1,6,7,100,0,0,-61,-62
6038,363,0,1.27,1.27,40108,0,0,6,6,100,0,0,-60,-61
6427,361,0,1.3,1.28,40121,0,0,6,7,100,0,0,-50,-50
6845,361,0,1.27,1.28,40134,0,0,6,6,100,0,0,-59,-60
7268,388,0,1.3,1.28,40148,0,0,6,6,100,0,0,-60,-60
7656,394,0,1.34,1.3,40162,0,0,6,7,100,0,0,-54,-55
8048,361,0,1.19,1.27,40175,1,1,6,7,100,0,0,-57,-58
8469,363,0,1.27,1.27,40188,-1,0,6,7,100,0,0,-60,-61
8857,392,0,1.27,1.27,40202,0,0,6,7,100,0,0,-58,-59
9249,361,0,1.27,1.25,40215,-1,1,6,7,100,0,0,-53,-54
9636,363,0,1.3,1.27,40228,0,0,6,7,100,0,0,-57,-58
10027,359,0,1.23,1.27,40241,0,0,6,7,100,0,0,-51,-52
10417,363,0,1.27,1.27,40254,0,0,6,7,100,0,0,-50,-50
10807,361,0,1.3,1.27,40267,0,0,6,7,100,0,0,-53,-54
11197,363,0,1.23,1.26,40280,0,0,6,7,100,0,0,-56,-57
11588,361,0,1.27,1.27,40293,1,0,6,7,100,0,0,-52,-53
11976,363,0,1.3,1.27,40306,0,0,6,7,100,0,0,-60,-61
12367,359,0,1.3,1.27,40319,1,0,6,7,100,0,0,-60,-61
12757,363,0,1.23,1.27,40332,0,0,6,7,100,0,0,-52,-53
13147,361,0,1.27,1.27,40345,0,1,6,7,100,0,0,-50,-51
13538,361,0,1.19,1.25,40358,0,0,6,7,100,0,0,-61,-62
13926,361,0,1.27,1.24,40371,1,1,6,7,100,0,0,-58,-59
14315,361,0,1.23,1.24,40384,0,0,6,7,100,0,0,-62,-63
14707,361,0,1.23,1.23,40397,0,0,6,7,100,0,0,-53,-54
15122,363,0,1.19,1.23,40410,0,1,6,7,100,0,0,-52,-53
15517,386,0,1.23,1.22,40424,0,0,6,6,100,0,0,-60,-61
15908,367,0,1.23,1.22,40437,0,0,6,7,100,0,0,-51,-52
16299,363,0,1.19,1.21,40450,0,-1,6,7,100,0,0,-60,-61
16687,363,0,1.27,1.23,40463,0,0,6,7,100,0,0,-53,-54
17076,361,0,1.19,1.22,40476,0,0,6,7,100,0,0,-60,-61
17467,363,0,1.27,1.23,40489,0,0,6,7,100,0,0,-51,-52
17857,361,0,1.19,1.23,40502,0,0,6,7,100,0,0,-54,-56
18247,363,0,1.23,1.22,40515,0,0,6,6,100,0,0,-62,-63
18638,361,0,1.23,1.23,40528,0,0,6,7,100,0,0,-61,-62
19026,361,0,1.27,1.23,40541,0,0,6,7,100,0,0,-51,-51
19807,339,0,1.19,1.23,40567,0,0,6,7,100,0,0,-62,-63
20197,386,0,1.23,1.23,40580,0,0,6,7,100,0,0,-62,-63
