time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
613,394,0,2.55,2.54,26743,0,0,6,6,100,0,0,-46,-47
1000,392,0,2.62,2.56,26757,0,0,6,7,100,0,0,-49,-49
1392,359,0,2.58,2.57,26770,1,-1,6,7,100,0,0,-48,-50
1812,363,0,2.58,2.58,26783,0,0,6,6,100,0,0,-48,-50
2232,392,0,2.47,2.57,26797,1,0,6,6,100,0,0,-48,-48
2649,392,0,2.55,2.55,26811,1,0,6,6,100,0,0,-49,-50
3073,388,0,2.58,2.55,26825,1,0,6,6,100,0,0,-48,-50
3489,394,0,2.51,2.53,26839,0,0,6,6,100,0,0,-48,-49
3913,390,0,2.58,2.56,26853,1,0,6,7,100,0,0,-50,-50
4300,392,0,2.58,2.57,26867,1,0,6,7,100,0,0,-46,-47
4689,361,0,2.58,2.57,26880,1,0,6,7,100,0,0,-49,-50
5113,361,0,2.62,2.59,26893,1,-1,6,6,100,0,0,-46,-47
5533,394,0,2.58,2.59,26907,0,-1,6,6,100,0,0,-46,-47
5953,392,0,2.58,2.59,26921,0,0,6,6,100,0,0,-46,-47
6342,388,0,2.62,2.6,26935,1,-1,6,7,100,0,0,-48,-50
6731,361,0,2.58,2.59,26948,1,1,6,7,100,0,0,-48,-50
7150,363,0,2.58,2.59,26961,1,-1,6,7,100,0,0,-47,-49
7575,390,0,2.55,2.58,26975,0,-1,6,6,100,0,0,-47,-49
7992,394,0,2.55,2.57,26989,0,-1,6,6,100,0,0,-46,-46
8411,388,0,2.58,2.57,27003,1,0,6,7,100,0,0,-48,-49
8800,392,0,2.58,2.57,27017,0,0,6,7,100,0,0,-47,-48
9191,361,0,2.58,2.57,27030,1,0,6,7,100,0,0,-48,-49
9613,363,0,2.51,2.57,27043,1,0,6,6,100,0,0,-48,-50
10000,394,0,2.55,2.56,27057,0,0,6,7,100,0,0,-47,-49
10416,361,0,2.55,2.55,27070,0,1,6,7,100,0,0,-47,-47
10812,386,0,2.55,2.54,27084,1,-1,6,7,100,0,0,-48,-50
11230,367,0,2.58,2.56,27097,1,0,6,7,100,0,0,-46,-47
11650,392,0,2.55,2.56,27111,1,0,6,7,100,0,0,-48,-49
12073,390,0,2.55,2.56,27125,1,1,6,7,100,0,0,-47,-49
12487,394,0,2.55,2.56,27139,0,0,6,6,100,0,0,-48,-50
12882,386,0,2.58,2.56,27153,0,-1,6,6,100,0,0,-48,-49
13296,367,0,2.55,2.56,27166,1,0,6,6,100,0,0,-48,-48
14172,419,0,2.55,2.57,27195,0,0,6,6,100,0,0,-46,-47
14561,400,0,2.55,2.56,27209,0,0,6,7,100,0,0,-46,-47
14983,361,0,2.55,2.56,27222,0,-1,6,7,100,0,0,-48,-50
15370,394,0,2.62,2.57,27236,0,0,6,7,100,0,0,-47,-49
15761,357,0,2.51,2.56,27249,0,-1,6,7,100,0,0,-46,-48
16183,363,0,2.58,2.57,27262,0,1,6,6,100,0,0,-48,-50
16571,392,0,2.58,2.57,27276,0,0,6,7,100,0,0,-47,-49
16993,359,0,2.51,2.55,27289,1,0,6,7,100,0,0,-48,-50
17410,394,0,2.58,2.57,27303,0,0,6,6,100,0,0,-47,-49
17830,388,0,2.55,2.56,27317,0,1,6,7,100,0,0,-46,-47
18249,392,0,2.58,2.56,27331,0,0,6,6,100,0,0,-50,-50
18642,392,0,2.58,2.57,27345,0,-1,6,7,100,0,0,-50,-50
19063,365,0,2.58,2.57,27358,0,0,6,7,100,0,0,-46,-46
19483,392,0,2.55,2.57,27372,0,0,6,6,100,0,0,-48,-50
19871,392,0,2.58,2.57,27386,0,-1,6,7,100,0,0,-46,-47
20292,361,0,2.62,2.58,27399,1,0,6,7,100,0,0,-50,-50
20681,392,0,2.51,2.57,27413,0,0,6,7,100,0,0,-49,-50
21102,359,0,2.51,2.56,27426,1,0,6,6,100,0,0,-47,-49
