time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
694,365,0,1.78,1.7,27120,0,0,6,7,100,0,0,-52,-53
1085,357,0,1.63,1.7,27133,1,0,6,7,100,0,0,-57,-56
1505,361,0,1.67,1.69,27146,0,0,7,7,100,0,0,-55,-55
1897,392,0,1.6,1.67,27160,0,0,7,7,100,0,0,-50,-51
2287,365,0,1.74,1.66,27173,1,0,6,7,100,0,0,-55,-55
2674,363,0,1.71,1.68,27186,0,0,6,6,100,0,0,-57,-57
3066,359,0,1.67,1.68,27199,0,0,6,7,100,0,0,-58,-57
3457,365,0,1.67,1.7,27212,0,0,6,7,100,0,0,-52,-53
3844,363,0,1.6,1.66,27225,1,0,6,7,100,0,0,-49,-49
4236,359,0,1.67,1.65,27238,1,-1,6,7,100,0,0,-58,-57
4628,361,0,1.71,1.66,27251,0,-1,7,7,100,0,0,-57,-56
5016,363,0,1.67,1.66,27264,0,0,6,7,100,0,0,-58,-57
5407,361,0,1.63,1.67,27277,1,0,7,7,100,0,0,-55,-55
5797,363,0,1.63,1.66,27290,1,0,7,7,100,0,0,-50,-51
6184,361,0,1.63,1.64,27303,0,0,6,7,100,0,0,-53,-54
6631,359,0,1.67,1.64,27316,1,0,7,7,100,0,0,-57,-57
7027,417,0,1.63,1.64,27331,1,0,6,7,100,0,0,-52,-53
7416,369,0,1.67,1.65,27344,0,0,7,7,100,0,0,-49,-50
7804,361,0,1.67,1.66,27357,1,0,6,7,100,0,0,-56,-56
8197,361,0,1.71,1.67,27370,1,0,6,7,100,0,0,-52,-53
8588,363,0,1.63,1.67,27383,0,-1,7,7,100,0,0,-59,-59
8978,363,0,1.63,1.66,27396,1,-1,7,7,100,0,0,-58,-58
9754,367,0,1.71,1.67,27422,1,0,6,7,100,0,0,-50,-50
10147,355,0,1.85,1.71,27435,1,0,6,7,100,0,0,-56,-56
10535,365,0,1.81,1.75,27448,0,0,6,7,100,0,0,-51,-52
10954,361,0,1.6,1.74,27461,1,0,7,7,100,0,0,-52,-53
11347,390,0,1.63,1.72,27475,1,-1,7,7,100,0,0,-54,-54
11736,367,0,1.71,1.69,27488,1,0,7,7,100,0,0,-55,-55
12153,361,0,1.67,1.65,27501,0,-1,7,7,100,0,0,-50,-51
12547,388,0,1.71,1.68,27515,0,0,7,7,100,0,0,-50,-51
12937,367,0,1.71,1.7,27528,0,0,7,7,100,0,0,-52,-53
13327,361,0,1.67,1.69,27541,1,0,7,7,100,0,0,-50,-51
13715,361,0,1.71,1.7,27554,1,0,6,7,100,0,0,-49,-49
14108,361,0,1.67,1.69,27567,0,-1,7,7,100,0,0,-58,-57
14496,365,0,1.6,1.66,27580,1,0,7,7,100,0,0,-48,-49
14887,361,0,1.71,1.67,27593,0,-1,7,7,100,0,0,-55,-55
15277,363,0,1.67,1.66,27606,1,-1,7,7,100,0,0,-56,-56
15666,363,0,1.63,1.65,27619,1,0,7,7,100,0,0,-49,-50
16055,361,0,1.63,1.66,27632,1,-1,6,7,100,0,0,-49,-50
16446,361,0,1.6,1.63,27645,1,0,7,7,100,0,0,-51,-51
16836,363,0,1.67,1.63,27658,1,0,7,7,100,0,0,-55,-55
17225,361,0,1.71,1.65,27671,1,0,6,7,100,0,0,-57,-57
17615,359,0,1.63,1.65,27684,0,0,6,7,100,0,0,-57,-57
18007,363,0,1.74,1.69,27697,1,0,7,6,100,0,0,-48,-49
18398,363,0,1.74,1.71,27710,0,-1,7,7,100,0,0,-51,-52
18787,363,0,1.71,1.71,27723,1,0,7,7,100,0,0,-52,-53
19177,359,0,1.71,1.72,27736,1,0,6,7,100,0,0,-52,-52
19568,361,0,1.74,1.72,27749,1,-1,7,7,100,0,0,-53,-54
19954,361,0,1.71,1.71,27762,0,0,6,7,100,0,0,-57,-57
20347,359,0,1.71,1.71,27775,1,0,6,7,100,0,0,-49,-49
