time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
380,361,0,2.73,2.72,14860,0,0,8,9,100,0,0,-39,-38
769,365,0,2.69,2.71,14873,0,-1,8,9,100,0,0,-39,-39
1159,361,0,2.69,2.71,14886,0,0,8,9,100,0,0,-37,-37
1546,363,0,2.66,2.69,14899,0,0,8,9,100,0,0,-39,-39
1940,359,0,2.69,2.68,14912,1,0,8,9,100,0,0,-38,-38
2327,367,0,2.66,2.67,14925,0,0,8,9,100,0,0,-39,-39
2718,357,0,2.66,2.67,14938,1,-1,8,9,100,0,0,-37,-37
3107,363,0,2.69,2.67,14951,1,0,8,9,100,0,0,-38,-37
3497,361,0,2.66,2.67,14964,0,0,8,9,100,0,0,-40,-40
3889,363,0,2.69,2.67,14977,1,0,8,9,100,0,0,-38,-38
4277,363,0,2.69,2.68,14990,0,0,8,9,100,0,0,-39,-39
4668,361,0,2.66,2.67,15003,1,0,8,9,100,0,0,-38,-38
5057,363,0,2.66,2.67,15016,1,0,8,9,100,0,0,-39,-39
5449,361,0,2.62,2.66,15029,1,0,8,9,100,0,0,-40,-40
5839,363,0,2.69,2.66,15042,0,0,8,8,100,0,0,-38,-38
6229,363,0,2.69,2.67,15055,0,0,8,9,100,0,0,-38,-38
6620,361,0,2.66,2.67,15068,0,0,8,9,100,0,0,-40,-40
7039,363,0,2.69,2.68,15081,1,0,8,9,100,0,0,-39,-39
7427,390,0,2.69,2.68,15095,0,0,8,9,100,0,0,-38,-38
7817,361,0,2.66,2.67,15108,1,0,8,9,100,0,0,-38,-38
8209,361,0,2.69,2.68,15121,1,0,8,9,100,0,0,-39,-39
8599,363,0,2.69,2.68,15134,1,0,8,9,100,0,0,-38,-37
8987,361,0,2.73,2.69,15147,0,0,8,9,100,0,0,-38,-38
9378,361,0,2.66,2.69,15160,0,-1,8,9,100,0,0,-39,-39
9800,363,0,2.66,2.68,15173,0,0,8,9,100,0,0,-40,-40
10187,392,0,2.62,2.67,15187,1,0,8,9,100,0,0,-37,-37
10604,359,0,2.66,2.65,15200,0,-1,8,9,100,0,0,-39,-39
10999,390,0,2.69,2.66,15214,0,-1,8,9,100,0,0,-40,-40
11387,367,0,2.69,2.67,15227,1,0,8,9,100,0,0,-39,-39
11777,361,0,2.66,2.67,15240,0,1,8,9,100,0,0,-38,-38
12168,361,0,2.69,2.68,15253,0,0,8,9,100,0,0,-38,-37
12586,363,0,2.69,2.68,15266,0,0,8,9,100,0,0,-40,-40
12981,388,0,2.69,2.68,15280,0,0,8,9,100,0,0,-38,-38
13369,367,0,2.69,2.69,15293,0,0,8,9,100,0,0,-39,-39
13758,361,0,2.73,2.7,15306,1,1,8,9,100,0,0,-39,-38
14150,359,0,2.69,2.7,15319,0,-1,8,9,100,0,0,-38,-38
14540,363,0,2.69,2.7,15332,1,0,8,9,100,0,0,-38,-38
14926,361,0,2.73,2.71,15345,1,1,8,9,100,0,0,-40,-40
15318,359,0,2.66,2.69,15358,0,0,8,9,100,0,0,-38,-37
15707,363,0,2.62,2.67,15371,0,0,8,9,100,0,0,-39,-39
16099,361,0,2.66,2.67,15384,1,0,8,9,100,0,0,-39,-39
16490,363,0,2.62,2.64,15397,1,1,8,9,100,0,0,-39,-38
16905,363,0,2.66,2.64,15410,0,0,8,9,100,0,0,-37,-37
17300,388,0,2.66,2.65,15424,0,0,8,9,100,0,0,-39,-39
17687,367,0,2.69,2.66,15437,1,0,8,9,100,0,0,-37,-37
18078,359,0,2.66,2.67,15450,1,0,8,9,100,0,0,-37,-37
18467,363,0,2.73,2.68,15463,0,0,8,9,100,0,0,-39,-39
18859,361,0,2.66,2.68,15476,0,-1,8,9,100,0,0,-39,-39
19250,361,0,2.69,2.68,15489,0,0,8,9,100,0,0,-38,-38
19638,363,0,2.69,2.69,15502,1,0,8,9,100,0,0,-37,-37
