time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
712,380,0,3.13,3.21,60200,-1,1,5,5,100,0,0,-71,-71
1108,394,0,3.02,3.16,60214,0,-1,5,5,100,0,0,-69,-70
1498,369,0,3.21,3.15,60227,1,0,5,6,100,0,0,-59,-59
2301,335,0,3.06,3.11,60253,1,0,5,5,100,0,0,-60,-60
3173,416,0,2.73,3.01,60282,0,0,5,5,100,0,0,-69,-70
5129,333,0,2.99,2.96,60348,0,-1,5,6,100,0,0,-66,-67
6328,392,0,3.02,2.95,60388,-1,0,5,5,100,0,0,-61,-61
8459,355,0,3.1,2.96,60459,0,-1,5,5,100,0,0,-65,-65
8848,386,0,2.95,3.01,60472,0,1,5,6,100,0,0,-70,-70
9237,359,0,3.02,3.02,60485,1,0,5,5,100,0,0,-72,-72
12809,361,0,2.8,2.97,60604,1,-1,5,5,100,0,0,-61,-61
13198,390,0,2.88,2.95,60617,1,0,5,6,100,0,0,-66,-66
13589,361,0,2.88,2.91,60630,1,-1,5,6,100,0,0,-84,-85
13976,363,0,2.99,2.89,60643,0,0,5,6,100,0,0,-89,-90
14369,361,0,3.17,2.98,60656,-1,-1,5,5,100,0,0,-60,-60
15149,361,0,2.91,2.99,60682,-1,0,5,6,100,0,0,-60,-60
15538,361,0,2.73,2.95,60695,1,-1,5,5,100,0,0,-68,-69
18656,365,0,3.1,2.98,60799,0,2,5,6,100,0,0,-60,-60
19050,384,0,3.06,2.95,60812,-1,-1,5,5,100,0,0,-65,-65
19438,365,0,2.91,2.95,60825,1,-1,5,5,100,0,0,-68,-69
19826,359,0,2.73,2.95,60838,1,0,5,5,100,0,0,-67,-67
20218,361,0,2.73,2.86,60851,0,-1,5,5,100,0,0,-68,-68
20634,363,0,2.66,2.76,60864,0,0,5,5,100,0,0,-63,-63
21027,386,0,2.88,2.75,60878,1,-1,5,6,100,0,0,-60,-60
21418,365,0,2.95,2.8,60891,1,-1,5,6,100,0,0,-59,-58
22198,335,0,2.99,2.87,60917,1,-1,5,5,100,0,0,-65,-65
23007,337,0,2.73,2.89,60943,1,0,5,5,100,0,0,-69,-69
23397,416,0,2.84,2.88,60957,0,-1,5,6,100,0,0,-63,-63
24207,384,0,2.8,2.79,60984,0,-1,5,5,100,0,0,-71,-72
24595,369,0,2.8,2.81,60997,1,0,5,5,100,0,0,-65,-66
25012,359,0,2.73,2.78,61010,1,-1,5,5,100,0,0,-63,-64
25409,388,0,2.73,2.77,61024,1,-1,5,6,100,0,0,-66,-67
25796,369,0,2.73,2.75,61037,0,1,5,6,100,0,0,-63,-64
26216,359,0,2.66,2.71,61050,1,-1,5,5,100,0,0,-78,-79
26608,392,0,2.77,2.72,61064,0,-1,5,5,100,0,0,-61,-61
26996,365,0,2.62,2.69,61077,1,0,5,5,100,0,0,-75,-76
27386,359,0,2.73,2.69,61090,1,-1,5,6,100,0,0,-64,-65
27802,363,0,2.77,2.72,61103,1,0,5,5,100,0,0,-69,-70
28557,339,0,2.69,2.7,61129,0,-1,5,5,100,0,0,-67,-67
28945,361,0,2.73,2.73,61142,1,0,5,5,100,0,0,-68,-69
29337,359,0,2.77,2.74,61155,1,0,5,5,100,0,0,-61,-61
29728,363,0,2.55,2.68,61168,0,0,5,6,100,0,0,-68,-68
30119,363,0,2.66,2.67,61181,0,-1,5,6,100,0,0,-63,-63
30506,363,0,2.66,2.66,61194,0,-1,5,5,100,0,0,-64,-65
33569,369,0,2.77,2.74,61296,1,-2,5,5,100,0,0,-65,-65
33958,363,0,2.77,2.77,61309,1,-1,5,5,100,0,0,-75,-76
34739,335,0,2.73,2.78,61335,0,-1,5,5,100,0,0,-64,-64
35128,388,0,2.77,2.76,61348,0,0,5,6,100,0,0,-61,-62
35545,363,0,2.66,2.73,61361,0,0,5,5,100,0,0,-64,-65
35937,388,0,2.73,2.72,61375,1,-1,5,5,100,0,0,-60,-60
