time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
674,361,0,3.61,3.47,14972,0,0,5,6,100,0,0,-65,-66
1066,365,0,3.64,3.52,14985,-1,1,5,6,100,0,0,-58,-57
1812,332,0,3.46,3.54,15010,-1,1,5,6,100,0,0,-69,-69
2202,359,0,3.5,3.55,15023,0,0,5,5,100,0,0,-65,-66
2593,363,0,3.57,3.54,15036,0,0,5,6,100,0,0,-60,-60
2983,361,0,3.54,3.52,15049,0,0,5,6,100,0,0,-66,-67
3766,335,0,3.57,3.54,15075,-1,-1,5,6,100,0,0,-57,-56
4153,390,0,3.61,3.57,15088,0,0,5,6,100,0,0,-64,-64
4544,359,0,3.5,3.55,15101,0,0,5,6,100,0,0,-59,-59
4936,361,0,3.61,3.57,15114,-1,0,5,5,100,0,0,-59,-59
5322,363,0,3.57,3.57,15127,0,0,5,5,100,0,0,-67,-68
5714,359,0,3.64,3.58,15140,-1,0,5,6,100,0,0,-65,-66
6103,363,0,3.5,3.58,15153,1,0,5,6,100,0,0,-62,-63
6494,361,0,3.57,3.57,15166,0,0,5,6,100,0,0,-64,-65
6882,363,0,3.61,3.58,15179,0,0,5,6,100,0,0,-70,-71
7277,361,0,3.54,3.55,15192,-1,-1,5,6,100,0,0,-64,-65
7693,365,0,3.57,3.57,15206,0,0,5,6,100,0,0,-66,-66
8473,335,0,3.54,3.56,15232,1,0,5,6,100,0,0,-68,-68
8864,388,0,3.54,3.54,15245,1,0,5,6,100,0,0,-60,-61
9253,363,0,3.43,3.52,15258,1,-1,5,6,100,0,0,-64,-65
9644,361,0,3.5,3.5,15271,1,0,5,6,100,0,0,-64,-65
10032,363,0,3.54,3.5,15284,1,0,5,6,100,0,0,-69,-69
10425,361,0,3.57,3.51,15297,0,0,5,6,100,0,0,-66,-66
10814,363,0,3.57,3.54,15310,1,1,5,6,100,0,0,-64,-65
11204,359,0,3.54,3.55,15323,0,0,5,5,100,0,0,-68,-68
11593,361,0,3.54,3.55,15336,0,0,5,6,100,0,0,-66,-66
12373,337,0,3.5,3.54,15362,0,1,5,6,100,0,0,-66,-66
12763,386,0,3.57,3.54,15375,0,0,5,6,100,0,0,-65,-66
13152,361,0,3.61,3.55,15388,0,1,5,6,100,0,0,-64,-65
13544,361,0,3.54,3.55,15401,0,0,5,6,100,0,0,-60,-60
13932,363,0,3.46,3.54,15414,1,0,5,6,100,0,0,-66,-66
14321,361,0,3.5,3.53,15427,0,1,5,6,100,0,0,-67,-67
14743,361,0,3.57,3.52,15440,-1,0,5,5,100,0,0,-69,-69
15134,392,0,3.54,3.52,15454,0,0,5,6,100,0,0,-62,-63
15523,363,0,3.57,3.54,15467,0,0,5,6,100,0,0,-59,-59
15914,359,0,3.5,3.54,15480,0,0,5,6,100,0,0,-64,-64
16302,363,0,3.54,3.54,15493,0,0,5,6,100,0,0,-66,-67
16693,361,0,3.54,3.54,15506,-1,0,5,6,100,0,0,-69,-65
17087,361,0,3.54,3.53,15519,-1,-1,5,5,100,0,0,-59,-59
17863,361,0,3.46,3.52,15545,1,0,5,6,100,0,0,-64,-65
18252,359,0,3.46,3.5,15558,0,0,5,6,100,0,0,-59,-59
18644,361,0,3.5,3.49,15571,0,0,5,6,100,0,0,-59,-59
19035,365,0,3.54,3.49,15584,-1,-1,5,5,100,0,0,-65,-66
19421,363,0,3.57,3.52,15597,0,0,5,6,100,0,0,-59,-59
19839,359,0,3.5,3.53,15610,0,0,5,6,100,0,0,-65,-66
20232,388,0,3.5,3.53,15624,0,0,5,6,100,0,0,-64,-64
20620,365,0,3.57,3.54,15637,0,0,5,6,100,0,0,-65,-66
21013,361,0,3.46,3.51,15650,-1,0,5,6,100,0,0,-62,-62
21401,363,0,3.5,3.51,15663,1,0,5,6,100,0,0,-67,-67
21796,361,0,3.46,3.5,15676,1,-1,5,5,100,0,0,-59,-59
