time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
603,330,0,0.0,0.0,41082,-1,0,5,5,100,0,0,-58,-59
1385,367,0,0.0,0.0,41109,0,0,5,5,100,0,0,-53,-55
1808,361,0,0.0,0.0,41122,-1,0,5,5,100,0,0,-59,-60
2228,394,0,0.0,0.0,41136,0,-1,5,5,100,0,0,-59,-60
2644,392,0,0.0,0.0,41150,1,0,5,5,100,0,0,-58,-59
3034,386,0,0.0,0.0,41164,0,0,5,5,100,0,0,-58,-59
3457,363,0,0.0,0.0,41177,0,0,5,5,100,0,0,-56,-57
3845,394,0,0.0,0.0,41191,0,1,5,5,100,0,0,-56,-57
4297,361,0,0.0,0.0,41204,0,-1,5,5,100,0,0,-60,-60
4685,425,0,0.0,0.0,41219,0,0,5,5,100,0,0,-63,-63
5101,359,0,0.0,0.0,41232,1,1,5,5,100,0,0,-61,-61
5526,386,0,0.0,0.0,41246,1,0,5,5,100,0,0,-58,-59
5945,398,0,0.0,0.0,41260,0,0,5,5,100,0,0,-60,-61
6337,390,0,0.0,0.0,41274,1,1,5,5,100,0,0,-66,-67
6755,365,0,0.0,0.0,41287,0,0,5,5,100,0,0,-71,-71
7176,392,0,0.0,0.0,41301,-1,1,5,5,100,0,0,-53,-55
7592,390,0,0.0,0.0,41315,0,1,5,5,100,0,0,-65,-66
8370,339,0,0.0,0.0,41341,0,0,5,5,100,0,0,-61,-62
8767,384,0,0.0,0.0,41355,0,1,5,5,100,0,0,-68,-68
9185,367,0,0.0,0.0,41368,0,1,5,5,100,0,0,-56,-57
9604,390,0,0.0,0.0,41382,0,0,5,5,100,0,0,-61,-61
9996,392,0,0.0,0.0,41396,0,2,5,5,100,0,0,-60,-60
10414,365,0,0.0,0.0,41409,0,0,5,5,100,0,0,-65,-66
10833,388,0,0.0,0.0,41423,1,0,5,5,100,0,0,-56,-57
11253,392,0,0.0,0.0,41437,1,0,5,5,100,0,0,-56,-57
12037,369,0,0.0,0.0,41464,0,1,5,5,100,0,0,-59,-59
12455,359,0,0.0,0.0,41477,0,0,5,5,100,0,0,-65,-66
12847,388,0,0.0,0.0,41491,0,0,5,5,100,0,0,-56,-57
13268,363,0,0.0,0.0,41504,-1,1,4,5,100,0,0,-59,-59
13684,392,0,0.0,0.0,41518,0,0,5,5,100,0,0,-56,-57
14103,388,0,0.0,0.0,41532,-1,0,5,5,100,0,0,-62,-63
14528,390,0,0.0,0.0,41546,-1,1,5,5,100,0,0,-64,-65
14947,398,0,0.0,0.0,41560,-1,0,4,5,100,0,0,-53,-55
15335,392,0,0.0,0.0,41574,-1,0,5,5,100,0,0,-68,-69
15725,359,0,0.0,0.0,41587,0,1,4,5,100,0,0,-56,-56
16116,363,0,0.0,0.0,41600,-1,0,4,5,100,0,0,-56,-57
16506,363,0,0.0,0.0,41613,-1,1,5,5,100,0,0,-70,-70
16953,363,0,0.0,0.0,41626,0,0,5,5,100,0,0,-67,-68
17347,419,0,0.0,0.0,41641,0,1,5,5,100,0,0,-64,-65
18486,365,0,0.0,0.0,41679,0,0,5,5,100,0,0,-62,-63
18876,359,0,0.0,0.0,41692,-1,1,5,5,100,0,0,-61,-61
19267,361,0,0.0,0.0,41705,0,0,5,5,100,0,0,-57,-58
19657,363,0,0.0,0.0,41718,0,1,5,5,100,0,0,-62,-62
20075,361,0,0.0,0.0,41731,-1,0,5,5,100,0,0,-53,-55
20825,333,0,0.0,0.0,41757,0,0,5,5,100,0,0,-58,-59
21216,359,0,0.0,0.0,41770,0,1,5,5,100,0,0,-60,-61
21603,361,0,0.0,0.0,41783,0,0,5,5,100,0,0,-69,-70
21995,359,0,0.0,0.0,41796,0,1,5,5,100,0,0,-58,-59
22415,363,0,0.0,0.0,41809,-1,1,5,5,100,0,0,-70,-70
22837,392,0,0.0,0.0,41823,0,0,5,4,100,0,0,-64,-65
