time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
628,335,0,0.0,0.0,19869,0,1,7,7,100,0,0,-47,-48
1015,359,0,0.0,0.0,19882,1,0,7,7,100,0,0,-50,-51
1408,359,0,0.0,0.0,19895,0,0,7,7,100,0,0,-48,-49
1796,365,0,0.0,0.0,19908,0,1,7,7,100,0,0,-50,-51
2189,359,0,0.0,0.0,19921,0,1,7,7,100,0,0,-48,-49
2578,363,0,0.0,0.0,19934,0,1,7,7,100,0,0,-50,-52
2968,361,0,0.0,0.0,19947,0,1,7,7,100,0,0,-49,-51
3387,363,0,0.0,0.0,19960,-1,1,7,7,100,0,0,-49,-50
3777,390,0,0.0,0.0,19974,0,0,7,7,100,0,0,-50,-52
4165,363,0,0.0,0.0,19987,0,0,7,7,100,0,0,-49,-50
4586,361,0,0.0,0.0,20000,-1,1,7,7,100,0,0,-48,-49
4978,392,0,0.0,0.0,20014,0,0,7,7,100,0,0,-49,-51
5370,363,0,0.0,0.0,20027,-1,0,7,7,100,0,0,-50,-52
5759,363,0,0.0,0.0,20040,-1,0,7,7,100,0,0,-49,-51
6173,361,0,0.0,0.0,20053,0,1,7,7,100,0,0,-48,-49
6565,386,0,0.0,0.0,20067,0,0,6,7,100,0,0,-49,-51
6960,363,0,0.0,0.0,20080,-1,0,7,7,100,0,0,-49,-50
7373,367,0,0.0,0.0,20093,0,1,7,7,100,0,0,-49,-51
7768,384,0,0.0,0.0,20107,0,0,7,7,100,0,0,-48,-49
8184,367,0,0.0,0.0,20120,-1,0,7,7,100,0,0,-51,-53
8938,337,0,0.0,0.0,20146,0,0,7,7,100,0,0,-48,-50
9355,361,0,0.0,0.0,20159,0,0,7,7,100,0,0,-49,-50
9748,388,0,0.0,0.0,20173,0,1,7,7,100,0,0,-48,-49
10138,365,0,0.0,0.0,20186,0,0,7,7,100,0,0,-51,-52
10530,361,0,0.0,0.0,20199,-1,-1,7,7,100,0,0,-48,-50
10918,365,0,0.0,0.0,20212,0,0,7,7,100,0,0,-50,-52
11306,359,0,0.0,0.0,20225,0,1,7,7,100,0,0,-48,-48
11697,363,0,0.0,0.0,20238,-1,0,7,7,100,0,0,-49,-51
12533,386,0,0.0,0.0,20265,1,0,7,7,100,0,0,-51,-53
12928,392,0,0.0,0.0,20279,1,0,7,7,100,0,0,-50,-51
13317,369,0,0.0,0.0,20292,0,0,7,7,100,0,0,-48,-49
13732,361,0,0.0,0.0,20305,0,0,7,7,100,0,0,-48,-49
14129,386,0,0.0,0.0,20319,1,0,7,7,100,0,0,-51,-53
14520,369,0,0.0,0.0,20332,0,-1,7,7,100,0,0,-48,-50
14906,363,0,0.0,0.0,20345,0,-1,7,7,100,0,0,-48,-50
15325,359,0,0.0,0.0,20358,0,0,7,7,100,0,0,-51,-53
15718,390,0,0.0,0.0,20372,0,0,6,7,100,0,0,-49,-50
16132,365,0,0.0,0.0,20385,0,0,7,7,100,0,0,-51,-53
16528,386,0,0.0,0.0,20399,1,0,7,7,100,0,0,-50,-52
16948,369,0,0.0,0.0,20412,0,0,6,7,100,0,0,-49,-50
17336,392,0,0.0,0.0,20426,1,0,6,7,100,0,0,-49,-50
18118,367,0,0.0,0.0,20452,1,-1,6,7,100,0,0,-49,-50
18507,359,0,0.0,0.0,20465,1,-1,6,7,100,0,0,-50,-52
18923,361,0,0.0,0.0,20478,0,0,7,7,100,0,0,-48,-49
19346,388,0,0.0,0.0,20492,1,-1,6,7,100,0,0,-49,-50
19738,396,0,0.0,0.0,20506,-1,-1,6,7,100,0,0,-49,-49
20156,363,0,0.0,0.0,20519,1,0,6,7,100,0,0,-51,-53
20573,388,0,0.0,0.0,20533,1,0,7,7,100,0,0,-48,-49
20967,390,0,0.0,0.0,20547,1,0,7,7,100,0,0,-48,-49
21387,365,0,0.0,0.0,20560,1,1,7,7,100,0,0,-49,-51
