time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
594,394,0,2.08,1.81,61624,0,0,4,5,100,0,0,-65,-65
1015,363,0,1.94,1.87,61637,0,0,4,4,100,0,0,-66,-66
1854,367,0,1.76,1.89,61665,1,1,3,4,100,0,0,-59,-60
3473,386,0,1.72,1.87,61719,-1,0,4,5,100,0,0,-61,-63
3895,390,0,1.79,1.8,61733,-1,1,4,4,100,0,0,-65,-66
4764,412,0,1.87,1.81,61762,0,0,4,4,100,0,0,-62,-63
5181,398,0,1.87,1.85,61776,0,1,4,4,100,0,0,-58,-59
5603,388,0,1.87,1.87,61790,0,0,3,4,100,0,0,-60,-61
6443,390,0,1.97,1.89,61818,0,0,4,4,100,0,0,-59,-61
6864,394,0,1.87,1.89,61832,0,0,4,4,100,0,0,-64,-64
7675,365,0,1.9,1.9,61859,0,0,4,4,100,0,0,-60,-62
8062,388,0,1.79,1.88,61873,0,0,4,5,100,0,0,-64,-64
8480,357,0,1.76,1.83,61886,0,0,4,5,100,0,0,-58,-59
8905,390,0,1.94,1.85,61900,0,0,4,4,100,0,0,-61,-63
9322,394,0,1.97,1.87,61914,0,1,4,5,100,0,0,-60,-61
10135,367,0,1.79,1.87,61941,0,0,4,4,100,0,0,-59,-59
10556,388,0,2.27,1.99,61955,0,0,3,4,100,0,0,-68,-68
10976,394,0,1.87,1.97,61969,0,-1,4,4,100,0,0,-60,-61
11395,392,0,2.16,2.02,61983,0,0,3,4,100,0,0,-61,-61
12203,367,0,2.08,2.09,62011,0,0,4,4,100,0,0,-65,-65
12626,386,0,2.12,2.06,62024,0,0,4,4,100,0,0,-67,-67
13434,363,0,2.12,2.12,62051,0,0,3,4,100,0,0,-60,-60
13855,388,0,2.16,2.12,62065,0,0,3,4,100,0,0,-61,-63
14274,392,0,2.16,2.14,62079,0,0,3,4,100,0,0,-60,-61
15116,365,0,2.12,2.14,62107,0,0,4,4,100,0,0,-61,-62
15535,419,0,2.16,2.15,62121,0,0,3,4,100,0,0,-60,-61
15955,390,0,2.16,2.15,62135,1,1,4,4,100,0,0,-62,-64
16375,392,0,2.12,2.14,62149,0,0,4,4,100,0,0,-64,-65
17573,390,0,2.08,2.13,62190,1,0,3,4,100,0,0,-62,-63
17993,357,0,2.08,2.11,62203,0,0,4,4,100,0,0,-68,-69
18803,367,0,2.05,2.08,62231,0,1,4,4,100,0,0,-63,-64
19224,386,0,2.05,2.07,62244,0,0,3,4,100,0,0,-57,-58
19644,394,0,2.08,2.07,62258,0,0,4,3,100,0,0,-57,-58
20033,392,0,2.01,2.05,62272,1,0,4,4,100,0,0,-66,-67
20456,361,0,2.05,2.05,62285,-1,0,4,4,100,0,0,-58,-58
21234,363,0,2.19,2.08,62312,0,0,4,4,100,0,0,-66,-66
21655,359,0,2.16,2.1,62325,-1,0,4,4,100,0,0,-63,-64
22074,394,0,2.12,2.13,62339,0,0,4,4,100,0,0,-59,-59
22494,390,0,2.05,2.13,62353,0,0,3,4,100,0,0,-60,-61
22884,392,0,2.05,2.09,62367,0,0,3,4,100,0,0,-63,-64
23304,361,0,2.12,2.08,62380,1,0,4,4,100,0,0,-62,-64
23725,392,0,2.08,2.08,62394,1,0,4,4,100,0,0,-59,-59
24144,392,0,2.12,2.09,62408,0,1,4,4,100,0,0,-57,-58
24564,392,0,2.05,2.09,62422,0,1,4,4,100,0,0,-60,-61
24951,390,0,2.05,2.08,62436,0,0,3,4,100,0,0,-59,-60
25763,365,0,2.16,2.09,62462,0,0,4,4,100,0,0,-62,-64
26186,388,0,2.16,2.1,62476,0,-1,4,4,100,0,0,-57,-57
26606,394,0,2.12,2.12,62490,0,-1,4,4,100,0,0,-62,-64
27022,390,0,2.08,2.13,62504,1,1,4,4,100,0,0,-58,-58
27835,367,0,2.16,2.13,62531,0,0,4,4,100,0,0,-63,-64
