time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
399,363,0,1.02,1.12,10144,1,0,5,6,100,0,0,-57,-58
790,363,0,1.32,1.17,10157,0,1,6,6,100,0,0,-59,-60
2168,384,0,1.1,1.15,10203,0,0,5,6,100,0,0,-56,-56
2559,359,0,1.21,1.2,10216,0,0,6,6,100,0,0,-57,-58
2949,365,0,1.21,1.17,10229,0,0,6,6,100,0,0,-58,-59
3338,361,0,1.28,1.2,10242,1,0,5,6,100,0,0,-57,-57
3731,361,0,1.17,1.22,10255,0,0,6,6,100,0,0,-54,-55
4120,365,0,1.28,1.23,10268,1,0,6,6,100,0,0,-64,-66
4511,361,0,1.17,1.22,10281,0,0,5,6,100,0,0,-56,-55
4900,363,0,1.24,1.22,10294,0,1,6,6,100,0,0,-58,-59
5292,361,0,1.21,1.22,10307,-1,0,6,6,100,0,0,-59,-60
5680,363,0,1.32,1.23,10320,1,1,6,6,100,0,0,-56,-57
6069,361,0,1.28,1.26,10333,0,0,5,6,100,0,0,-57,-58
6461,361,0,1.24,1.26,10346,-1,0,5,6,100,0,0,-65,-66
6849,365,0,1.28,1.28,10359,0,1,6,6,100,0,0,-65,-66
7241,361,0,1.35,1.29,10372,0,0,6,6,100,0,0,-57,-57
7628,363,0,1.35,1.31,10385,0,1,5,6,100,0,0,-56,-56
8020,359,0,1.39,1.34,10398,0,0,6,6,100,0,0,-59,-60
8797,339,0,1.35,1.36,10424,0,0,5,6,100,0,0,-57,-58
9191,382,0,1.35,1.36,10437,0,1,6,6,100,0,0,-55,-55
9582,363,0,1.24,1.33,10450,0,-1,6,6,100,0,0,-53,-54
9972,363,0,1.32,1.32,10463,1,0,6,6,100,0,0,-57,-57
10359,361,0,1.39,1.33,10476,0,1,5,6,100,0,0,-64,-65
10751,359,0,1.39,1.33,10489,0,0,6,6,100,0,0,-57,-58
11139,363,0,1.28,1.34,10502,0,0,5,6,100,0,0,-57,-58
11529,361,0,1.24,1.33,10515,0,0,5,6,100,0,0,-55,-55
11920,363,0,1.39,1.33,10528,0,0,6,6,100,0,0,-65,-66
12308,363,0,1.35,1.32,10541,0,0,5,6,100,0,0,-60,-61
12699,359,0,1.35,1.33,10554,0,0,5,6,100,0,0,-60,-62
13091,361,0,1.24,1.33,10567,0,1,6,6,100,0,0,-67,-68
13481,365,0,1.35,1.33,10580,-1,-1,5,6,100,0,0,-57,-57
13896,361,0,1.32,1.32,10593,0,0,5,6,100,0,0,-67,-68
14291,386,0,1.32,1.31,10607,0,0,5,6,100,0,0,-59,-60
14680,369,0,1.35,1.33,10620,0,0,6,6,100,0,0,-57,-57
15070,361,0,1.28,1.32,10633,0,0,5,6,100,0,0,-57,-57
15458,361,0,1.32,1.32,10646,0,0,5,6,100,0,0,-61,-63
15850,361,0,1.28,1.31,10659,1,0,5,6,100,0,0,-63,-64
16241,361,0,1.32,1.3,10672,1,1,6,6,100,0,0,-64,-65
16633,363,0,1.35,1.32,10685,-1,0,6,6,100,0,0,-57,-58
17021,363,0,1.28,1.31,10698,0,0,6,6,100,0,0,-57,-58
17440,361,0,1.24,1.3,10711,-1,1,5,6,100,0,0,-57,-57
17830,392,0,1.24,1.28,10725,1,0,5,6,100,0,0,-54,-54
18581,333,0,1.32,1.27,10750,0,2,5,6,100,0,0,-57,-58
18971,361,0,1.21,1.25,10763,0,0,6,6,100,0,0,-63,-64
19358,363,0,1.32,1.27,10776,0,1,5,6,100,0,0,-62,-64
19751,359,0,1.32,1.29,10789,0,0,6,6,100,0,0,-55,-55
20140,365,0,1.32,1.29,10802,0,0,6,6,100,0,0,-57,-58
20531,361,0,1.32,1.32,10815,-1,1,5,6,100,0,0,-53,-54
21309,359,0,1.28,1.31,10841,0,1,5,6,100,0,0,-57,-58
21700,363,0,1.32,1.31,10854,0,1,6,6,100,0,0,-64,-66
