time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
376,380,0,3.86,3.29,1573,1,-1,5,6,100,0,0,-53,-54
766,371,0,1.38,2.66,1586,1,0,6,6,100,0,0,-72,-72
2147,380,0,1.38,2.58,1632,1,0,6,6,100,0,0,-57,-57
2537,363,0,3.75,2.56,1645,1,1,6,6,100,0,0,-58,-58
2925,361,0,3.79,3.16,1658,1,0,6,6,100,0,0,-56,-57
3677,333,0,1.71,2.66,1683,1,-1,6,6,100,0,0,-57,-56
4427,335,0,1.63,2.72,1708,1,0,5,6,100,0,0,-53,-55
4840,357,0,1.67,2.2,1721,1,0,5,5,100,0,0,-69,-70
5236,386,0,1.63,1.66,1735,0,-1,5,6,100,0,0,-57,-57
5626,367,0,1.67,1.65,1748,0,0,5,5,100,0,0,-67,-67
6015,363,0,1.63,1.65,1761,1,-1,5,6,100,0,0,-67,-68
6435,361,0,1.63,1.64,1774,1,0,5,5,100,0,0,-55,-56
6827,390,0,1.6,1.63,1788,1,0,5,6,100,0,0,-70,-70
7248,365,0,1.67,1.63,1801,0,-1,5,5,100,0,0,-76,-77
7637,392,0,1.63,1.63,1815,0,-1,5,6,100,0,0,-63,-63
8445,373,0,1.63,1.63,1842,0,0,5,6,100,0,0,-57,-57
8865,378,0,1.63,1.64,1855,1,-1,5,5,100,0,0,-69,-70
9286,392,0,1.67,1.64,1869,0,-1,5,5,100,0,0,-54,-55
9677,390,0,1.63,1.64,1883,1,0,5,6,100,0,0,-66,-66
10068,363,0,1.63,1.64,1896,1,-1,5,6,100,0,0,-60,-60
10484,363,0,1.6,1.63,1909,1,0,5,5,100,0,0,-74,-74
10876,388,0,1.56,1.6,1923,1,-1,5,6,100,0,0,-52,-54
11295,363,0,3.9,2.17,1936,1,-1,5,6,100,0,0,-59,-59
11685,390,0,1.71,2.19,1950,1,0,5,6,100,0,0,-56,-57
12078,363,0,1.6,2.19,1963,1,-1,5,6,100,0,0,-57,-57
12468,363,0,1.6,2.2,1976,1,-1,5,6,100,0,0,-52,-54
12857,363,0,1.6,1.62,1989,1,0,5,6,100,0,0,-52,-54
13247,361,0,1.52,1.58,2002,1,0,5,6,100,0,0,-74,-74
13664,361,0,1.56,1.57,2015,0,-1,6,5,100,0,0,-67,-68
14058,390,0,1.6,1.57,2029,1,-1,5,6,100,0,0,-68,-68
14448,365,0,1.6,1.57,2042,0,-1,5,6,100,0,0,-52,-54
14866,363,0,1.63,1.6,2055,1,-1,5,5,100,0,0,-63,-63
16068,375,0,1.6,1.6,2096,0,-1,5,6,100,0,0,-52,-54
16487,357,0,1.56,1.6,2109,1,0,5,6,100,0,0,-52,-54
16877,390,0,1.52,1.57,2123,1,0,5,6,100,0,0,-62,-62
17267,361,0,1.56,1.56,2136,0,0,5,6,100,0,0,-60,-60
17657,363,0,1.56,1.55,2149,0,0,5,6,100,0,0,-58,-59
18048,361,0,1.56,1.55,2162,0,-1,5,6,100,0,0,-71,-71
18461,363,0,1.6,1.57,2175,1,0,5,5,100,0,0,-61,-62
18855,384,0,1.52,1.56,2189,1,0,5,6,100,0,0,-67,-67
19247,367,0,1.56,1.56,2202,0,0,5,6,100,0,0,-52,-54
19637,363,0,1.6,1.57,2215,1,0,5,6,100,0,0,-58,-58
20026,361,0,1.56,1.56,2228,0,-1,5,6,100,0,0,-77,-76
20775,335,0,1.49,1.55,2253,1,0,5,6,100,0,0,-75,-75
21165,357,0,1.63,1.57,2266,1,0,5,6,100,0,0,-59,-59
21586,361,0,1.6,1.57,2279,1,-1,5,5,100,0,0,-52,-54
21978,392,0,1.6,1.58,2293,1,-3,5,6,100,0,0,-62,-63
22366,365,0,1.56,1.6,2306,1,-1,5,5,100,0,0,-59,-59
22760,361,0,1.56,1.58,2319,-1,-1,5,6,100,0,0,-52,-54
23147,365,0,1.6,1.58,2332,0,0,5,6,100,0,0,-69,-69
