time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
379,417,0,2.95,2.95,48239,-1,1,4,5,100,0,0,-55,-56
801,365,0,2.95,2.92,48252,0,1,4,5,100,0,0,-52,-53
1221,394,0,3.21,3.0,48266,0,1,4,4,100,0,0,-60,-61
2027,359,0,4.19,3.32,48293,0,1,5,5,100,0,0,-51,-53
2419,392,0,4.23,3.64,48307,0,1,5,5,100,0,0,-60,-60
3229,392,0,3.24,3.72,48334,0,1,4,5,100,0,0,-63,-62
3647,359,0,3.1,3.69,48347,-1,1,5,5,100,0,0,-58,-58
4037,390,0,2.69,3.32,48361,0,1,5,5,100,0,0,-54,-55
4460,361,0,2.62,2.91,48374,-1,0,5,5,100,0,0,-51,-53
4880,394,0,4.05,3.11,48388,0,1,5,5,100,0,0,-53,-55
5302,392,0,4.16,3.38,48402,-1,1,5,5,100,0,0,-52,-54
5718,392,0,3.35,3.54,48416,0,1,4,5,100,0,0,-50,-52
6977,390,0,3.13,3.67,48458,0,1,4,5,100,0,0,-62,-62
7402,416,0,3.61,3.56,48472,-1,0,4,5,100,0,0,-53,-55
7817,394,0,3.21,3.32,48486,0,0,4,5,100,0,0,-63,-63
8238,388,0,3.97,3.48,48500,0,1,4,5,100,0,0,-65,-66
8721,390,0,4.01,3.7,48514,0,0,4,4,100,0,0,-62,-62
9109,455,0,4.08,3.82,48530,-1,1,4,5,100,0,0,-50,-52
9945,365,0,3.32,3.85,48557,0,1,5,4,100,0,0,-55,-56
10340,414,0,3.24,3.66,48571,-1,0,4,5,100,0,0,-64,-63
11539,363,0,3.97,3.65,48611,-1,1,4,5,100,0,0,-63,-63
11962,388,0,3.97,3.63,48624,-1,1,4,4,100,0,0,-52,-53
12380,392,0,3.28,3.62,48638,0,1,4,4,100,0,0,-63,-62
12770,392,0,3.24,3.62,48652,-1,1,4,5,100,0,0,-51,-53
13191,361,0,3.5,3.5,48665,0,1,4,4,100,0,0,-62,-62
13608,392,0,3.39,3.35,48679,0,1,4,5,100,0,0,-57,-58
14032,388,0,3.35,3.37,48693,-1,0,4,4,100,0,0,-67,-66
14419,396,0,3.35,3.4,48707,0,1,4,5,100,0,0,-57,-58
14842,359,0,3.24,3.33,48720,-1,0,4,4,100,0,0,-61,-61
15229,394,0,3.39,3.33,48734,0,0,4,5,100,0,0,-58,-59
15621,359,0,3.28,3.32,48747,0,0,4,5,100,0,0,-51,-52
16823,363,0,3.5,3.35,48786,-1,0,4,4,100,0,0,-53,-54
18020,363,0,3.39,3.39,48827,-1,1,4,5,100,0,0,-64,-65
18828,359,0,3.1,3.32,48853,0,1,4,5,100,0,0,-64,-63
19252,388,0,3.75,3.43,48867,-1,0,4,4,100,0,0,-64,-64
19639,396,0,3.35,3.4,48881,0,0,4,5,100,0,0,-58,-59
20029,359,0,4.12,3.58,48894,-1,1,4,5,100,0,0,-67,-67
20448,363,0,3.57,3.7,48907,0,1,4,5,100,0,0,-64,-65
20869,390,0,3.9,3.74,48921,-1,0,5,4,100,0,0,-51,-53
21288,394,0,3.24,3.71,48935,0,1,4,5,100,0,0,-64,-63
21711,390,0,3.54,3.56,48949,-1,0,5,4,100,0,0,-57,-57
22489,332,0,3.75,3.61,48975,-1,1,4,5,100,0,0,-59,-59
22912,388,0,3.9,3.61,48989,-1,1,4,4,100,0,0,-59,-59
23329,396,0,3.57,3.69,49003,-1,0,4,5,100,0,0,-56,-57
23751,388,0,3.83,3.76,49017,0,1,4,4,100,0,0,-56,-57
24172,394,0,4.19,3.87,49031,-1,0,4,4,100,0,0,-63,-63
24558,392,0,3.79,3.85,49045,0,1,4,5,100,0,0,-51,-52
25339,365,0,4.05,3.97,49071,0,1,5,5,100,0,0,-52,-53
25786,359,0,4.05,4.02,49084,-1,0,5,5,100,0,0,-63,-63
26572,335,0,3.24,3.78,49111,-1,0,4,4,100,0,0,-62,-62
