time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
649,361,0,1.38,1.6,18869,0,1,6,6,100,0,0,-51,-52
1398,337,0,1.67,1.64,18894,0,1,6,6,100,0,0,-51,-52
1791,357,0,1.52,1.57,18907,-1,0,6,6,100,0,0,-51,-52
2180,365,0,1.52,1.52,18920,0,1,6,6,100,0,0,-54,-55
2570,361,0,1.52,1.56,18933,0,1,6,6,100,0,0,-52,-53
3408,384,0,1.67,1.52,18960,1,0,6,6,100,0,0,-55,-55
3800,398,0,1.56,1.53,18974,1,-1,6,6,100,0,0,-56,-55
4190,365,0,1.52,1.53,18987,0,0,6,6,100,0,0,-49,-50
4607,361,0,1.52,1.57,19000,0,-1,6,6,100,0,0,-51,-52
4999,390,0,1.45,1.51,19014,1,-1,6,6,100,0,0,-53,-54
5389,361,0,1.45,1.49,19027,1,0,6,6,100,0,0,-56,-56
5804,361,0,1.52,1.49,19040,0,-1,6,6,100,0,0,-51,-51
6200,386,0,1.56,1.49,19054,0,0,6,6,100,0,0,-53,-53
6619,367,0,1.52,1.51,19067,1,-1,6,6,100,0,0,-51,-52
7034,390,0,1.52,1.53,19081,1,0,6,6,100,0,0,-60,-60
7457,386,0,1.56,1.54,19095,0,0,6,6,100,0,0,-55,-55
8208,335,0,1.56,1.54,19121,1,0,6,6,100,0,0,-50,-51
8628,361,0,1.67,1.58,19134,0,0,6,6,100,0,0,-62,-62
9019,392,0,1.6,1.6,19148,0,-1,6,6,100,0,0,-56,-55
9435,363,0,1.6,1.6,19161,0,0,6,6,100,0,0,-50,-51
9829,388,0,1.56,1.6,19175,1,0,6,6,100,0,0,-51,-51
10218,365,0,1.6,1.59,19188,0,0,6,6,100,0,0,-52,-53
10610,359,0,1.56,1.58,19201,1,0,6,6,100,0,0,-51,-52
10998,363,0,1.56,1.57,19214,1,0,6,6,100,0,0,-52,-53
11415,359,0,1.56,1.57,19227,1,-1,6,6,100,0,0,-64,-64
11841,390,0,1.6,1.57,19241,1,0,5,6,100,0,0,-67,-67
12678,414,0,1.74,1.64,19270,0,0,5,6,100,0,0,-50,-51
13459,361,0,1.49,1.62,19296,1,0,6,6,100,0,0,-51,-52
13847,365,0,1.56,1.61,19309,0,0,5,6,100,0,0,-52,-53
14238,359,0,1.63,1.6,19322,0,0,6,6,100,0,0,-54,-55
14657,363,0,1.6,1.57,19335,1,1,5,6,100,0,0,-54,-55
15048,390,0,1.71,1.62,19349,0,0,6,6,100,0,0,-52,-52
15829,367,0,1.63,1.64,19375,0,0,5,6,100,0,0,-53,-54
16219,357,0,1.63,1.64,19388,1,0,5,6,100,0,0,-63,-63
16612,361,0,1.67,1.66,19401,0,-1,5,6,100,0,0,-53,-54
17358,332,0,1.71,1.66,19426,0,1,5,6,100,0,0,-51,-51
17748,355,0,1.52,1.63,19439,0,0,6,6,100,0,0,-51,-52
18166,361,0,1.67,1.64,19452,-1,0,6,6,100,0,0,-53,-54
18559,390,0,1.67,1.64,19466,0,-1,5,6,100,0,0,-57,-57
18977,365,0,1.74,1.65,19479,1,0,6,6,100,0,0,-57,-57
19370,392,0,1.63,1.68,19493,0,0,6,6,100,0,0,-51,-51
19759,363,0,1.56,1.65,19506,1,0,6,6,100,0,0,-52,-53
20149,361,0,1.52,1.61,19519,0,-1,6,6,100,0,0,-53,-54
20536,361,0,1.52,1.56,19532,0,0,6,6,100,0,0,-64,-64
20953,359,0,1.52,1.53,19545,0,0,6,6,100,0,0,-51,-52
21374,388,0,1.52,1.52,19559,0,0,6,6,100,0,0,-51,-52
21768,390,0,1.49,1.51,19573,1,0,6,6,100,0,0,-51,-52
22184,367,0,1.56,1.52,19586,0,0,6,6,100,0,0,-52,-52
22579,388,0,1.52,1.52,19600,0,0,6,6,100,0,0,-53,-54
23000,365,0,1.56,1.53,19613,1,0,6,6,100,0,0,-51,-51
