time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
401,361,0,2.4,2.46,3340,0,0,8,8,100,0,0,-43,-43
791,363,0,2.4,2.44,3353,0,1,8,8,100,0,0,-42,-41
1178,363,0,2.47,2.43,3366,0,1,8,8,100,0,0,-42,-42
1569,359,0,2.4,2.42,3379,0,1,8,8,100,0,0,-43,-43
1961,363,0,2.47,2.44,3392,-1,1,8,8,100,0,0,-41,-42
2376,363,0,2.44,2.45,3405,-1,0,8,8,100,0,0,-42,-41
2799,388,0,2.47,2.45,3419,-1,1,8,8,100,0,0,-41,-41
3191,394,0,2.44,2.46,3433,-1,0,8,8,100,0,0,-42,-41
3580,365,0,2.4,2.44,3446,0,1,8,8,100,0,0,-42,-41
3994,361,0,2.47,2.45,3459,-1,0,8,8,100,0,0,-42,-42
4392,386,0,2.51,2.46,3473,-1,1,8,8,100,0,0,-41,-41
4778,367,0,2.44,2.46,3486,0,1,8,8,100,0,0,-41,-41
5172,359,0,2.51,2.48,3499,-1,1,8,8,100,0,0,-41,-41
5561,363,0,2.44,2.47,3512,0,1,8,8,100,0,0,-42,-41
5975,361,0,2.47,2.46,3525,0,1,8,8,100,0,0,-41,-41
6372,386,0,2.47,2.47,3539,-1,1,8,8,100,0,0,-41,-41
6762,369,0,2.44,2.46,3552,-1,0,8,8,100,0,0,-41,-41
7151,361,0,2.47,2.46,3565,0,1,8,8,100,0,0,-41,-41
7564,361,0,2.55,2.48,3578,0,1,8,8,100,0,0,-42,-42
7961,384,0,2.51,2.49,3592,-1,1,8,8,100,0,0,-41,-41
8351,369,0,2.47,2.5,3605,0,0,8,8,100,0,0,-41,-41
8740,361,0,2.55,2.52,3618,-1,1,8,8,100,0,0,-41,-41
9131,361,0,2.44,2.49,3631,0,0,8,8,100,0,0,-42,-42
9551,363,0,2.47,2.48,3644,0,0,8,8,100,0,0,-41,-41
9940,392,0,2.44,2.47,3658,0,1,8,8,100,0,0,-41,-41
10331,361,0,2.47,2.46,3671,0,1,8,8,100,0,0,-41,-41
10718,363,0,2.51,2.47,3684,0,0,8,8,100,0,0,-42,-41
11108,359,0,2.44,2.46,3697,0,0,8,8,100,0,0,-42,-41
11500,367,0,2.44,2.46,3710,0,1,8,8,100,0,0,-41,-41
11889,361,0,2.47,2.46,3723,-1,0,8,8,100,0,0,-42,-42
12309,361,0,2.47,2.46,3736,0,1,8,8,100,0,0,-42,-41
12701,390,0,2.44,2.46,3750,-1,1,8,8,100,0,0,-42,-42
13090,365,0,2.47,2.46,3763,0,1,8,8,100,0,0,-41,-41
13482,361,0,2.44,2.46,3776,-1,0,8,8,100,0,0,-41,-40
13869,365,0,2.47,2.46,3789,-1,0,8,8,100,0,0,-42,-42
14259,359,0,2.51,2.47,3802,0,1,8,8,100,0,0,-40,-40
14682,361,0,2.44,2.46,3815,-1,1,8,8,100,0,0,-42,-42
15069,394,0,2.47,2.47,3829,-1,1,8,8,100,0,0,-41,-40
15485,359,0,2.44,2.46,3842,0,0,8,8,100,0,0,-41,-41
15879,388,0,2.47,2.46,3856,0,1,8,8,100,0,0,-42,-42
16298,367,0,2.47,2.46,3869,0,1,8,8,100,0,0,-41,-41
16688,390,0,2.44,2.46,3883,-1,1,8,8,100,0,0,-42,-41
17082,363,0,2.44,2.46,3896,-1,1,8,8,100,0,0,-42,-41
17469,363,0,2.44,2.45,3909,0,1,8,8,100,0,0,-40,-40
17889,359,0,2.4,2.43,3922,0,0,8,8,100,0,0,-42,-41
18281,392,0,2.47,2.44,3936,0,1,8,8,100,0,0,-42,-41
18670,365,0,2.47,2.45,3949,0,1,8,8,100,0,0,-42,-41
19060,361,0,2.47,2.46,3962,0,1,8,8,100,0,0,-41,-41
19481,361,0,2.44,2.46,3975,-1,0,8,8,100,0,0,-42,-41
19870,392,0,2.47,2.46,3989,0,1,8,8,100,0,0,-41,-41
