time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
503,335,0,5.73,5.92,26556,1,0,3,4,100,0,0,-61,-62
925,416,0,5.99,5.97,26570,0,0,4,3,100,0,0,-70,-70
1765,388,0,5.99,6.01,26598,0,0,3,4,100,0,0,-60,-61
2577,363,0,6.02,5.93,26625,0,-1,3,3,100,0,0,-71,-71
4436,365,0,6.17,6.12,26687,1,0,2,3,100,0,0,-64,-65
5307,394,0,6.1,6.14,26716,-1,0,2,3,100,0,0,-67,-68
5727,421,0,6.13,6.17,26730,0,-1,2,2,100,0,0,-78,-77
7826,394,0,6.1,6.12,26800,0,0,3,2,100,0,0,-65,-66
9566,390,0,6.1,6.11,26858,1,0,2,2,100,0,0,-64,-65
9986,417,0,6.21,6.13,26872,0,0,2,3,100,0,0,-66,-66
11785,367,0,5.88,6.11,26932,1,0,3,2,100,0,0,-71,-71
12204,417,0,6.39,6.18,26946,0,0,3,4,100,0,0,-66,-67
12622,390,0,6.57,6.27,26960,0,0,3,4,100,0,0,-66,-67
13071,390,0,5.95,6.2,26974,1,-1,3,4,100,0,0,-76,-76
13946,417,0,5.95,6.07,27004,0,2,3,3,100,0,0,-66,-67
14390,402,0,5.91,5.91,27018,0,0,3,3,100,0,0,-65,-66
18382,388,0,5.91,5.92,27150,1,-2,3,3,100,0,0,-65,-66
18804,445,0,5.88,5.91,27166,1,0,3,3,100,0,0,-88,-87
20157,375,0,5.99,5.9,27211,-1,0,3,3,100,0,0,-64,-65
20577,392,0,5.95,5.91,27225,0,0,3,3,100,0,0,-72,-73
20998,390,0,5.88,5.91,27239,1,-1,3,3,100,0,0,-66,-66
21417,392,0,5.95,5.94,27253,1,-1,3,3,100,0,0,-67,-68
21837,392,0,5.8,5.9,27267,1,-1,2,2,100,0,0,-85,-84
22647,361,0,5.91,5.89,27294,1,1,2,3,100,0,0,-68,-68
23877,390,0,5.84,5.88,27335,1,-1,3,3,100,0,0,-67,-68
24295,390,0,5.88,5.86,27349,0,0,3,3,100,0,0,-66,-66
24718,390,0,5.91,5.89,27363,0,-1,2,3,100,0,0,-65,-66
26367,394,0,6.13,5.94,27418,1,0,2,1,100,0,0,-84,-83
28467,392,0,5.91,5.96,27488,1,0,3,2,100,0,0,-84,-84
28888,417,0,5.8,5.94,27502,0,-1,3,2,100,0,0,-64,-65
29308,392,0,5.91,5.94,27516,0,-1,2,3,100,0,0,-66,-66
30148,365,0,5.8,5.86,27544,1,-1,3,3,100,0,0,-86,-87
31795,365,0,5.88,5.85,27599,0,-1,5,2,100,0,0,-67,-67
32216,417,0,5.88,5.87,27613,1,-1,2,2,100,0,0,-65,-66
33057,363,0,5.8,5.84,27641,0,1,3,3,100,0,0,-84,-84
34316,392,0,5.77,5.83,27683,1,0,2,3,100,0,0,-65,-66
36415,392,0,5.77,5.8,27753,1,-1,3,3,100,0,0,-68,-68
36835,416,0,5.73,5.77,27767,0,-1,3,3,100,0,0,-76,-76
37678,367,0,5.73,5.75,27795,0,-1,3,3,100,0,0,-66,-66
38096,419,0,5.88,5.78,27809,1,0,3,3,100,0,0,-79,-78
38518,390,0,5.88,5.8,27823,0,-1,3,3,100,0,0,-66,-67
38935,392,0,5.88,5.84,27837,-1,0,3,3,100,0,0,-66,-67
39777,388,0,5.88,5.88,27865,1,0,3,3,100,0,0,-66,-67
40196,396,0,5.95,5.9,27879,0,1,3,3,100,0,0,-65,-66
41426,361,0,5.88,5.9,27920,0,-1,3,3,100,0,0,-63,-63
42623,363,0,6.28,6.0,27960,1,0,3,4,100,0,0,-71,-71
44277,369,0,6.32,6.11,28015,0,-1,3,4,100,0,0,-64,-65
44719,392,0,6.5,6.24,28029,1,0,4,4,100,0,0,-65,-66
45145,414,0,6.46,6.39,28044,1,-1,3,4,100,0,0,-64,-65
45979,365,0,6.61,6.47,28071,1,-1,3,4,100,0,0,-72,-72
