time_since_start,time_taken,conn_idx,distance,avg_distance,event,fo_i,fo_r,agc_i,agc_r,dqf,ia_i,ia_r,i_rssi,r_rssi
766,363,0,1.49,1.54,29482,0,-1,5,5,100,0,0,-64,-64
1188,388,0,3.75,2.09,29496,0,-1,5,5,100,0,0,-71,-72
1939,339,0,3.43,2.55,29522,0,0,5,5,100,0,0,-61,-61
2329,355,0,1.71,2.59,29535,1,0,4,5,100,0,0,-64,-64
2721,363,0,1.49,2.59,29548,0,0,5,5,100,0,0,-69,-69
3142,365,0,1.92,2.14,29561,0,0,4,4,100,0,0,-62,-62
3529,392,0,1.96,1.77,29575,0,1,4,5,100,0,0,-67,-67
3923,359,0,1.92,1.82,29588,1,0,5,5,100,0,0,-64,-65
4312,365,0,1.96,1.94,29601,1,0,5,5,100,0,0,-69,-70
4701,361,0,2.18,2.01,29614,0,0,4,5,100,0,0,-65,-65
5146,363,0,1.81,1.97,29627,1,0,5,4,100,0,0,-62,-62
6322,361,0,2.36,2.08,29668,1,1,5,5,100,0,0,-78,-79
7671,373,0,1.96,2.08,29712,1,-1,4,4,100,0,0,-63,-64
9082,382,0,1.92,1.99,29759,0,-1,4,5,100,0,0,-63,-63
9471,394,0,1.89,1.92,29773,1,0,4,5,100,0,0,-78,-79
9862,359,0,2.0,1.92,29786,0,-1,4,5,100,0,0,-65,-65
10252,365,0,2.07,1.97,29799,0,-1,4,5,100,0,0,-65,-65
10673,361,0,2.0,1.99,29812,1,0,4,4,100,0,0,-63,-62
11453,359,0,2.0,2.02,29839,1,0,5,5,100,0,0,-62,-63
11842,363,0,2.11,2.04,29852,0,-1,4,5,100,0,0,-63,-64
12623,365,0,2.11,2.05,29878,1,-1,5,5,100,0,0,-68,-68
13040,357,0,2.0,2.05,29891,0,0,4,4,100,0,0,-67,-67
14213,359,0,1.96,2.04,29931,1,0,5,5,100,0,0,-74,-75
14602,361,0,2.11,2.04,29944,0,0,5,5,100,0,0,-61,-61
15017,363,0,2.07,2.03,29957,1,0,4,5,100,0,0,-68,-68
15414,386,0,1.96,2.03,29971,-1,-1,5,5,100,0,0,-68,-69
19522,375,0,2.07,2.0,30108,0,0,4,5,100,0,0,-63,-64
20303,361,0,2.0,2.01,30134,1,1,4,5,100,0,0,-65,-65
20723,363,0,2.0,1.99,30147,1,0,4,4,100,0,0,-63,-64
21111,390,0,2.07,2.03,30161,0,0,4,5,100,0,0,-62,-63
21951,386,0,1.85,1.98,30188,1,-1,5,5,100,0,0,-61,-62
22342,400,0,1.85,1.94,30202,0,0,5,5,100,0,0,-64,-64
23482,337,0,1.63,1.83,30240,0,0,5,5,100,0,0,-73,-74
23872,359,0,1.74,1.77,30253,1,0,5,5,100,0,0,-63,-63
24287,361,0,1.6,1.71,30266,0,0,5,5,100,0,0,-63,-63
24681,386,0,1.63,1.65,30280,1,0,5,5,100,0,0,-64,-65
25072,367,0,1.49,1.61,30293,0,-1,5,5,100,0,0,-61,-60
25462,363,0,1.63,1.59,30306,0,0,5,5,100,0,0,-63,-65
26212,335,0,1.67,1.6,30331,0,2,5,5,100,0,0,-70,-71
26991,359,0,1.56,1.59,30357,1,0,5,5,100,0,0,-74,-75
27407,365,0,1.56,1.6,30370,0,0,5,5,100,0,0,-76,-77
27803,384,0,1.49,1.57,30384,0,1,5,5,100,0,0,-61,-61
28191,367,0,1.41,1.5,30397,0,1,5,5,100,0,0,-63,-64
28582,359,0,1.45,1.48,30410,1,-1,5,5,100,0,0,-64,-63
29722,361,0,1.52,1.47,30448,0,0,5,5,100,0,0,-66,-67
30112,361,0,1.52,1.48,30461,0,0,5,5,100,0,0,-63,-63
30503,363,0,1.52,1.5,30474,1,0,5,5,100,0,0,-63,-64
30893,361,0,1.52,1.52,30487,0,-1,5,5,100,0,0,-63,-64
31284,361,0,1.52,1.52,30500,0,-1,5,5,100,0,0,-63,-64
31696,361,0,1.52,1.52,30513,0,0,5,5,100,0,0,-64,-65
