local_time, rssi, channel, remote_mac, rpi
1590444576.51, -65, 38, CE:EE:EC:4E:C5:30, 00000040440F8042400280FD8042400280FD19C0FEEDBEEF
1590444576.53, -65, 38, CE:EE:EC:4E:C5:30, 00000040440F8042400280FD8042400280FD19C0FEEDBEEF
1590444576.60, -67, 39, CE:EE:EC:4E:C5:30, 00000040450F4042C00240FD4042C00240FD19C0FEEDBEEF
1590444576.67, -62, 37, CE:EE:EC:4E:C5:30, 00000040450F4042C00240FD4042C00240FD19C0FEEDBEEF
1590444576.74, -61, 37, CE:EE:EC:4E:C5:30, 00000040450F4042C00240FD4042C00240FD19C0FEEDBEEF
1590444576.81, -66, 38, CE:EE:EC:4E:C5:30, 00000040460F40424002C0FD40424002C0FD19C0FEEDBEEF
1590444576.87, -67, 39, CE:EE:EC:4E:C5:30, 00000040460F40424002C0FD40424002C0FD19C0FEEDBEEF
1590444576.94, -67, 39, CE:EE:EC:4E:C5:30, 00000040460F40424002C0FD40424002C0FD19C0FEEDBEEF
1590444577.01, -63, 37, CE:EE:EC:4E:C5:30, 00000040470F0042C002C0FD0042C002C0FD19C0FEEDBEEF
1590444577.07, -70, 38, CE:EE:EC:4E:C5:30, 00000040470F0042C002C0FD0042C002C0FD19C0FEEDBEEF
1590444577.14, -70, 38, CE:EE:EC:4E:C5:30, 00000040470F0042C002C0FD0042C002C0FD19C0FEEDBEEF
1590444577.21, -67, 39, CE:EE:EC:4E:C5:30, 00000040480F4042000280FD4042000280FD19C0FEEDBEEF
1590444577.27, -63, 37, CE:EE:EC:4E:C5:30, 00000040480F4042000280FD4042000280FD19C0FEEDBEEF
1590444577.34, -62, 37, CE:EE:EC:4E:C5:30, 00000040480F4042000280FD4042000280FD19C0FEEDBEEF
1590444577.40, -68, 38, CE:EE:EC:4E:C5:30, 00000040490F4042800280FE4042800280FE19C0FEEDBEEF
1590444577.47, -67, 39, CE:EE:EC:4E:C5:30, 00000040490F4042800280FE4042800280FE19C0FEEDBEEF
1590444577.54, -67, 39, CE:EE:EC:4E:C5:30, 00000040490F4042800280FE4042800280FE19C0FEEDBEEF
1590444577.60, -63, 37, CE:EE:EC:4E:C5:30, 000000404A0F40428002C0FD40428002C0FD19C0FEEDBEEF
1590444577.67, -68, 38, CE:EE:EC:4E:C5:30, 000000404A0F40428002C0FD40428002C0FD19C0FEEDBEEF
1590444577.74, -68, 38, CE:EE:EC:4E:C5:30, 000000404A0F40428002C0FD40428002C0FD19C0FEEDBEEF
1590444577.81, -67, 39, CE:EE:EC:4E:C5:30, 000000404B0F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444577.87, -63, 37, CE:EE:EC:4E:C5:30, 000000404B0F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444577.94, -63, 37, CE:EE:EC:4E:C5:30, 000000404B0F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444578.00, -70, 38, CE:EE:EC:4E:C5:30, 000000404C0F0042800280FD0042800280FD19C0FEEDBEEF
1590444578.07, -65, 39, CE:EE:EC:4E:C5:30, 000000404C0F0042800280FD0042800280FD19C0FEEDBEEF
1590444578.14, -63, 39, CE:EE:EC:4E:C5:30, 000000404C0F0042800280FD0042800280FD19C0FEEDBEEF
1590444578.20, -63, 37, CE:EE:EC:4E:C5:30, 000000404D0F8042400240FD8042400240FD19C0FEEDBEEF
1590444578.27, -74, 38, CE:EE:EC:4E:C5:30, 000000404D0F8042400240FD8042400240FD19C0FEEDBEEF
1590444578.34, -69, 38, CE:EE:EC:4E:C5:30, 000000404D0F8042400240FD8042400240FD19C0FEEDBEEF
1590444578.41, -64, 39, CE:EE:EC:4E:C5:30, 000000404E0F4042400240FD4042400240FD19C0FEEDBEEF
1590444578.47, -66, 37, CE:EE:EC:4E:C5:30, 000000404E0F4042400240FD4042400240FD19C0FEEDBEEF
1590444578.54, -62, 37, CE:EE:EC:4E:C5:30, 000000404E0F4042400240FD4042400240FD19C0FEEDBEEF
1590444578.61, -72, 38, CE:EE:EC:4E:C5:30, 000000404F0FC041800200FDC041800200FD19C0FEEDBEEF
1590444578.68, -66, 39, CE:EE:EC:4E:C5:30, 000000404F0FC041800200FDC041800200FD19C0FEEDBEEF
1590444578.75, -67, 39, CE:EE:EC:4E:C5:30, 000000404F0FC041800200FDC041800200FD19C0FEEDBEEF
1590444578.81, -65, 37, CE:EE:EC:4E:C5:30, 00000040500F0042C00280FD0042C00280FD19C0FEEDBEEF
1590444578.89, -64, 39, CE:EE:EC:4E:C5:30, 00000040510F40420002C0FD40420002C0FD19C0FEEDBEEF
1590444579.09, -66, 37, CE:EE:EC:4E:C5:30, 00000040510F40420002C0FD40420002C0FD19C0FEEDBEEF
