local_time, rssi, channel, remote_mac, rpi
1590444029.78, -68, 39, CE:EE:EC:4E:C5:30, 00000040C1040042400300FF0042400300FF19C0FEEDBEEF
1590444029.83, -74, 37, CE:EE:EC:4E:C5:30, 00000040C20480420003C0FE80420003C0FE19C0FEEDBEEF
1590444029.89, -69, 38, CE:EE:EC:4E:C5:30, 00000040C20480420003C0FE80420003C0FE19C0FEEDBEEF
1590444030.02, -68, 39, CE:EE:EC:4E:C5:30, 00000040C3044042000300FF4042000300FF19C0FEEDBEEF
1590444030.08, -75, 37, CE:EE:EC:4E:C5:30, 00000040C3044042000300FF4042000300FF19C0FEEDBEEF
1590444030.15, -72, 37, CE:EE:EC:4E:C5:30, 00000040C3044042000300FF4042000300FF19C0FEEDBEEF
1590444030.22, -70, 38, CE:EE:EC:4E:C5:30, 00000040C4040042400300FF0042400300FF19C0FEEDBEEF
1590444030.29, -67, 39, CE:EE:EC:4E:C5:30, 00000040C4040042400300FF0042400300FF19C0FEEDBEEF
1590444030.37, -66, 39, CE:EE:EC:4E:C5:30, 00000040C4040042400300FF0042400300FF19C0FEEDBEEF
1590444030.43, -70, 37, CE:EE:EC:4E:C5:30, 00000040C4040042400300FF0042400300FF19C0FEEDBEEF
1590444030.49, -69, 38, CE:EE:EC:4E:C5:30, 00000040C50400424003C0FE00424003C0FE19C0FEEDBEEF
1590444030.56, -70, 38, CE:EE:EC:4E:C5:30, 00000040C50400424003C0FE00424003C0FE19C0FEEDBEEF
1590444030.63, -66, 39, CE:EE:EC:4E:C5:30, 00000040C50400424003C0FE00424003C0FE19C0FEEDBEEF
1590444030.70, -69, 37, CE:EE:EC:4E:C5:30, 00000040C6040042400380FF0042400380FF19C0FEEDBEEF
1590444030.76, -70, 37, CE:EE:EC:4E:C5:30, 00000040C6040042400380FF0042400380FF19C0FEEDBEEF
1590444030.83, -69, 38, CE:EE:EC:4E:C5:30, 00000040C6040042400380FF0042400380FF19C0FEEDBEEF
1590444030.90, -67, 39, CE:EE:EC:4E:C5:30, 00000040C7044042800300FF4042800300FF19C0FEEDBEEF
1590444031.04, -70, 37, CE:EE:EC:4E:C5:30, 00000040C7044042800300FF4042800300FF19C0FEEDBEEF
1590444031.10, -70, 38, CE:EE:EC:4E:C5:30, 00000040C8048042C00280FF8042C00280FF19C0FEEDBEEF
1590444031.17, -70, 38, CE:EE:EC:4E:C5:30, 00000040C8048042C00280FF8042C00280FF19C0FEEDBEEF
