local_time, dongle_time, rssi, remote_mac, remote_adv
1588805557.68,      3644248, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805557.77,      3644359, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805557.89,      3644571, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.10,      3644773, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.30,      3644881, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.41,      3645086, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.61,      3645188, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.71,      3645287, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.81,      3645398, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805558.93,      3645506, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.03,      3645610, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.14,      3645714, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.24,      3645822, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.35,      3645929, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.46,      3646141, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.67,      3646248, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.77,      3646351, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.88,      3646457, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805559.98,      3646559, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.09,      3646661, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.19,      3646770, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.30,      3646876, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.40,      3646978, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.51,      3647080, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.61,      3647180, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.71,      3647287, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.81,      3647391, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805560.92,      3647494, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.08,      3647603, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.18,      3647707, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.23,      3647812, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.34,      3647913, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.44,      3648018, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.55,      3648122, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.65,      3648232, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.76,      3648335, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.86,      3648443, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805561.97,      3648545, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.07,      3648646, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.17,      3648750, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.28,      3648858, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.39,      3648965, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.49,      3649074, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.60,      3649181, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.71,      3649282, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.81,      3649391, -46, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805562.92,      3649501, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.03,      3649607, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.13,      3649816, -54, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.34,      3649925, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.45,      3650033, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.56,      3650137, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.66,      3650243, -52, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805563.77,      3650347, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
