local_time, dongle_time, rssi, remote_mac, remote_adv
1589117913.65,       356877, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117913.69,       357385, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117914.20,       358112, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117914.93,       358320, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117915.14,       358948, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117915.76,       359053, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117915.87,       359469, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117916.28,       359784, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117916.60,       360309, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117917.12,       360520, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117917.33,       360725, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117917.54,       361150, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117917.96,       361354, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117918.17,       361775, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117918.59,       361988, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117918.80,       362202, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117919.02,       362416, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117919.23,       362625, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117919.44,       362838, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117919.65,       363151, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117919.97,       363355, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117920.17,       363571, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD01000000000000000000000000A019C0
1589117920.38,       364171, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117920.99,       364476, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117921.29,       364688, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117921.50,       364895, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117921.71,       365106, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117921.92,       365413, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117922.23,       365626, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117922.44,       366576, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117923.39,       367091, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117923.91,       367295, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117925.11,       368347, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117925.16,       368657, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
