# 6201, 1589651660
#  dongle_time, rssi, mac, adv_packet                                                              
     730306, -43, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040090100000000000000000000000019C0
     730370, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408A0200000000000000000000000019C0
     730412, -43, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040090100000000000000000000000019C0
     730471, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408A0200000000000000000000000019C0
     730579, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408A0200000000000000000000000019C0
     732837, -55, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040090100000000000000000000000019C0
     732899, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     732944, -56, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040090100000000000000000000000019C0
     733005, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     733110, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     735420, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     735477, -48, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     735527, -51, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     735583, -50, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     735630, -51, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     738014, -51, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     738048, -50, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     738117, -48, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     738157, -50, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     738258, -50, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408B0200000000000000000000000019C0
     743078, -46, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     743098, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     743184, -45, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400A0100000000000000000000000019C0
     743204, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     743290, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     745700, -37, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     745721, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     745805, -44, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     745825, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     745912, -54, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     748235, -55, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     748255, -44, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     748446, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     750759, -60, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     750839, -59, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     750864, -56, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     750941, -58, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     751044, -57, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408C0200000000000000000000000019C0
     753354, -61, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     753411, -75, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400B0100000000000000000000000019C0
     753458, -64, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     753565, -63, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     755882, -76, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     755940, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     755986, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     756048, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     756095, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     758610, -74, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     758631, -74, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     758717, -74, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     761020, -77, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     761049, -73, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     761122, -76, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     761158, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     761228, -74, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408D0200000000000000000000000019C0
     763594, -65, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     763644, -66, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     763696, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400C0100000000000000000000000019C0
     763745, -66, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     763849, -66, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     766120, -76, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     766141, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     766222, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     766243, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     766343, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     768755, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     768775, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     768857, -73, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     768878, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     768981, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     771278, -53, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     771299, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     771387, -53, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     771408, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     771517, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408E0200000000000000000000000019C0
     773811, -60, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     773832, -69, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     773916, -59, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400D0100000000000000000000000019C0
     773937, -69, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     774040, -69, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     776357, -72, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     776378, -64, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     776464, -59, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     776484, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     776572, -56, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     778921, -54, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     779003, -61, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     779024, -60, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     779105, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     779214, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     781521, -55, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     781545, -43, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     781628, -55, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     781649, -43, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     781736, -55, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD000000408F0200000000000000000000000019C0
     784062, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     784083, -39, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     784166, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     784186, -39, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400E0100000000000000000000000019C0
     784268, -52, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     786593, -55, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     786627, -50, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
