# 6442, 1590253813
#  dongle_time, rssi, ch, mac, adv_packet                                                          
    3597541,-80,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3597573,-84,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404D0100000000000000000000000019C0
    3597645,-79,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3597673,-84,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404D0100000000000000000000000019C0
    3597751,-78,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3597779,-85,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404D0100000000000000000000000019C0
    3597800,-90,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3600094,-83,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C30100000000000000000000000019C0
    3600126,-89,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407A0100000000000000000000000019C0
    3600150,-73,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3600203,-82,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C30100000000000000000000000019C0
    3600260,-72,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3600312,-83,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C30100000000000000000000000019C0
    3600343,-88,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407A0100000000000000000000000019C0
    3600364,-72,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3602701,-80,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3602735,-81,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3602756,-89,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407B0100000000000000000000000019C0
    3602807,-80,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3602844,-80,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3602865,-88,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407B0100000000000000000000000019C0
    3602910,-80,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3602948,-81,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3605234,-74,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3605268,-79,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3605336,-75,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3605376,-79,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3605442,-74,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DA0000000000000000000000000019C0
    3605480,-79,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404E0100000000000000000000000019C0
    3607767,-70,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DB0000000000000000000000000019C0
    3607812,-86,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C30100000000000000000000000019C0
    3607837,-88,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407B0100000000000000000000000019C0
    3607874,-70,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DB0000000000000000000000000019C0
    3607918,-87,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C30100000000000000000000000019C0
